"instanceType","label","id","name","description","uuid:ID"
"Encounter","Screening 1","Encounter_1","E1","Screening encounter","05f7f997-f13c-4f7c-ba4e-87e0e0d2ff74"
"Encounter","Screening 2","Encounter_2","E2","Screening encounter - Ambulatory ECG Placement","ea38dd65-267f-4943-bf59-3bed55227656"
"Encounter","Baseline","Encounter_3","E3","Baseline encounter - Ambulatory ECG Removal","14051445-924a-44de-8f51-301d3ebb13df"
"Encounter","Week 2","Encounter_4","E4","Day 14","3beb6cec-069b-4349-a2aa-a0d13bc5e4db"
"Encounter","Week 4","Encounter_5","E5","Day 28","f25fdecf-20f2-4082-b1d9-4a9cec1e7fd4"
"Encounter","Week 6","Encounter_6","E7","Day 42","39ebb0a7-14d0-44f1-8d10-57c9eee5870e"
"Encounter","Week 8","Encounter_7","E8","Day 56","55c2b210-6fcb-4164-848e-02687fb7256f"
"Encounter","Week 12","Encounter_8","E9","Day 84","42d4e712-377b-4868-b9de-3d0f62b3639d"
"Encounter","Week 16","Encounter_9","E10","Day 112","9dc3bbaa-91bb-4050-a1ef-83c0e94dd104"
"Encounter","Week 20","Encounter_10","E11","Day 140","fb0f9759-b99f-4774-be3f-3a74c9d37230"
"Encounter","Week 24","Encounter_11","E12","Day 168","06d80362-49d9-4508-abe1-d02e52bb4714"
"Encounter","Week 26","Encounter_12","E13","Day 182","85057a58-eac7-44a6-af7d-d06a8008cbec"
