"instanceType","label","id","name","description","uuid:ID"
"Activity","Informed consent","Activity_1","Informed consent","","6d358725-24be-4153-a831-652ad44e928e"
"Activity","Inclusion and exclusion criteria","Activity_2","Inclusion/exclusion criteria","","ac855339-650f-4119-b85f-35da05deb4e2"
"Activity","Patient number assigned","Activity_3","Patient number assigned","","0669f691-3905-429f-a633-ca05fad811a4"
"Activity","Demographics","Activity_4","Demographics","","e49e097d-e43c-42ce-ac8a-fc90dd235a83"
"Activity","Hachinski Ischemic Scale","Activity_5","Hachinski","","da708d03-0dae-4777-b841-9517ff8b9aa9"
"Activity","MMSE","Activity_6","MMSE","","ed8bac7d-a0bf-41d9-a623-429859a68ae2"
"Activity","Physical examination","Activity_7","Physical examination","","26d1f862-e6cc-4077-ab1e-7688088a2f17"
"Activity","Medical history","Activity_8","Medical history","","3f2d44bc-880f-414f-a62f-7eaeaf6ac854"
"Activity","Habits","Activity_9","Habits","","2edebc82-a66b-451e-8ed0-8a130f296947"
"Activity","Chest X-ray","Activity_10","Chest X-ray","","f07abcca-4e6a-4815-9ef9-d6373611d802"
"Activity","Apo E genotyping","Activity_11","Apo E genotyping","","1f9a3b1b-797f-4d93-9306-4960d158c877"
"Activity","Patient randomised","Activity_12","Patient randomised","","483bd1fa-0d6e-4755-8d58-46d03ed2f480"
"Activity","Vital Signs and Temperature","Activity_13","Vital signs / Temperature","","33794bdc-d3db-45ee-805e-c7bce624d990"
"Activity","Ambulatory ECG placed","Activity_14","Ambulatory ECG placed","","b6d270f7-82d1-4584-9ee8-7fda16708a87"
"Activity","Ambulatory ECG removed","Activity_15","Ambulatory ECG removed","","aea85689-c050-4e43-b0ee-e8fe548637b7"
"Activity","ECG","Activity_16","ECG","","df6ce67a-3d3b-4c3c-9161-c4fa1f930616"
"Activity","Placebo TTS test","Activity_17","Placebo TTS test","","cd1e7d67-a099-4bde-9b73-8eb0b39b60e8"
"Activity","CT scan","Activity_18","CT scan","","1ca2f657-e9ca-444c-8d90-197819059bb6"
"Activity","Concomitant medications","Activity_19","Concomitant medications","","494af1c8-358c-461c-8f95-1b5246642a64"
"Activity","Hematology","Activity_20","Hematology","","549cbb46-b6ec-4875-80aa-95d768bb6328"
"Activity","Chemistry","Activity_21","Chemistry","","29fc4f3d-18ed-4e9a-bc30-7236f4e0daf2"
"Activity","Uninalysis","Activity_22","Uninalysis","","7facf261-0f6f-46b9-a686-c51c0144c53c"
"Activity","Plasma Specimen (Xanomeline)","Activity_23","Plasma Specimen (Xanomeline)","","22c40c55-2890-42f4-975c-52687e821658"
"Activity","Hemoglobin A1C","Activity_24","Hemoglobin A1C","","b9d58067-a609-4059-9071-f55a6eaf51e5"
"Activity","Study drug record , Medications dispensed, Medications returned","Activity_25","Study drug","","318133db-21bf-4be5-9a95-409043936da5"
"Activity","TTS Acceptability Survey","Activity_26","TTS Acceptability Survey","","273bdf5f-77e3-4c17-a4bd-ccc88d340873"
"Activity","ADAS-Cog","Activity_27","ADAS-Cog","","fa42a365-e25e-4490-b890-3d2247a6f3bb"
"Activity","CIBIC+","Activity_28","CIBIC+","","71a05f5c-ace2-424b-8e89-e44af0af0e37"
"Activity","DAD","Activity_29","DAD","","d648face-2cb9-45cb-9e93-a463d87365b4"
"Activity","NPI-X","Activity_30","NPI-X","","e12f9b3a-d895-454a-8b8e-cfe47c630c2b"
"Activity","Adverse events","Activity_31","Adverse events","","22ad57ec-722b-4ac4-9711-186c4dd86d72"
"Activity","Check adverse events","Activity_32","Check adverse events","","6364919f-a9ed-4e1d-818f-0815752fc432"
"Activity","Subject supine","Activity_33","Supine","","ecec483f-e3c3-429b-bc99-aa46db45c8e1"
"Activity","Vital signs while supine","Activity_34","Vital Signs Supine","","febb9d7a-1da2-4a68-8c79-e801e47e9835"
"Activity","Subject Standing","Activity_35","Stand","","d657dc0e-db43-462b-b83e-ac69213c4bc4"
"Activity","Vital signs while standing","Activity_36","Vital Signs Standing","","b726f114-ed63-4fed-8d14-70c4ee0ef951"
