"instanceType","label","synonyms","id","reference","name","uuid:ID"
"BiomedicalConcept","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","24f47939-d4e3-4b81-a1e1-d47aae554051"
"BiomedicalConcept","Sex","","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","36e0d5a7-0c54-4855-878b-de621ad2461c"
"BiomedicalConcept","Race","['Racial Group']","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","cf136b66-6e53-42c0-ae74-b45b792ac24f"
"BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","0b30e671-87f1-45c6-8bbc-1503d20e264b"
"BiomedicalConcept","Weight","['Weight', 'Body Weight']","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","714e4317-ee30-4f87-8dcb-48eb4d46807f"
"BiomedicalConcept","Height","['Height', 'Body Height']","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","57b8d295-ff49-49c8-9e81-112ac8b335a6"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","93238fed-5aa6-48f4-a67d-fdf81c7a5a8d"
"BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","0a5d8b29-be44-41ae-9870-2cfa81ee6336"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","76d6657d-b700-4d54-987d-942f73058c22"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","2f23cc42-8a06-46b8-acf4-1bbeaefe373b"
"BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","aeb047d3-f057-4687-b222-e3181d4c34b3"
"BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","ba68f3ce-f1a9-4f48-9043-481f177d865f"
"BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","ca171060-e91c-4066-8029-c5bdc9a25491"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","65385f90-ce1a-4096-b839-ccf402343356"
"BiomedicalConcept","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","31b5d4a8-b7fc-40e9-8b1f-b27b7f62da32"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","a68a1d3b-e492-4044-a958-cbe49c9b135d"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","e8c6bf48-e558-400b-ab75-2a682f5c8271"
"BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","a6a19a54-b1e7-49b0-90f3-01e55bea561f"
"BiomedicalConcept","Weight","['Weight', 'Body Weight']","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","229bc3cc-8606-4a28-8942-79e61975b203"
"BiomedicalConcept","Height","['Height', 'Body Height']","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","8636d657-e6e1-4cdf-ab34-371915af1e88"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","61316a85-03d8-4395-b22e-0784a980596b"
"BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","72a5634e-e16c-4541-b4f4-d277535a61e0"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","89c4457a-24fe-4603-8bc3-a9ff51ae0df0"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","b5a6ef83-fbe8-47aa-9c96-c4ecc6ac488c"
"BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","15779959-d67b-4e66-97c1-b88e0492e247"
"BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","36acf377-87bc-44cf-b9e3-bbc32c38bc5a"
"BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","841596ce-7f80-4d64-9c6c-cd82897922b5"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","32f8eca3-ff1d-42b7-8799-ba7960a976a5"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","d2e09194-cf9f-4a45-ad64-c516b9a7754a"
"BiomedicalConcept","Heart Rate","['Heart Rate']","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","804b646e-1e13-4a42-a42d-e340c5c6d3ee"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","a618ba4b-86dd-4ee7-9614-108b9a17329a"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","62d05885-b8c0-4b29-b9f8-6d2db7938f3a"
"BiomedicalConcept","Heart Rate","['Heart Rate']","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","ad000fe8-08d5-4d41-b17f-55b396a60ba7"
