"instanceType","label","purpose","text","id","name","description","uuid:ID"
"Endpoint","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","END1","","2e7e817e-8511-4339-b0a8-a2a5c2c7d1a8"
"Endpoint","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","END2","","ea5a1942-8375-4eda-b1d7-dfd9cb5927ae"
"Endpoint","","","Adverse events","Endpoint_3","END3","","ed8ffec3-0e12-4657-96f7-d49c35149094"
"Endpoint","","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","END4","","c8117d5c-7013-4214-963d-617a4024a44e"
"Endpoint","","","Laboratory evaluations (Change from Baseline)","Endpoint_5","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","5954cb42-20fa-419d-9374-4600080073c1"
"Endpoint","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","END6","","2fbc7e74-9d15-4ab8-b41a-ad39247862eb"
"Endpoint","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","END7","","b18a29a7-b048-4949-89e3-ddeab589f633"
"Endpoint","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","END8","","01d3982a-eb5f-4188-8ca1-c231b036c0d7"
"Endpoint","","","*** To be determined from protocol ***","Endpoint_9","END9","","197f94b2-f62a-4e39-84f7-02b6bb5fd491"
"Endpoint","","","*** To be determined from protocol ***","Endpoint_10","END10","","45dab6b0-479e-4298-98f5-53a220a293ad"
"Endpoint","","","*** To be determined from protocol ***","Endpoint_11","END11","","6d6f3ac3-8da5-42db-9980-592ed2e46b52"
