"codeSystem","instanceType","codeSystemVersion","id","code","decode","uuid:ID"
"http://www.cdisc.org","Code","2023-12-15","Code_1","C98388","Interventional Study","90b279db-7e7e-44c1-864d-a8263ef6665c"
"http://www.cdisc.org","Code","2023-12-15","Code_2","C15601","Phase II Trial","35bb03ff-2ebc-49db-85fe-7cfe9b431005"
"http://www.cdisc.org","Code","2023-12-15","Code_9","C132352","Sponsor Approval Date","224f4ef7-04d0-43c6-850b-13fc30b9a302"
"http://www.cdisc.org","Code","2023-12-15","Code_10","C68846","Global","b10e86e8-46a7-420e-a346-fb69c49418f0"
"http://www.cdisc.org","Code","2023-12-15","Code_72","C99904x3","IRB/IEC Feedback","8cf052dd-8216-4fbb-bb45-766a8778bc0b"
"http://www.cdisc.org","Code","2023-12-15","Code_73","C17649","Other","638f071a-ebf7-4180-8ede-e51689eb14dd"
"http://www.cdisc.org","Code","2023-12-15","Code_75","C41129","Region","be044f21-8cd1-4e1a-a377-9dd1c92e8e06"
"ISO 3166 1 alpha3","Code","2020-08","Code_74","150","Europe","2db254a6-fa79-479b-b23c-e825e1f9b39a"
"SPONSOR","Code","12","Code_4","PHARMA","Eli Lilly","6a2399ca-bcbc-46ad-9b33-2189ba028087"
"http://www.cdisc.org","Code","2023-12-15","Code_76","C70793","Clinical Study Sponsor","290a2781-7c01-4317-adf4-d9a6ad37492b"
"ISO 3166 1 alpha3","Code","2020-08","Code_77","USA","United States of America","9268032f-bba2-45c1-89ef-dbcd392459ce"
"http://www.cdisc.org","Code","2023-12-15","Code_78","C93453","Study Registry","caeec0c6-b869-4cea-91b2-6ff3c661bd62"
"ISO 3166 1 alpha3","Code","2020-08","Code_79","USA","United States of America","884732a4-d1db-4c97-b706-bdfb544faf74"
"http://www.cdisc.org","Code","2023-12-15","Code_137","C49656","Treatment Study","619156d1-2ee2-45a6-95b4-41ccc65761ff"
"http://www.cdisc.org","Code","2023-12-15","Code_138","C49666","Efficacy Study","40be2243-03f8-4a09-8d72-b76f3321bd77"
"http://www.cdisc.org","Code","2023-12-15","Code_139","C49667","Safety Study","33725ed7-817e-4ecd-90e1-41f62639ff88"
"http://www.cdisc.org","Code","2023-12-15","Code_140","C49663","Pharmacokinetic Study","77ffe3d7-30c0-4619-aa44-d4ea8e2acac5"
"SPONSOR","Code","12","Code_134","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","d58cd205-4be4-4150-b94c-e5a0ee99255f"
