"value","instanceType","label","windowLabel","valueLabel","windowUpper","id","name","description","uuid:ID","windowLower"
"P2W","Timing","Screening","","2 weeks","","Timing_1","TIM1","Screening timing","6c9011d9-4f92-40ef-b0a2-33483f9ca3a2",""
"P2D","Timing","Pre dose","-4..0 hours","2 days","PT0H","Timing_2","TIM2","Pre dose timing","34bc67dd-fda4-4dfc-bd65-a90ce1fba382","PT4H"
"P1D","Timing","Dosing","","1 Day","","Timing_3","TIM3","Dosing anchor","da92f0df-d551-4ecf-bbac-1faa3e9d60a1",""
"P2W","Timing","Week 2","-3..3 days","2 Weeks","P3D","Timing_4","TIM4","Week 2 timing","f7365ad6-b891-459e-9d7f-3c007581e3db","P3D"
"P4W","Timing","Week 4","-3..3 days","4 Weeks","P3D","Timing_5","TIM5","Week 4 timing","da0557dd-c3be-418e-848f-685ada539588","P3D"
"P6W","Timing","Week 6","-3..3 days","6 Weeks","P3D","Timing_6","TIM6","Week 6 timing","14212408-a512-4e05-9b02-2e8d3b22bf91","P3D"
"P8W","Timing","Week 8","-3..3 days","8 Weeks","P3D","Timing_7","TIM7","Week 8 timing","48be056c-818a-4885-ae60-2541296a536a","P3D"
"P12W","Timing","Week 12","-4..4 days","12 Weeks","P4D","Timing_9","TIM9","Week 12 timing","c952d471-38db-4482-8d37-51b838b9350c","P4D"
"P16W","Timing","Week 16","-4..4 days","16 Weeks","P4D","Timing_11","TIM11","Week 16 timing","088aea97-1a48-46e3-aaaf-ff1a16e5e30f","P4D"
"P20W","Timing","Week 20","-4..4 days","20 Weeks","P4D","Timing_13","TIM13","Week 20 timing","af76d167-bcef-4b2d-a5c6-0d1046c1f5e6","P4D"
"P24W","Timing","Week 24","-4..4 days","24 Weeks","P4D","Timing_15","TIM15","Week 24 timing","7785b128-bfa3-4ba1-88f0-d9103f6a061e","P4D"
"P26W","Timing","Week 26","-3..3 days","26 Weeks","P3D","Timing_16","TIM16","Week 26 timing","3ada0c7a-22a6-4510-a6f4-9452e33bbf85","P3D"
"P2W","Timing","Week 8 Home","","2 Weeks","","Timing_8","TIM8","Week 8 at home timing","5f043701-7f0d-4fb0-98cb-8f26ee1ff569",""
"P2W","Timing","Week 12 Home","","2 Weeks","","Timing_10","TIM10","Week 12 at home timing","4d4abd4f-c637-4fa9-8915-5aa8e0f8bbe5",""
"P2W","Timing","Week 16 Home","","2 Weeks","","Timing_12","TIM12","Week 16 at home timing","7498cacf-d8d1-4b4e-8099-f64649446a88",""
"P2W","Timing","Week 20 Home","","2 Weeks","","Timing_14","TIM14","Week 20 at home timing","d6c1cf17-650a-4226-914a-11ed46940765",""
"P1D","Timing","Adverse Event","","1 Day","","Timing_17","TIM17","Adverse Event","1719abaf-a1c5-4ea7-a40a-5a15dfc8d640",""
"P1D","Timing","Early Termination","","1 Day","","Timing_18","TIM18","Early Termination","3df61d99-e26f-4d1a-8816-8e34af6b8580",""
"PT0M","Timing","Supine","","0 mins","","Timing_19","TIM19","Supine","c3eca930-b5fd-486e-a22f-a15f84e91118",""
"PT5M","Timing","VS while supine","","5 mins","","Timing_20","TIM20","VS while supine","106d148a-2896-4ec4-a53a-c7c7be897648",""
"PT0M","Timing","Standing","","0 min","","Timing_21","TIM21","Standing","48346cfb-09b7-4036-b9bf-bcabf65dc131",""
"PT1M","Timing","VS while standing","","1 min","","Timing_22","TIM22","VS while standing","5ab0245c-617b-4128-8411-8e987a980166",""
"PT0M","Timing","Standing","","0 min","","Timing_23","TIM23","Standing","b23e40da-0b80-4b06-8f5c-ed0a11df42f1",""
"PT2M","Timing","VS while standing","","2 min","","Timing_24","TIM24","VS while standing","887008b6-83d6-4af9-af54-81377f859bce",""
