"instanceType","label","id","name","description","uuid:ID"
"ScheduledActivityInstance","Screen One","ScheduledActivityInstance_9","SCREEN1","-","fad1b568-92f8-4d89-b470-b37fcb6f4d8d"
"ScheduledActivityInstance","Screen Two","ScheduledActivityInstance_10","SCREEN2","-","33c86f01-4dd2-4b0a-9a18-94c8276b28e7"
"ScheduledActivityInstance","Dose","ScheduledActivityInstance_11","DOSE","-","bfd35be2-8e0d-4e1b-b65e-542a975dd832"
"ScheduledActivityInstance","Week 2","ScheduledActivityInstance_12","WK2","-","6f26a59c-8216-40dc-8d86-ba0f0042188b"
"ScheduledActivityInstance","Week 4","ScheduledActivityInstance_13","WK4","-","f0329eac-b70a-4ef9-b5b7-6c925e1b235f"
"ScheduledActivityInstance","Week 6","ScheduledActivityInstance_14","WK6","-","cc41badc-df26-4dec-9c3e-000350bca2e5"
"ScheduledActivityInstance","Week 8","ScheduledActivityInstance_15","WK8","-","43908663-1c09-4fe4-9338-1fd013c4ce4d"
"ScheduledActivityInstance","Week NPI","ScheduledActivityInstance_16","WK8N","-","a023f998-e6b3-45db-a124-845deb91a21d"
"ScheduledActivityInstance","Week 12","ScheduledActivityInstance_17","WK12","-","2468016e-af6b-4459-b90b-71b0a51b2deb"
"ScheduledActivityInstance","Week 12 NPI","ScheduledActivityInstance_18","WK12N","-","c4284657-1249-4135-932b-ac5ff1c719d3"
"ScheduledActivityInstance","Week 16","ScheduledActivityInstance_19","WK16","-","8877fb52-ea80-4dc8-b99f-341d70c5a796"
"ScheduledActivityInstance","Week 16 NPI","ScheduledActivityInstance_20","WK16N","-","c78d2f3b-96b7-44d6-80ef-73cf8d4bd7e0"
"ScheduledActivityInstance","Week 20","ScheduledActivityInstance_21","WK20","-","e9de10ff-c6c0-45c6-812a-685d20747ce7"
"ScheduledActivityInstance","Week 20 NPI","ScheduledActivityInstance_22","WK20N","-","faa73abc-d574-4a43-ba68-4ef965343f1c"
"ScheduledActivityInstance","Week 24","ScheduledActivityInstance_23","WK24","-","a08a505d-11fd-40ad-b68d-cdfa0ecf2895"
"ScheduledActivityInstance","Week 26","ScheduledActivityInstance_24","WK26","-","0f7dba56-d380-413a-91c1-cf0da50312c8"
"ScheduledActivityInstance","Adevers Event","ScheduledActivityInstance_1","AE","-","7db9b31e-2d15-43ad-9ba3-eef7e398dfaf"
"ScheduledActivityInstance","Early Termination","ScheduledActivityInstance_2","ET","-","bfcb6bb0-7b77-4d69-aae0-f9ee3b4ee58d"
"ScheduledActivityInstance","5 minute supine","ScheduledActivityInstance_3","VS_5MIN","","7edea47c-2b14-426a-8d92-0adf49abc44b"
"ScheduledActivityInstance","Vital signs supine","ScheduledActivityInstance_4","VS_SUPINE","","eed3c040-d618-42c9-bfcb-325c418c583e"
"ScheduledActivityInstance","1 minute standing","ScheduledActivityInstance_5","VS_1MIN","","117f3a83-1344-417f-84c6-836e9062a093"
"ScheduledActivityInstance","Vital signs after 1 min standing","ScheduledActivityInstance_6","VS_STAND1","","c5bb0019-cca4-4d1c-85a1-93c33cc3b4bc"
"ScheduledActivityInstance","2 minute standing","ScheduledActivityInstance_7","VS_2MIN","","55eefe66-9607-462b-b04e-de65fd1d836d"
"ScheduledActivityInstance","Vital signs after 3 min standing","ScheduledActivityInstance_8","VS_STAND3","","e929d576-ba2e-4ad2-b604-86ce77afb745"
