"code","codeSystem","decode","uuid:ID","id","instanceType","codeSystemVersion"
"C98388","http://www.cdisc.org","Interventional Study","b546e4c1-954c-4ce7-ba0a-eb20213f2e77","Code_1","Code","2023-09-29"
"C15601","http://www.cdisc.org","Phase II Trial","e75db355-d215-4b90-8b61-32534ab72123","Code_2","Code","2023-09-29"
"C132352","http://www.cdisc.org","Sponsor Approval Date","e18931ed-6979-43ed-b14b-db0b42a41c0a","Code_9","Code","2023-09-29"
"C68846","http://www.cdisc.org","Global","ff0849cf-5cd5-4fd1-b607-af092e25de09","Code_10","Code","2023-09-29"
"C99904x3","http://www.cdisc.org","IRB/IEC Feedback","f881b6f8-dcac-4f01-8dc8-d3fa4ad7245d","Code_72","Code","2023-09-29"
"C17649","http://www.cdisc.org","Other","c7dfedc7-4f5a-4837-9c79-9408aff0cc95","Code_73","Code","2023-09-29"
"C41129","http://www.cdisc.org","Region","de013ac6-7fb4-4db3-a779-367383eb0522","Code_75","Code","2023-09-29"
"150","ISO 3166 1 alpha3","Europe","1acd59ce-3b71-4d54-8679-34e0fc54f253","Code_74","Code","2020-08"
"PHARMA","SPONSOR","Eli Lilly","533dfcb0-3d9d-4149-b168-b38280f8fdf8","Code_4","Code","12"
"C70793","http://www.cdisc.org","Clinical Study Sponsor","ac152712-fe99-4516-b87e-c2eae2085f17","Code_76","Code","2023-09-29"
"USA","ISO 3166 1 alpha3","United States of America","5ad2f8ae-efa1-4f63-a537-ea7ba6cf3c94","Code_77","Code","2020-08"
"C93453","http://www.cdisc.org","Study Registry","892861a6-bd0f-4f1b-aada-01ebb5ad0636","Code_78","Code","2023-09-29"
"C49656","http://www.cdisc.org","Treatment Study","05dcc2dd-a72f-456d-86af-a52b235f3486","Code_136","Code","2023-09-29"
"C49666","http://www.cdisc.org","Efficacy Study","d529d12e-0dd8-42fd-a83e-8bcf325af3f4","Code_137","Code","2023-09-29"
"C49667","http://www.cdisc.org","Safety Study","7815f079-8341-4b4e-836d-d9cc5de83aac","Code_138","Code","2023-09-29"
"C49663","http://www.cdisc.org","Pharmacokinetic Study","8e26d7f3-c82f-4ba2-a030-efeea5b318c9","Code_139","Code","2023-09-29"
"MILD_MOD_ALZ","SPONSOR","Mild to Moderate Alzheimer's Disease","f6d9db3d-f742-4656-9230-49d197725ddc","Code_133","Code","12"
"26929004","SNOMED","Alzheimer's disease","c6e2173a-98c5-4b75-aa16-60ebdb4569a4","Code_134","Code","January 31, 2018"
"C99907x1","http://www.cdisc.org","EXTENSION","aeb1fb67-4f55-4298-b812-11f208f3971a","Code_142","Code","2023-09-29"
"C98704","http://www.cdisc.org","ADAPTIVE","0ef70613-b366-4123-abc1-c97c6f78993f","Code_143","Code","2023-09-29"
"C82639","http://www.cdisc.org","Parallel Study","fb0a2574-c778-472a-b9b2-2dc1c4a5d7ab","Code_140","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","bc0feaca-fa46-46c6-9e5c-b8d6611e01bd","Code_82","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","c986d39f-41e1-4f7e-a7a4-46aaab3331c4","Code_83","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","1e969eec-edf9-4aad-83b0-c5e5f994c610","Code_84","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","a509cb9d-e162-4951-8fcb-a9c284e0f988","Code_85","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","230f4b0f-c052-4ea8-b7a4-01aaf869645e","Code_86","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","df578ff9-d8a4-4e00-8a82-f74bde0b6211","Code_87","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","a9afda51-e1d5-4243-8d84-44cb0eff3838","Code_88","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","3586d957-250b-4afb-8263-8d45b7a728b9","Code_89","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","3a2d2ff2-d443-4693-b504-66ab983255e4","Code_90","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","565d08f4-de41-40cf-9f19-658d46984337","Code_91","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","02d65f5a-498b-4312-97de-e6f60b50ad14","Code_92","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","82be778b-8376-4923-972a-d8b41e828e29","Code_93","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","3ea89b1a-fbe2-492b-b302-92259dc8611a","Code_94","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","79da9ea6-a5d8-44ff-873d-0efed1a96f96","Code_95","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","ab2b0cc6-abc1-4089-a9cd-d94de52b75bc","Code_96","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","452466ef-03ba-47bf-a988-b017cc986bd4","Code_97","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","9f6775b0-fdd5-4056-8efc-46863b48a2f8","Code_98","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","84b32575-7060-4783-9ce7-a5da87a255e7","Code_99","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","fb907aae-a798-4bdc-a234-27c894101f2d","Code_100","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","d768a4a0-8128-469c-9dce-cd44c37082d8","Code_101","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","7c41ac2d-9458-4114-956a-26767d19f805","Code_102","Code","2023-09-29"
"C171537","http://www.cdisc.org","Telephone Call","8bd96439-e100-446a-a17b-c7cdb4df8805","Code_103","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","822c1c3f-cd36-41ce-8c4c-4d1b6ab18d63","Code_104","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","d7b69d45-8bff-4b55-95af-e176947478ac","Code_105","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","d669b3fe-39eb-4084-8a23-29f5fa77541b","Code_106","Code","2023-09-29"
"C171537","http://www.cdisc.org","Telephone Call","26fa330e-3366-44d2-8fa8-5744944c1d02","Code_107","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","1ef8bbd3-b5da-476b-8bf9-af3b07fef4b0","Code_108","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","acc6e077-bf92-4230-b20f-ec0d23a0f75f","Code_109","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","401098c8-5c33-4d14-b701-32f3100d443f","Code_110","Code","2023-09-29"
"C171537","http://www.cdisc.org","Telephone Call","c9b9fb12-63d8-4885-b1eb-8ed253f7803d","Code_111","Code","2023-09-29"
"C25716","http://www.cdisc.org","Visit","8d9a4ff0-49e7-40b3-ac7d-c6a63d903288","Code_112","Code","2023-09-29"
"C51282","http://www.cdisc.org","Clinic","80d28e0d-e60d-4e8f-bc8a-37738f37edd8","Code_113","Code","2023-09-29"
"C175574","http://www.cdisc.org","In Person","8a106db6-b682-4ff1-bb36-b853b777c03d","Code_114","Code","2023-09-29"
