"name","uuid:ID","id","instanceType","text"
"ENCOUNTER_START_RULE_1","2c12e85c-0dca-4596-95a6-34470d5d4d05","TransitionRule_1","TransitionRule","Subject identifier"
"ENCOUNTER_START_RULE_1","a1902fd8-2d35-4bdf-aca8-3a6c5c262e5b","TransitionRule_2","TransitionRule","completion of screening activities"
"ENCOUNTER_START_RULE_2","4416bdec-2b87-4890-b428-86ce87d08500","TransitionRule_3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","46336110-7ee7-4007-8db7-2448a9f6e702","TransitionRule_4","TransitionRule","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","1613c2f7-073d-4e3f-92ec-cf577888076c","TransitionRule_5","TransitionRule","Radomized"
"ENCOUNTER_START_RULE_12","383308fe-13ff-4d0b-b8cf-cfe4c30da5e0","TransitionRule_6","TransitionRule","End of treatment"
"ELEMENT_START_RULE_1","9d21d463-2566-454c-b209-c1cce4d4c923","TransitionRule_7","TransitionRule","Informed consent"
"ELEMENT_END_RULE_1","7cf63c1c-2ea0-496f-b5c2-491108fc1c57","TransitionRule_8","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","7549a121-35b8-4138-9593-809658f4bb76","TransitionRule_9","TransitionRule","Administration of first dose"
"ELEMENT_START_RULE_7","06a0935b-bb28-47c1-9322-22275a059f59","TransitionRule_14","TransitionRule","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","33fd8d3b-b5f8-421c-9ecb-a29351398327","TransitionRule_15","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","079c05fb-2812-423f-ba78-9155975fbfb9","TransitionRule_10","TransitionRule","Administration of first dose"
"ELEMENT_START_RULE_4","71fc54a0-b03d-4042-9a17-d29d5a96e6de","TransitionRule_11","TransitionRule","Randomized"
"ELEMENT_START_RULE_5","804921b6-332c-450a-99a3-31ad8b51660d","TransitionRule_12","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","a578889d-c0c9-4818-92e5-fa3026c3e596","TransitionRule_13","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
