"isEnabled","name","datatype","instanceType","uuid:ID","id","isRequired","label"
"True","Clinical Test Result","decimal","BiomedicalConceptProperty","05f5ea95-d2a3-4d68-97b6-a9ec27bb024e","BiomedicalConceptProperty_89","True","Clinical Test Result"
"True","Unit of Temperature","string","BiomedicalConceptProperty","f983c478-b59b-4f97-a6f2-0f0895a60e08","BiomedicalConceptProperty_90","True","Unit of Temperature"
"True","Anatomic Site","string","BiomedicalConceptProperty","9d7b26ea-acc2-49bc-87ee-7e39c7f1264c","BiomedicalConceptProperty_91","True","Anatomic Site"
"True","Clinical Test Result","decimal","BiomedicalConceptProperty","65ea4399-cbc8-4b35-b11e-be56002bda97","BiomedicalConceptProperty_92","True","Clinical Test Result"
"True","Unit of Weight","string","BiomedicalConceptProperty","67fd211e-5e5f-424f-bb1d-2b85ee557a92","BiomedicalConceptProperty_93","True","Unit of Weight"
"True","Clinical Test Result","decimal","BiomedicalConceptProperty","0f313c67-6065-451c-a72d-0f347673d378","BiomedicalConceptProperty_94","True","Clinical Test Result"
"True","Unit of Height","string","BiomedicalConceptProperty","65bc207b-d316-411d-bff2-7bd86d28dda9","BiomedicalConceptProperty_95","True","Unit of Height"
"True","Laboratory Test Result","decimal","BiomedicalConceptProperty","f9a1db2d-004f-4b57-8648-7494f3019dca","BiomedicalConceptProperty_96","True","Laboratory Test Result"
"True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty","7d7282a2-95dd-4469-8908-7c70d182f796","BiomedicalConceptProperty_97","True","Laboratory Test Fasting Status"
"True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty","50cfe4a1-ec0e-49fe-b112-5962631f5f00","BiomedicalConceptProperty_98","True","Unit of Catalytic Activity Concentration"
"True","Biospecimen Type","string","BiomedicalConceptProperty","20b122d7-7e5f-474f-bfe3-d28dd8979a44","BiomedicalConceptProperty_99","True","Biospecimen Type"
"True","Laboratory Test Result","string","BiomedicalConceptProperty","6631a57c-756e-4664-9d69-801fd717cb99","BiomedicalConceptProperty_100","True","Laboratory Test Result"
"True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty","892dd1e4-cd91-4ddd-bb99-ad329c5de409","BiomedicalConceptProperty_101","True","Laboratory Test Fasting Status"
"True","Unit of Concentration","string","BiomedicalConceptProperty","4c6a6095-eaa6-4bd6-8417-219e82956587","BiomedicalConceptProperty_102","True","Unit of Concentration"
"True","Biospecimen Type","string","BiomedicalConceptProperty","845fd3ae-9c38-4bd2-8ac5-8308249d40d7","BiomedicalConceptProperty_103","True","Biospecimen Type"
"True","Laboratory Test Result","decimal","BiomedicalConceptProperty","d4722728-7af2-47c8-be22-98e579951d98","BiomedicalConceptProperty_104","True","Laboratory Test Result"
"True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty","ba4bdff0-07f3-40d2-985c-0eac6009ee27","BiomedicalConceptProperty_105","True","Laboratory Test Fasting Status"
"True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty","346f76aa-c283-4b99-9a1a-36a373cb61e4","BiomedicalConceptProperty_106","True","Unit of Catalytic Activity Concentration"
"True","Biospecimen Type","string","BiomedicalConceptProperty","fbe7ac1d-c554-45fe-b762-a0b03e8f1ace","BiomedicalConceptProperty_107","True","Biospecimen Type"
"True","Laboratory Test Result","decimal","BiomedicalConceptProperty","134a80f5-f5f4-4968-9cd0-6573f1594ea2","BiomedicalConceptProperty_108","True","Laboratory Test Result"
"True","Laboratory Test Fasting Status","boolean","BiomedicalConceptProperty","ac97e626-9bce-44ee-ae89-247e550404c2","BiomedicalConceptProperty_109","True","Laboratory Test Fasting Status"
"True","Unit of Catalytic Activity Concentration","string","BiomedicalConceptProperty","e459a1f3-99d6-4e50-957f-0e96124c89ee","BiomedicalConceptProperty_110","True","Unit of Catalytic Activity Concentration"
"True","Biospecimen Type","string","BiomedicalConceptProperty","3e671c1f-0b9e-486f-959c-a25df61b030f","BiomedicalConceptProperty_111","True","Biospecimen Type"
"True","Laboratory Test Result","string","BiomedicalConceptProperty","5f965961-9a2d-467f-a6b5-aa9d1a92c04c","BiomedicalConceptProperty_112","True","Laboratory Test Result"
