"name","description","uuid:ID","id","instanceType","label"
"E1","Screening encounter","5b807253-e829-4de2-92ca-81704531daf6","Encounter_1","Encounter","Screening 1"
"E2","Screening encounter - Ambulatory ECG Placement","b1f7c35e-ee8f-43cb-840c-ee8882b3153d","Encounter_2","Encounter","Screening 2"
"E3","Baseline encounter - Ambulatory ECG Removal","af7fdc7d-7639-4597-b1dd-dab59401e39f","Encounter_3","Encounter","Baseline"
"E4","Day 14","2b03d658-6ccf-4f1d-b1af-99a68cc58fc8","Encounter_4","Encounter","Week 2"
"E5","Day 28","9714ea6c-334c-4e16-9a20-6fc7b01075e1","Encounter_5","Encounter","Week 4"
"E7","Day 42","753fae91-71ed-4ba3-a3b1-357d39a5ca1c","Encounter_6","Encounter","Week 6"
"E8","Day 56","0346742c-7aa6-4015-8e03-8b9c23dd78fd","Encounter_7","Encounter","Week 8"
"E9","Day 84","14387c29-8ad5-479c-bda6-cab65717705f","Encounter_8","Encounter","Week 12"
"E10","Day 112","bedae539-c6aa-48b7-9522-7d444d6030a0","Encounter_9","Encounter","Week 16"
"E11","Day 140","e37bb24d-112c-4292-b301-fad756605069","Encounter_10","Encounter","Week 20"
"E12","Day 168","03ad7b64-7032-4c14-9123-bbd17b8687c8","Encounter_11","Encounter","Week 24"
"E13","Day 182","450f9d78-4108-4e6e-b8c6-89e3602e05d3","Encounter_12","Encounter","Week 26"
