"name","sectionTitle","uuid:ID","sectionNumber","id","instanceType","text"
"ROOT","Root","8b878ba2-0037-4b50-8ec6-9690860b30ea","0","NarrativeContent_1","NarrativeContent",""
"SECTION 0","TITLE PAGE","77dc99f6-3599-4703-a169-08c77d5d1072","0","NarrativeContent_2","NarrativeContent","<div><usdm:section name=""M11-title-page""></usdm:section></div>"
"SECTION 1","PROTOCOL SUMMARY","ed4171b8-68e2-409d-baba-7c60225a1399","1","NarrativeContent_3","NarrativeContent","<div></div>"
"SECTION 1.1","Protocol Synopsis","b8226a41-31c8-4326-b4c5-34e047417f3a","1.1","NarrativeContent_4","NarrativeContent","<div></div>"
"SECTION 1.2","Trial Schema","4fb1f500-7357-457d-9bbc-1f97d82f8504","1.2","NarrativeContent_5","NarrativeContent","<div></div>"
"SECTION 1.3","Schedule of Activities","d16c4ff7-a516-44fa-9916-405317f7e03e","1.3","NarrativeContent_6","NarrativeContent","<div></div>"
"SECTION 2","INTRODUCTION","4ee03d15-7681-4d8d-80e5-7f14eeff96be","2","NarrativeContent_7","NarrativeContent","<div></div>"
"SECTION 2.1","Purpose of Trial","951e00b7-0121-4bc2-9329-275222402de8","2.1","NarrativeContent_8","NarrativeContent","<div></div>"
"SECTION 2.2","Summary of Benefits and Risks","a65110c3-1b03-44ca-b2c8-638c7ffe9bfa","2.2","NarrativeContent_9","NarrativeContent","<div></div>"
"SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","8075af26-c5d4-4623-af98-c178ce5882a2","3","NarrativeContent_10","NarrativeContent","<div></div>"
"SECTION 3.1","Primary Objectives","256dde70-0ac6-4cbf-81ee-d52f3e4a7794","3.1","NarrativeContent_11","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></usdm:section></div>"
"SECTION 4","TRIAL DESIGN","e341e21f-3f15-4f93-9db7-b8b296644057","4","NarrativeContent_12","NarrativeContent","<div></div>"
"SECTION 4.1","Description of Trial Design","fffd3b25-14af-4a1e-9db4-d1ff7e2fa62f","4.1","NarrativeContent_13","NarrativeContent","<div></div>"
"SECTION 4.1.1","Participant Input into Design","00b6d4c0-ba38-4f79-8e95-f957e3a50103","4.1.1","NarrativeContent_14","NarrativeContent","<div></div>"
"SECTION 4.2","Rationale for Trial Design","6f057544-1520-4356-9a21-7e48e7423d4b","4.2","NarrativeContent_15","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"SECTION 4.2.1","Rationale for Comparator","a5878302-5dea-4dcd-bc4d-203981c64f95","4.2.1","NarrativeContent_16","NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","df6300df-dd55-40bf-88c1-2334d7ddac63","4.2.2","NarrativeContent_17","NarrativeContent","<div></div>"
"SECTION 4.2.3","Other Trial Design Considerations","0bf61f89-3b0b-4e5a-be9b-2c8b699fa729","4.2.3","NarrativeContent_18","NarrativeContent","<div></div>"
"SECTION 4.3","Access to Trial Intervention After End of Trial","3b8cf8b3-1967-489c-8e8e-0582f1e56f06","4.3","NarrativeContent_19","NarrativeContent","<div></div>"
"SECTION 4.4","Start of Trial and End of Trial","d2b76131-088a-4225-a417-35176bea19ab","4.4","NarrativeContent_20","NarrativeContent","<div></div>"
"SECTION 5","TRIAL POPULATION","2a145e8f-1aee-4337-8aee-674b308ff912","5","NarrativeContent_21","NarrativeContent","<div></div>"
"SECTION 5.1","Selection of Trial Population","187ab4eb-1399-43e9-b6a6-eb48ba72dffb","5.1","NarrativeContent_22","NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
<div><strong>Screen</strong></div>
<div>
<p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
<p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
</div>
</div>
<div>
<div>To <strong>enter</strong></div>
<div>
<p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
</div>
</div>
<div>
<div>To <strong>enroll</strong></div>
<div>
<p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
</div>

<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p>"
"SECTION 5.2","Rationale for Trial Population","fafba91f-c3de-4743-92b4-63486093c6e5","5.2","NarrativeContent_23","NarrativeContent","<div></div>"
"SECTION 5.3","Inclusion Criteria","ee8101ce-ca79-440e-90b8-2ecc7e2b5918","5.3","NarrativeContent_24","NarrativeContent","<div><usdm:section name=""M11-inclusion""></usdm:section></div>"
"SECTION 5.4","Exclusion Criteria","faef0127-8337-4fd7-a2f2-8a5df0eaaabc","5.4","NarrativeContent_25","NarrativeContent","<div><usdm:section name=""M11-exclusion""></usdm:section></div>"
"SECTION 5.5","Lifestyle Considerations","85f50876-3ffa-4e8f-9ffb-bd9811737fce","5.5","NarrativeContent_26","NarrativeContent","<div></div>"
"SECTION 5.5.1","Meals and Dietary Restrictions","8b6e1ec9-45d2-4882-ab36-b35dbe5de714","5.5.1","NarrativeContent_27","NarrativeContent","<div></div>"
"SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","dfd30a0a-e856-4190-91a3-8a8332e4530f","5.5.2","NarrativeContent_28","NarrativeContent","<div><p>Not applicable</p></div>"
