"name","windowLower","description","uuid:ID","value","id","window","instanceType","label","windowUpper"
"TIM1","","Screening timing","6dde6b64-24f4-4cf9-8fd2-48ce756732e4","P2W","Timing_1","","Timing","Screening",""
"TIM2","PT4H","Pre dose timing","2224fd02-9254-49d4-bfee-7900feda082a","P2D","Timing_2","-4..0 hours","Timing","Pre dose","PT0H"
"TIM3","","Dosing anchor","83dde3c2-5292-47c5-99ca-4580400c7071","P1D","Timing_3","","Timing","Dosing",""
"TIM4","P3D","Week 2 timing","05d63d3b-477c-45a5-913c-354f95c90c81","P2W","Timing_4","-3..3 days","Timing","Week 2","P3D"
"TIM5","P3D","Week 4 timing","187e872c-8d5e-4880-b6c5-2269be0c7aff","P4W","Timing_5","-3..3 days","Timing","Week 4","P3D"
"TIM6","P3D","Week 6 timing","e46a2364-30d7-4e2b-8608-3640c2ff209c","P6W","Timing_6","-3..3 days","Timing","Week 6","P3D"
"TIM7","P3D","Week 8 timing","c7a77a3d-b1b9-4503-97a3-f6f4484306d8","P8W","Timing_7","-3..3 days","Timing","Week 8","P3D"
"TIM9","P4D","Week 12 timing","3ba0d448-6504-421d-bbbf-97ae5f09faf2","P12W","Timing_9","-4..4 days","Timing","Week 12","P4D"
"TIM11","P4D","Week 16 timing","4358eadb-a7fb-4af9-8f9e-e959c357544e","P16W","Timing_11","-4..4 days","Timing","Week 16","P4D"
"TIM13","P4D","Week 20 timing","f810b42f-30c3-4895-a4c3-15c55bb6f473","P20W","Timing_13","-4..4 days","Timing","Week 20","P4D"
"TIM15","P4D","Week 24 timing","5dbd1231-4452-4f29-9c9d-8513910acb42","P24W","Timing_15","-4..4 days","Timing","Week 24","P4D"
"TIM16","P3D","Week 26 timing","0d2d2be1-694a-446e-b7b6-3cfa777d3496","P26W","Timing_16","-3..3 days","Timing","Week 26","P3D"
"TIM8","","Week 8 at home timing","19aa1744-35e9-4899-8c79-4a833c9da07f","P2W","Timing_8","","Timing","Week 8 Home",""
"TIM10","","Week 12 at home timing","60474070-b573-4bf7-9b3d-e751aba47fc5","P2W","Timing_10","","Timing","Week 12 Home",""
"TIM12","","Week 16 at home timing","9441167f-6b84-44ec-8046-e3c17d5ed18d","P2W","Timing_12","","Timing","Week 16 Home",""
"TIM14","","Week 20 at home timing","57ddd11c-fcd9-42b4-a9f7-307eac25d614","P2W","Timing_14","","Timing","Week 20 Home",""
"TIM17","","Adverse Event","aa59a33f-d327-44e5-b7c0-7db9a5698e14","P1D","Timing_17","","Timing","Adverse Event",""
"TIM18","","Early Termination","90f8d584-5a32-42e8-ab69-25425f34f0dc","P1D","Timing_18","","Timing","Early Termination",""
"TIM19","","Supine","44e42d9d-c2d8-483f-8a2b-4d7ee9973d89","PT0M","Timing_19","","Timing","Supine",""
"TIM20","","VS while supine","7bc72fad-501d-456c-9a5b-d148eb38e8ed","PT5M","Timing_20","","Timing","VS while supine",""
"TIM21","","Standing","23e8708f-0018-49b8-8c5b-c7489a496dd9","PT0M","Timing_21","","Timing","Standing",""
"TIM22","","VS while standing","0ffc401e-cf94-4400-b9cb-8df454b690a6","PT1M","Timing_22","","Timing","VS while standing",""
"TIM23","","Standing","6f729c6a-6346-47fb-9a8b-9b9bafb91380","PT0M","Timing_23","","Timing","Standing",""
"TIM24","","VS while standing","bf4ccf60-e69a-4d59-a788-eb37b65d8bc2","PT2M","Timing_24","","Timing","VS while standing",""
