"uuid:ID","name","id","description","label","instanceType"
"e116962c-1bc7-4316-9047-cd79dee6975c","Informed consent","Activity_1","","","Activity"
"fed9ae5b-48bf-4253-a229-4b2f21154c2c","Inclusion/exclusion criteria","Activity_2","","","Activity"
"ccd4594c-23bc-4bcd-a205-62e16e1cde6b","Patient number assigned","Activity_3","","","Activity"
"89ba4103-d4b6-46bf-baed-865f58ca2d74","Demographics","Activity_4","","Demographics","Activity"
"a1554bb9-19b5-4a5e-aa36-8481d4cd6652","Hachinski","Activity_5","","Hachinski","Activity"
"ee9ac191-b1e9-473d-b364-8b4272f2ffe2","MMSE","Activity_6","","MMSE","Activity"
"6b3ebc8d-9a3f-4c73-ab3d-29262a83c82c","Physical examination","Activity_7","","","Activity"
"99b54d4c-54c5-4d03-892d-6abbeb15fef5","Medical history","Activity_8","","","Activity"
"b931d75e-b3dc-4107-af39-8da13587daee","Habits","Activity_9","","","Activity"
"8102e81b-fa51-42ab-a290-6e97ea31ea4b","Chest X-ray","Activity_10","","","Activity"
"c5d30555-3ffc-4981-beee-2afe937faa74","Apo E genotyping","Activity_11","","","Activity"
"6b851d18-ef4e-4831-abf5-e37fdf7382ab","Patient randomised","Activity_12","","","Activity"
"30e3cde6-314f-4108-aa86-1b46be98a263","Vital signs / Temperature","Activity_13","","Vital Signs and Temperature","Activity"
"f4c43485-5cd3-4f46-a446-d298869249fc","Ambulatory ECG placed","Activity_14","","","Activity"
"b5903466-f095-43fc-8f4d-3ee93b825a68","Ambulatory ECG removed","Activity_15","","","Activity"
"2ed70f29-7bb9-45d7-af58-b92b8f88933d","ECG","Activity_16","","","Activity"
"b907b538-adec-471b-9ad7-f04676ff2bb4","Placebo TTS test","Activity_17","","","Activity"
"9b509adc-131d-4bb0-ad63-745e0e9208ea","CT scan","Activity_18","","","Activity"
"8b093c41-5202-4c65-bcae-8effda443b7f","Concomitant medications","Activity_19","","","Activity"
"6a370529-3c29-4ee0-a5f7-b555bd217c55","Hematology","Activity_20","","","Activity"
"99bdba20-233f-4a9f-9284-553bba9f7597","Chemistry","Activity_21","","","Activity"
"92869c3e-786b-4b0b-932c-e031300bdb43","Uninalysis","Activity_22","","","Activity"
"7e4463c4-55b7-4284-8cac-2eaf6c05fec1","Plasma Specimen (Xanomeline)","Activity_23","","","Activity"
"a71cd28d-a3b0-44e7-8211-5763b4e0c824","Hemoglobin A1C","Activity_24","","","Activity"
"77b71997-f267-4613-8d84-bd53a7132e61","Study drug","Activity_25","","Study drug record , Medications dispensed, Medications returned","Activity"
"2d497351-67d8-4c87-afe0-c7feaa35f747","TTS Acceptability Survey","Activity_26","","","Activity"
"bd3cf5d5-483e-4c81-a65d-c87d76e13597","ADAS-Cog","Activity_27","","","Activity"
"c57f2a11-5307-48c1-9a27-0bbda8cd28f0","CIBIC+","Activity_28","","","Activity"
"7f23db21-3e5a-40c1-b61c-50cf788ab1d1","DAD","Activity_29","","","Activity"
"c0d48ae8-b2ef-4ab0-bf86-0b30e3121058","NPI-X","Activity_30","","","Activity"
"8776ae49-3b86-4adf-b6e9-015cdd029256","Adverse events","Activity_31","","","Activity"
"ad2798d9-fc01-490c-af4d-213e46eadd04","Check adverse events","Activity_32","","","Activity"
"4b96f8ca-5c82-477d-b85f-7f3d55be5b82","Supine","Activity_33","","Subject supine","Activity"
"ebdb724c-e169-4491-8a44-e326bad2ef39","Vital Signs Supine","Activity_34","","Vital signs while supine","Activity"
"033589c1-bdbd-4102-aed1-fe2e6468d6a6","Stand","Activity_35","","Subject Standing","Activity"
"efcfd470-301c-4dff-b1b3-c0a41419cefe","Vital Signs Standing","Activity_36","","Vital signs while standing","Activity"
