"uuid:ID","window","name","id","description","label","instanceType","windowUpper","windowLower","value"
"61b8bd9b-22cb-434c-8dda-982023c2ee58","","TIM1","Timing_1","Screening timing","Screening","Timing","","","P2W"
"a1534753-4369-44b7-a623-c3fe6ea40b7a","-4..0 hours","TIM2","Timing_2","Pre dose timing","Pre dose","Timing","PT0H","PT4H","P2D"
"7cd8786f-8bdd-4e4e-b026-acd018a33175","","TIM3","Timing_3","Dosing anchor","Dosing","Timing","","","P1D"
"6d29a39b-d4c1-4d76-be74-2908de184570","-3..3 days","TIM4","Timing_4","Week 2 timing","Week 2","Timing","P3D","P3D","P2W"
"7591ea3f-4104-49ee-9e1f-c76965054bfa","-3..3 days","TIM5","Timing_5","Week 4 timing","Week 4","Timing","P3D","P3D","P4W"
"de086899-aaa1-45dc-8845-073cf42130be","-3..3 days","TIM6","Timing_6","Week 6 timing","Week 6","Timing","P3D","P3D","P6W"
"6087a531-218f-4bd7-979c-d6cfb0f23b65","-3..3 days","TIM7","Timing_7","Week 8 timing","Week 8","Timing","P3D","P3D","P8W"
"044c6691-c33d-4dc7-9b1f-40f569b282f6","-4..4 days","TIM9","Timing_9","Week 12 timing","Week 12","Timing","P4D","P4D","P12W"
"a9ae02d8-aa84-4a64-a89c-11879878c309","-4..4 days","TIM11","Timing_11","Week 16 timing","Week 16","Timing","P4D","P4D","P16W"
"fcffe41d-b68b-47b0-8946-7c6a7985a2da","-4..4 days","TIM13","Timing_13","Week 20 timing","Week 20","Timing","P4D","P4D","P20W"
"27d4e613-c926-4e59-8968-a3a038ebf6ea","-4..4 days","TIM15","Timing_15","Week 24 timing","Week 24","Timing","P4D","P4D","P24W"
"7653da05-b2c5-40d8-9738-a9294b5fe6df","-3..3 days","TIM16","Timing_16","Week 26 timing","Week 26","Timing","P3D","P3D","P26W"
"520c542a-d51f-4640-ab93-d9a7b1f330e3","","TIM8","Timing_8","Week 8 at home timing","Week 8 Home","Timing","","","P2W"
"2f0c0ebc-f2df-441e-ae27-4306d834d051","","TIM10","Timing_10","Week 12 at home timing","Week 12 Home","Timing","","","P2W"
"d10f5c3a-6772-4de4-ab27-bed26ea67aee","","TIM12","Timing_12","Week 16 at home timing","Week 16 Home","Timing","","","P2W"
"895ca2d6-9503-4a75-87c8-48126cadd007","","TIM14","Timing_14","Week 20 at home timing","Week 20 Home","Timing","","","P2W"
"764e6839-dfeb-4e8a-9549-c0f9e0d1534f","","TIM17","Timing_17","Adverse Event","Adverse Event","Timing","","","P1D"
"91b3797a-75ca-44d9-adb2-d07e1412ea34","","TIM18","Timing_18","Early Termination","Early Termination","Timing","","","P1D"
"ac21cc59-4440-48dc-bd6a-9959c009ad06","","TIM19","Timing_19","Supine","Supine","Timing","","","PT0M"
"17777aad-45d7-4537-a4ed-d76534e69eb9","","TIM20","Timing_20","VS while supine","VS while supine","Timing","","","PT5M"
"ec17d3dc-ba90-425b-8f1e-b399cd03a2da","","TIM21","Timing_21","Standing","Standing","Timing","","","PT0M"
"b71c838c-2c88-4ad6-8e0d-36fe8f1ea825","","TIM22","Timing_22","VS while standing","VS while standing","Timing","","","PT1M"
"3df41c25-ec7a-4dea-aab8-c96f4fcf9637","","TIM23","Timing_23","Standing","Standing","Timing","","","PT0M"
"223fdc96-720d-4c4b-85e9-ae3453a77c55","","TIM24","Timing_24","VS while standing","VS while standing","Timing","","","PT2M"
