"uuid:ID","name","id","instanceType","text"
"aeaf9a28-bf53-483d-8add-33ba2b1ded32","ENCOUNTER_START_RULE_1","TransitionRule_1","TransitionRule","Subject identifier"
"a757b782-069e-4e72-bbdc-3bfbd8b39aaf","ENCOUNTER_START_RULE_1","TransitionRule_2","TransitionRule","completion of screening activities"
"22f90464-6711-417e-a2dc-e153c4514bfd","ENCOUNTER_START_RULE_2","TransitionRule_3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"c6938520-73ce-4eb8-8a98-e87f21317540","ENCOUNTER_START_RULE_3","TransitionRule_4","TransitionRule","subject has connection of ambulatory ECG machine removed"
"1b0c5089-159e-4610-babc-473bcae01462","ENCOUNTER_START_RULE_3","TransitionRule_5","TransitionRule","Radomized"
"d910525e-418b-4f98-b2f3-659811e7a8f3","ENCOUNTER_START_RULE_12","TransitionRule_6","TransitionRule","End of treatment"
"b95a93ed-a05d-48c8-b98c-cf69b4d3dff9","ELEMENT_START_RULE_1","TransitionRule_7","TransitionRule","Informed consent"
"321d44ed-1366-41fa-861a-680978ce0cd9","ELEMENT_END_RULE_1","TransitionRule_8","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"02720978-7c4e-4e2c-980f-537b4fd28c69","ELEMENT_START_RULE_2","TransitionRule_9","TransitionRule","Administration of first dose"
"d5ceb57a-d064-4223-bd1d-fdbb99f2baca","ELEMENT_START_RULE_7","TransitionRule_14","TransitionRule","End of last scheduled visit on study (including early termination)"
"7c54dd0c-8899-47aa-8d85-6e1e642eb8ce","ELEMENT_END_RULE_7","TransitionRule_15","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"de23a972-a9fe-4ca5-b0c0-7b62fb54d6c7","ELEMENT_START_RULE_3","TransitionRule_10","TransitionRule","Administration of first dose"
"3ba8122f-ed29-4e60-9295-d3f32de8bdac","ELEMENT_START_RULE_4","TransitionRule_11","TransitionRule","Randomized"
"a404527e-70b2-421b-8652-370e198770fa","ELEMENT_START_RULE_5","TransitionRule_12","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"57874fa0-04a0-45c4-82fa-855e3faad91d","ELEMENT_START_RULE_6","TransitionRule_13","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
