"uuid:ID","name","id","description","label","instanceType"
"36c1c73d-0395-42e4-8d35-4e7bc66404b6","E1","Encounter_1","Screening encounter","Screening 1","Encounter"
"9bd5e04e-e8c2-42ff-b3d2-dab1fddc466d","E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter"
"e23e2686-2470-456f-b899-17a62bf7f2e4","E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter"
"492af53e-c00d-4333-bc90-8e65065c206a","E4","Encounter_4","Day 14","Week 2","Encounter"
"6eea78e8-de9d-4511-96f2-84f38340bfd5","E5","Encounter_5","Day 28","Week 4","Encounter"
"f6755d5c-7b3a-4634-9a7c-8da3c4d54fdf","E7","Encounter_6","Day 42","Week 6","Encounter"
"98c372cc-dfc2-4216-9fc0-1d7689e2367b","E8","Encounter_7","Day 56","Week 8","Encounter"
"d287254e-813b-47cd-9f82-b3a9ae7e39ee","E9","Encounter_8","Day 84","Week 12","Encounter"
"890a2bd8-346f-4207-8ca7-fb1473a2a3c7","E10","Encounter_9","Day 112","Week 16","Encounter"
"b551aad3-8fb1-4017-8031-30761c3aeb20","E11","Encounter_10","Day 140","Week 20","Encounter"
"f3e9fa4f-a77f-4d80-a9a5-d480da3c9e76","E12","Encounter_11","Day 168","Week 24","Encounter"
"bd6c0b01-97d7-485b-8fbf-4899bcfda2ad","E13","Encounter_12","Day 182","Week 26","Encounter"
