"codeSystem","uuid:ID","decode","id","code","codeSystemVersion","instanceType"
"http://www.cdisc.org","d705717d-0b44-47e3-b256-865a8694163f","Interventional Study","Code_1","C98388","2023-09-29","Code"
"http://www.cdisc.org","6d8523a8-bfab-4980-9f06-5d620bf78f0b","Phase II Trial","Code_2","C15601","2023-09-29","Code"
"http://www.cdisc.org","dfd92ba5-f777-4bb7-b2de-25d2299bf394","Sponsor Approval Date","Code_9","C132352","2023-09-29","Code"
"http://www.cdisc.org","4610c591-1251-4a8a-bbef-5864538b2df8","Global","Code_10","C68846","2023-09-29","Code"
"http://www.cdisc.org","795dbd3b-98d7-4703-8d5e-17604f6aaf34","IRB/IEC Feedback","Code_72","C99904x3","2023-09-29","Code"
"http://www.cdisc.org","8e4fc3be-62da-44ec-bf04-e083a5e0f2ae","Other","Code_73","C17649","2023-09-29","Code"
"http://www.cdisc.org","66b9ef98-9e2c-4792-8a1b-37108810de1b","Region","Code_75","C41129","2023-09-29","Code"
"ISO 3166 1 alpha3","8baaf1ff-d90e-4271-bc59-a2837a51d863","Europe","Code_74","150","2020-08","Code"
"SPONSOR","81681fcb-0d59-451b-b847-d5d3a9a14f64","Eli Lilly","Code_4","PHARMA","12","Code"
"http://www.cdisc.org","b13f504d-cf86-4c32-aa35-a05c8ac49d20","Clinical Study Sponsor","Code_76","C70793","2023-09-29","Code"
"ISO 3166 1 alpha3","2a9275fa-2a56-4256-a96f-534823a45c29","United States of America","Code_77","USA","2020-08","Code"
"http://www.cdisc.org","109a1118-ad41-4472-8e62-7bc55cc18724","Study Registry","Code_78","C93453","2023-09-29","Code"
"http://www.cdisc.org","f5bd1f5b-2146-4692-a247-8a1d3f9d4a76","Treatment Study","Code_136","C49656","2023-09-29","Code"
"http://www.cdisc.org","002182ba-4910-4829-ada2-9977eb759d22","Efficacy Study","Code_137","C49666","2023-09-29","Code"
"http://www.cdisc.org","169108a1-b544-41cf-b082-db959ecdcc2e","Safety Study","Code_138","C49667","2023-09-29","Code"
"http://www.cdisc.org","48aa378a-f5d9-4bed-bde8-9061e037aa35","Pharmacokinetic Study","Code_139","C49663","2023-09-29","Code"
"SPONSOR","0fc3f3db-fa89-49ae-9408-9e763a875fe9","Mild to Moderate Alzheimer's Disease","Code_133","MILD_MOD_ALZ","12","Code"
"SNOMED","605d92ce-681b-46f9-b2e0-05413d577c63","Alzheimer's disease","Code_134","26929004","January 31, 2018","Code"
"http://www.cdisc.org","cea90b36-377d-4db5-ae9c-c72ec80a0c7d","EXTENSION","Code_142","C99907x1","2023-09-29","Code"
"http://www.cdisc.org","38899f44-7290-4d8e-b94d-0144a4f57bb2","ADAPTIVE","Code_143","C98704","2023-09-29","Code"
"http://www.cdisc.org","5de09260-0e83-4593-9364-c0a0ebd6770b","Parallel Study","Code_140","C82639","2023-09-29","Code"
"http://www.cdisc.org","46f9b9de-ae03-4bc7-99ec-d88324ba6e52","Visit","Code_82","C25716","2023-09-29","Code"
"http://www.cdisc.org","6dea2317-6c30-4cef-ab3a-ec6d3ac27e96","Clinic","Code_83","C51282","2023-09-29","Code"
"http://www.cdisc.org","79f2838e-77dc-4555-8533-b681ec159f4f","In Person","Code_84","C175574","2023-09-29","Code"
"http://www.cdisc.org","b7839186-3981-41b0-a1c6-763e848f3e2e","Visit","Code_85","C25716","2023-09-29","Code"
"http://www.cdisc.org","108e6285-2c16-416e-9622-929652ed42ab","Clinic","Code_86","C51282","2023-09-29","Code"
"http://www.cdisc.org","bf476ce7-4794-4f50-a30e-d403352c4c81","In Person","Code_87","C175574","2023-09-29","Code"
"http://www.cdisc.org","8b22f100-4a10-457f-9121-c919d63e90e3","Visit","Code_88","C25716","2023-09-29","Code"
"http://www.cdisc.org","dab42212-ae9d-4a03-b225-ad2598ae527e","Clinic","Code_89","C51282","2023-09-29","Code"
"http://www.cdisc.org","5e1bf6e7-55f0-4fb1-9405-49ca2aeefcce","In Person","Code_90","C175574","2023-09-29","Code"
"http://www.cdisc.org","2e8f178b-94fb-4f84-ab2f-4971a1624ee9","Visit","Code_91","C25716","2023-09-29","Code"
"http://www.cdisc.org","12421ed5-1283-4891-8258-e0b5575ad3b6","Clinic","Code_92","C51282","2023-09-29","Code"
"http://www.cdisc.org","fe27fb44-2f38-4950-ad39-3ced13055f78","In Person","Code_93","C175574","2023-09-29","Code"
"http://www.cdisc.org","9f441e56-1388-416b-95f8-a070f8b403d9","Visit","Code_94","C25716","2023-09-29","Code"
"http://www.cdisc.org","96347348-6968-480d-be10-b98e63444849","Clinic","Code_95","C51282","2023-09-29","Code"
"http://www.cdisc.org","f82e73bc-751d-45bb-b63f-a48b19f1fccc","In Person","Code_96","C175574","2023-09-29","Code"
"http://www.cdisc.org","9c6af3e8-824e-4b45-97ea-51116292cbe8","Visit","Code_97","C25716","2023-09-29","Code"
"http://www.cdisc.org","4df5b469-57f6-4789-a8b8-6485d213fcfa","Clinic","Code_98","C51282","2023-09-29","Code"
"http://www.cdisc.org","50e18ec4-6b22-47cd-907f-568d826503e5","In Person","Code_99","C175574","2023-09-29","Code"
"http://www.cdisc.org","2b311674-188c-465e-b4c3-49fd562f15a9","Visit","Code_100","C25716","2023-09-29","Code"
"http://www.cdisc.org","79fc34d5-6197-4997-951d-02ab1d34d387","Clinic","Code_101","C51282","2023-09-29","Code"
"http://www.cdisc.org","4b6c9624-2719-4fcc-ab93-bd1be2700ab9","In Person","Code_102","C175574","2023-09-29","Code"
"http://www.cdisc.org","f4c887b9-6d4c-4175-a7c6-14d40bb68c7c","Telephone Call","Code_103","C171537","2023-09-29","Code"
"http://www.cdisc.org","79dc9fe5-616f-47b1-a614-daba7ded9bdf","Visit","Code_104","C25716","2023-09-29","Code"
"http://www.cdisc.org","12a06bb0-7ebb-425e-bea2-7c3e0e6825fe","Clinic","Code_105","C51282","2023-09-29","Code"
"http://www.cdisc.org","b649b6ba-03e9-44fe-99aa-65736549fb0d","In Person","Code_106","C175574","2023-09-29","Code"
"http://www.cdisc.org","d9c02dfd-3ecc-4ec5-b074-b350cf682532","Telephone Call","Code_107","C171537","2023-09-29","Code"
"http://www.cdisc.org","96155df9-0276-4531-8f0c-2a0afbd2c4e8","Visit","Code_108","C25716","2023-09-29","Code"
"http://www.cdisc.org","0ef9c85e-42f1-448b-9295-d2a68f1287b3","Clinic","Code_109","C51282","2023-09-29","Code"
"http://www.cdisc.org","027e648c-0d39-4345-860d-cdda7a9862a7","In Person","Code_110","C175574","2023-09-29","Code"
"http://www.cdisc.org","7fa84d86-cc92-414b-8b9e-8aeccdea3e8d","Telephone Call","Code_111","C171537","2023-09-29","Code"
"http://www.cdisc.org","232eee7f-9c5c-4b23-9dea-a34e429973d9","Visit","Code_112","C25716","2023-09-29","Code"
"http://www.cdisc.org","4640f59b-60d6-4c20-8f84-40cd442d41f0","Clinic","Code_113","C51282","2023-09-29","Code"
"http://www.cdisc.org","a247f125-6886-4a17-8f02-f6d3aac9ea10","In Person","Code_114","C175574","2023-09-29","Code"
"http://www.cdisc.org","e29d9dc1-0bea-4467-bb0e-ac0571bd9fe7","Telephone Call","Code_115","C171537","2023-09-29","Code"
"http://www.cdisc.org","493e182f-9a1d-4541-a94c-7e3586f1de08","Visit","Code_116","C25716","2023-09-29","Code"
"http://www.cdisc.org","4bb8e1e7-ae8e-42ea-8162-925e0d82e458","Clinic","Code_117","C51282","2023-09-29","Code"
"http://www.cdisc.org","c44506c3-6291-4ca8-b610-f4033070b977","In Person","Code_118","C175574","2023-09-29","Code"
"http://www.cdisc.org","8b754ef0-4585-4d22-b4b3-f26d07cf4d72","Visit","Code_119","C25716","2023-09-29","Code"
"http://www.cdisc.org","1ed02a55-d0ce-4d1b-8ab8-b96d44a9cf75","Clinic","Code_120","C51282","2023-09-29","Code"
"http://www.cdisc.org","da27b255-f626-4f72-bbcf-059034f71494","In Person","Code_121","C175574","2023-09-29","Code"
"SNOMED","611a9306-c0ba-44e7-9269-c244da60e6c7","CT of head without contrast","Code_79","383371000119108","January 31, 2018","Code"
"SPONSOR","9cbb47b8-f866-49d1-8830-53c9b8e60e4c","Subject Supine","Code_80","123","12","Code"
"SPONSOR","fd18f4ff-ad30-43d3-aab2-34e52eb0333c","Subject Standing","Code_81","124","12","Code"
"NCI Thesaurus","c6151ab4-4181-454d-83da-811a54d92166","Clinical Test Result","Code_268","C77140","","Code"
"http://www.cdisc.org","d082a7d9-3abb-4722-9599-b1a12101080c","Kelvin","Code_269","C42537","2023-09-29","Code"
"NCI Thesaurus","49534237-ab42-4b83-b805-93f94b70053b","Unit of Temperature","Code_270","C44276","","Code"
"NCI Thesaurus","9f337e5f-46bc-41e6-831a-35870b553f2c","Anatomic Site","Code_271","C13717","","Code"
"NCI Thesaurus","01f5f35d-341a-456e-8539-1010c0833e10","Body Temperature","Code_267","C174446","","Code"
"NCI Thesaurus","b615f575-d555-4d93-b3ed-fc31e2899da3","Clinical Test Result","Code_273","C77140","","Code"
"http://www.cdisc.org","40009bbc-02a7-4ec1-9a4b-043d4dea677a","Kilogram","Code_274","C28252","2023-09-29","Code"
"http://www.cdisc.org","bd5765ca-11bc-4009-876a-2280f471a4e2","Gram","Code_275","C48155","2023-09-29","Code"
