"uuid:ID","name","id","sectionNumber","instanceType","sectionTitle","text"
"7a3e6df8-77ba-4c4d-9b60-d6674680e6f2","ROOT","NarrativeContent_1","0","NarrativeContent","Root",""
"ee48abac-1da6-4885-a32b-cfd074e9e5be","SECTION 0","NarrativeContent_2","0","NarrativeContent","TITLE PAGE","<div><usdm:section name=""M11-title-page""></usdm:section></div>"
"a1f65e31-9c4d-4cac-9000-ae915a621c74","SECTION 1","NarrativeContent_3","1","NarrativeContent","PROTOCOL SUMMARY","<div></div>"
"b69714e4-515a-4106-bf9b-c1b46c02f9a0","SECTION 1.1","NarrativeContent_4","1.1","NarrativeContent","Protocol Synopsis","<div></div>"
"9588a392-ee7a-49ba-8752-66535484ec43","SECTION 1.2","NarrativeContent_5","1.2","NarrativeContent","Trial Schema","<div></div>"
"d86dd2ca-f2a9-4842-aa0a-d1c67428fa43","SECTION 1.3","NarrativeContent_6","1.3","NarrativeContent","Schedule of Activities","<div></div>"
"8cdeb655-647b-4b40-8ecf-1d274bf7303a","SECTION 2","NarrativeContent_7","2","NarrativeContent","INTRODUCTION","<div></div>"
"a993de63-20de-422c-88bc-c37734cad2e1","SECTION 2.1","NarrativeContent_8","2.1","NarrativeContent","Purpose of Trial","<div></div>"
"661bcbf2-8d6e-4de2-a0f1-98074b2642eb","SECTION 2.2","NarrativeContent_9","2.2","NarrativeContent","Summary of Benefits and Risks","<div></div>"
"52b11f71-b122-48f0-b77d-dd993c6d598f","SECTION 3","NarrativeContent_10","3","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>"
"173fccef-a548-4cbd-b540-6758d706807a","SECTION 3.1","NarrativeContent_11","3.1","NarrativeContent","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></usdm:section></div>"
"700eafc4-5a45-4211-8d58-135fe54c7319","SECTION 4","NarrativeContent_12","4","NarrativeContent","TRIAL DESIGN","<div></div>"
"62c524fb-539d-46d9-bdcd-1d99881c5e91","SECTION 4.1","NarrativeContent_13","4.1","NarrativeContent","Description of Trial Design","<div></div>"
