"uuid:ID","isRequired","name","id","label","isEnabled","instanceType","datatype"
"7ebc9859-f4c2-4a0d-8b32-77517a85a407","True","Clinical Test Result","BiomedicalConceptProperty_89","Clinical Test Result","True","BiomedicalConceptProperty","decimal"
"b31b26cc-6bbb-4202-8c4d-3efbb0bc2830","True","Unit of Temperature","BiomedicalConceptProperty_90","Unit of Temperature","True","BiomedicalConceptProperty","string"
"6c6694e8-c0e6-4f75-8fc8-25a55c39a838","True","Anatomic Site","BiomedicalConceptProperty_91","Anatomic Site","True","BiomedicalConceptProperty","string"
"2808f1fe-c36a-4c4e-9860-50b4b667c589","True","Clinical Test Result","BiomedicalConceptProperty_92","Clinical Test Result","True","BiomedicalConceptProperty","decimal"
"f778e32e-09d8-41f9-b201-e20b1bf11f92","True","Unit of Weight","BiomedicalConceptProperty_93","Unit of Weight","True","BiomedicalConceptProperty","string"
"2fb284fc-464f-4958-b225-76705e4f13ce","True","Clinical Test Result","BiomedicalConceptProperty_94","Clinical Test Result","True","BiomedicalConceptProperty","decimal"
"13f1f665-462c-4dff-8f72-01d355e088fe","True","Unit of Height","BiomedicalConceptProperty_95","Unit of Height","True","BiomedicalConceptProperty","string"
"77217b3f-69b9-46b1-b628-3dea9213abe5","True","Laboratory Test Result","BiomedicalConceptProperty_96","Laboratory Test Result","True","BiomedicalConceptProperty","decimal"
"b511701e-d835-4a44-98e4-5e2bf940163d","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_97","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","boolean"
"25ed528d-70e9-4fb5-8f2a-122c1a937ce5","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_98","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","string"
"85e83e4c-6557-4878-8eba-90d5b13ee20b","True","Biospecimen Type","BiomedicalConceptProperty_99","Biospecimen Type","True","BiomedicalConceptProperty","string"
"333592e6-3d56-4004-b1a7-72f30141e00e","True","Laboratory Test Result","BiomedicalConceptProperty_100","Laboratory Test Result","True","BiomedicalConceptProperty","string"
"72c47370-3835-48a5-ad88-86bc4c6f5b84","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_101","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","boolean"
"24d75e35-85b2-4719-a433-de7d152cc6fe","True","Unit of Concentration","BiomedicalConceptProperty_102","Unit of Concentration","True","BiomedicalConceptProperty","string"
"3b59c76f-cb87-4a12-98ea-bf4a87212070","True","Biospecimen Type","BiomedicalConceptProperty_103","Biospecimen Type","True","BiomedicalConceptProperty","string"
"4de2e7e9-679f-42c9-92d7-760ec3cd6fc9","True","Laboratory Test Result","BiomedicalConceptProperty_104","Laboratory Test Result","True","BiomedicalConceptProperty","decimal"
"65deb4c2-a542-4c0a-9d7f-ec13dbb8cc03","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_105","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","boolean"
"b8e7d671-5f02-4c7e-94a5-e727c5ac065d","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_106","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","string"
"d5d27a33-a447-470f-b1a8-f78e5d3b7e62","True","Biospecimen Type","BiomedicalConceptProperty_107","Biospecimen Type","True","BiomedicalConceptProperty","string"
"0421d0f8-8f54-430e-abd0-41decdaad285","True","Laboratory Test Result","BiomedicalConceptProperty_108","Laboratory Test Result","True","BiomedicalConceptProperty","decimal"
"a7ed325b-d46b-4df8-be8d-5e4dbb8ff289","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_109","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","boolean"
"bbcf4254-bf1e-42e8-ab8f-e4ee1e8c1f92","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_110","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","string"
"4212942f-72de-461c-85ac-6c75d48eb7b6","True","Biospecimen Type","BiomedicalConceptProperty_111","Biospecimen Type","True","BiomedicalConceptProperty","string"
"2aecd4ee-3b79-47c4-84ac-a395cb091083","True","Laboratory Test Result","BiomedicalConceptProperty_112","Laboratory Test Result","True","BiomedicalConceptProperty","string"
