"uuid:ID","reference","name","id","synonyms","label","instanceType"
"980ac8f0-b4cd-4a8a-828c-5aed4834d908","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_20","['Temperature']","Body Temperature","BiomedicalConcept"
"b7aa334a-fecc-4554-8148-0eac2ffd61ae","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_21","['Weight']","Body Weight","BiomedicalConcept"
"1016afa4-b74d-4793-bebd-b7609e4aaed2","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_22","['Height']","Body Height","BiomedicalConcept"
"3f0ae1f3-1ab9-445d-a325-5aa688f87d67","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_23","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept"
"c8511f0d-65de-4a3f-a1d3-5749a0fcf256","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_24","['Albumin']","Albumin Measurement","BiomedicalConcept"
"fcff3640-7cdc-4982-a3e0-d53769548d44","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_25","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept"
"1033ac2b-9475-411b-ae87-3ca43718d02b","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept"
"aa2419e8-647b-42be-b2be-7f061a4fc4e2","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_27","['Creatinine']","Creatinine Measurement","BiomedicalConcept"
"6a2edc0e-448e-41e7-9d31-06a810dedbda","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_28","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept"
"dddbe800-69fe-419f-8415-4f289f8798a2","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept_29","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept"
