"name","uuid:ID","instanceType","description","label","id"
"E1","a46f5346-7fbc-4eab-8701-ca7f3440defe","Encounter","Screening encounter","Screening 1","Encounter_1"
"E2","70cdc104-9ea6-49e5-976e-f5017a617cf1","Encounter","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2"
"E3","2d493f05-1862-43f3-8ae1-b7ce6cb60378","Encounter","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3"
"E4","aa8f9fdb-9807-4dd7-8dcc-f342c7fcfbbe","Encounter","Day 14","Week 2","Encounter_4"
"E5","34fad200-82b8-4712-b163-bd97e8875e3b","Encounter","Day 28","Week 4","Encounter_5"
"E7","dfba57fc-9e4b-4567-b228-90996db6c998","Encounter","Day 42","Week 6","Encounter_6"
"E8","8b3b3365-9145-41ce-b245-790bfb4eb666","Encounter","Day 56","Week 8","Encounter_7"
"E9","fb552e2a-58e9-4d0a-98f7-0e9350b9cf41","Encounter","Day 84","Week 12","Encounter_8"
"E10","dce21c99-fb19-4efd-88ee-77c25e8473b7","Encounter","Day 112","Week 16","Encounter_9"
"E11","7a4b5729-3c0d-42ef-9e44-f701396d4d92","Encounter","Day 140","Week 20","Encounter_10"
"E12","49892a12-1bc0-47e1-b5f4-121f14b06276","Encounter","Day 168","Week 24","Encounter_11"
"E13","217e993f-2fd5-4811-9c0e-998c0c4d5d7c","Encounter","Day 182","Week 26","Encounter_12"
