"name","uuid:ID","instanceType","description","label","id"
"SCREEN1","c3fb1893-77ef-46f8-8639-6cd6f9585717","ScheduledActivityInstance","-","Screen One","ScheduledActivityInstance_9"
"SCREEN2","d43e31c7-4de8-4655-9894-18f567cd7bed","ScheduledActivityInstance","-","Screen Two","ScheduledActivityInstance_10"
"DOSE","78f57e89-6970-43d7-8630-ca430b7505de","ScheduledActivityInstance","-","Dose","ScheduledActivityInstance_11"
"WK2","4d524c7d-c600-43ac-8008-b55f3a7fecf5","ScheduledActivityInstance","-","Week 2","ScheduledActivityInstance_12"
"WK4","f1c3a54c-6fea-4f4e-834a-4f3fc36ce6ea","ScheduledActivityInstance","-","Week 4","ScheduledActivityInstance_13"
"WK6","e86fb818-08e6-45af-b510-1ea7f0bb54aa","ScheduledActivityInstance","-","Week 6","ScheduledActivityInstance_14"
"WK8","03c7a2ea-d4a3-45e0-be91-6bd4546fe4bc","ScheduledActivityInstance","-","Week 8","ScheduledActivityInstance_15"
"WK8N","e882d2fe-c21a-491d-bbb4-345273225083","ScheduledActivityInstance","-","Week NPI","ScheduledActivityInstance_16"
"WK12","0ae93bf5-88fb-47fc-865f-6609df7c4031","ScheduledActivityInstance","-","Week 12","ScheduledActivityInstance_17"
"WK12N","0c62aaf2-11ce-40f1-a2f3-58c60947f118","ScheduledActivityInstance","-","Week 12 NPI","ScheduledActivityInstance_18"
"WK16","c8645285-61b1-4678-8b33-527d54b861f4","ScheduledActivityInstance","-","Week 16","ScheduledActivityInstance_19"
"WK16N","943af8f0-7278-491c-be3c-6aaf40b96690","ScheduledActivityInstance","-","Week 16 NPI","ScheduledActivityInstance_20"
"WK20","02b4c195-9de9-4703-9702-e68d908de6d0","ScheduledActivityInstance","-","Week 20","ScheduledActivityInstance_21"
"WK20N","17dec514-2e0f-4d45-bdef-4c89aa59ddd4","ScheduledActivityInstance","-","Week 20 NPI","ScheduledActivityInstance_22"
"WK24","3f298537-83f1-4453-8143-bbdab08271b7","ScheduledActivityInstance","-","Week 24","ScheduledActivityInstance_23"
"WK26","37f27a20-8956-4731-9246-26f9c4b8d1bf","ScheduledActivityInstance","-","Week 26","ScheduledActivityInstance_24"
"AE","3e3949fb-4739-4c64-88fd-11c56ec56817","ScheduledActivityInstance","-","Adevers Event","ScheduledActivityInstance_1"
"ET","5a92a310-5c1e-42e3-8387-c1c6ed3a2823","ScheduledActivityInstance","-","Early Termination","ScheduledActivityInstance_2"
"VS_5MIN","c5af620f-2450-4108-a082-2eb0f449d397","ScheduledActivityInstance","","5 minute supine","ScheduledActivityInstance_3"
"VS_SUPINE","0c501264-c623-4a80-b903-682228f8a249","ScheduledActivityInstance","","Vital signs supine","ScheduledActivityInstance_4"
"VS_1MIN","6da92fbf-d273-4a5b-bf94-b43008f6efc7","ScheduledActivityInstance","","1 minute standing","ScheduledActivityInstance_5"
"VS_STAND1","0e3bebd8-72e0-40a1-9218-f34532843263","ScheduledActivityInstance","","Vital signs after 1 min standing","ScheduledActivityInstance_6"
"VS_2MIN","bf39dd47-7284-41c9-8251-8ae66ed7888b","ScheduledActivityInstance","","2 minute standing","ScheduledActivityInstance_7"
"VS_STAND3","7f0858a6-e6be-4df4-a78f-bb0db399ec00","ScheduledActivityInstance","","Vital signs after 3 min standing","ScheduledActivityInstance_8"
