"name","uuid:ID","windowLower","instanceType","windowUpper","description","valueLabel","label","value","id","windowLabel"
"TIM1","18c71ef3-f654-456b-8698-cacca878c673","","Timing","","Screening timing","2 weeks","Screening","P2W","Timing_1",""
"TIM2","df55bdf0-5638-4732-83be-e9125eba5ec0","PT4H","Timing","PT0H","Pre dose timing","2 days","Pre dose","P2D","Timing_2","-4..0 hours"
"TIM3","d748e919-8129-420a-a2c0-6fd412fd4977","","Timing","","Dosing anchor","1 Day","Dosing","P1D","Timing_3",""
"TIM4","e1738b4d-e811-4163-a94b-da6490436041","P3D","Timing","P3D","Week 2 timing","2 Weeks","Week 2","P2W","Timing_4","-3..3 days"
"TIM5","3140815b-62cd-408d-857f-4e111b59f472","P3D","Timing","P3D","Week 4 timing","4 Weeks","Week 4","P4W","Timing_5","-3..3 days"
"TIM6","18dd1aa4-e8a5-4f21-ad2c-53ab92cc64a4","P3D","Timing","P3D","Week 6 timing","6 Weeks","Week 6","P6W","Timing_6","-3..3 days"
"TIM7","cc7d1dcf-66d5-46cf-b549-d103aca83799","P3D","Timing","P3D","Week 8 timing","8 Weeks","Week 8","P8W","Timing_7","-3..3 days"
"TIM9","6484d58d-09f3-42a6-b239-3d3286261b7e","P4D","Timing","P4D","Week 12 timing","12 Weeks","Week 12","P12W","Timing_9","-4..4 days"
"TIM11","742a9ca6-548a-4922-8ed2-3cc4f3b0c638","P4D","Timing","P4D","Week 16 timing","16 Weeks","Week 16","P16W","Timing_11","-4..4 days"
"TIM13","638b4507-af01-4a77-9e1f-e1dcc4242ab2","P4D","Timing","P4D","Week 20 timing","20 Weeks","Week 20","P20W","Timing_13","-4..4 days"
"TIM15","a2b540bb-ebf6-425e-8b3d-09ea02df79a5","P4D","Timing","P4D","Week 24 timing","24 Weeks","Week 24","P24W","Timing_15","-4..4 days"
"TIM16","de9f4d28-a181-41b6-ab81-48e91ca47a6a","P3D","Timing","P3D","Week 26 timing","26 Weeks","Week 26","P26W","Timing_16","-3..3 days"
"TIM8","62f972c6-7deb-49a2-af8e-c34720f4212d","","Timing","","Week 8 at home timing","2 Weeks","Week 8 Home","P2W","Timing_8",""
"TIM10","1215000b-240b-4907-8945-c5ad3c67ebc7","","Timing","","Week 12 at home timing","2 Weeks","Week 12 Home","P2W","Timing_10",""
"TIM12","dd32c515-d1c7-4703-b072-f4a88b79d677","","Timing","","Week 16 at home timing","2 Weeks","Week 16 Home","P2W","Timing_12",""
"TIM14","0f9e524f-eba1-4263-a3ac-da06cd3eec09","","Timing","","Week 20 at home timing","2 Weeks","Week 20 Home","P2W","Timing_14",""
"TIM17","6591ae5a-16a8-4f8e-baed-64a5c032d45d","","Timing","","Adverse Event","1 Day","Adverse Event","P1D","Timing_17",""
"TIM18","dbd03cb5-7489-4b22-aa8c-488a76a666ea","","Timing","","Early Termination","1 Day","Early Termination","P1D","Timing_18",""
"TIM19","43ec1150-5082-47a5-b3cb-1a4dc0eb4fa1","","Timing","","Supine","0 mins","Supine","PT0M","Timing_19",""
"TIM20","dcd16853-5f02-4006-a66c-72eb802a6ca7","","Timing","","VS while supine","5 mins","VS while supine","PT5M","Timing_20",""
"TIM21","3ede3db3-c743-4584-abf0-5dd96c8d45f0","","Timing","","Standing","0 min","Standing","PT0M","Timing_21",""
"TIM22","617998b6-78cf-42da-b383-d170e230615c","","Timing","","VS while standing","1 min","VS while standing","PT1M","Timing_22",""
"TIM23","3497f447-4463-4de9-b628-8d06da12756d","","Timing","","Standing","0 min","Standing","PT0M","Timing_23",""
"TIM24","0b83ba7d-a86b-4bfa-bbb3-bb5edbdfddf5","","Timing","","VS while standing","2 min","VS while standing","PT2M","Timing_24",""
