"decode","uuid:ID","codeSystem","instanceType","codeSystemVersion","code","id"
"Interventional Study","46e99ac5-5338-4d65-ac90-63723e9974b6","http://www.cdisc.org","Code","2023-12-15","C98388","Code_1"
"Phase II Trial","884114ab-0b34-48a6-bf49-db96a43f97ec","http://www.cdisc.org","Code","2023-12-15","C15601","Code_2"
"Sponsor Approval Date","fd8d5384-e035-414e-98c4-c30a838e4b7e","http://www.cdisc.org","Code","2023-12-15","C132352","Code_9"
"Global","5e247e2f-e31a-4fb3-98be-7c91e83832c4","http://www.cdisc.org","Code","2023-12-15","C68846","Code_10"
"IRB/IEC Feedback","815e10a2-11b3-4a65-8f07-878d94ca7510","http://www.cdisc.org","Code","2023-12-15","C99904x3","Code_72"
"Other","b04065da-2ff3-4607-af32-662a2c55b8da","http://www.cdisc.org","Code","2023-12-15","C17649","Code_73"
"Region","c1866630-0c0e-4876-9d4c-66f9744b6f9e","http://www.cdisc.org","Code","2023-12-15","C41129","Code_75"
"Europe","f4bd5d7f-7e9d-48c9-9607-bb0a336b6ffe","ISO 3166 1 alpha3","Code","2020-08","150","Code_74"
"Eli Lilly","177f14d2-281e-4839-b8f7-4cf9fdabb055","SPONSOR","Code","12","PHARMA","Code_4"
"Clinical Study Sponsor","1ed8e098-e5c1-44e8-a2bd-d46894d6ed5a","http://www.cdisc.org","Code","2023-12-15","C70793","Code_76"
"United States of America","8a4fba99-d5be-4b5a-be6c-c024915e1ef8","ISO 3166 1 alpha3","Code","2020-08","USA","Code_77"
"Study Registry","62c2bce2-dee7-42d2-9fd0-7600542ab46c","http://www.cdisc.org","Code","2023-12-15","C93453","Code_78"
"United States of America","e436152e-fa3d-42e7-a910-4e841ac65f53","ISO 3166 1 alpha3","Code","2020-08","USA","Code_79"
"Treatment Study","012af32b-baab-4f1e-90bb-aa2411c18e0e","http://www.cdisc.org","Code","2023-12-15","C49656","Code_137"
"Efficacy Study","61d6446a-82ac-4daa-a8ca-709fea0b4141","http://www.cdisc.org","Code","2023-12-15","C49666","Code_138"
"Safety Study","108b461e-d2de-4876-aa95-c969a60733f0","http://www.cdisc.org","Code","2023-12-15","C49667","Code_139"
"Pharmacokinetic Study","6cf37f5c-84db-4168-b3ac-51f3b3752909","http://www.cdisc.org","Code","2023-12-15","C49663","Code_140"
"Mild to Moderate Alzheimer's Disease","4ddc2abc-cd9e-4159-971f-e588c26d1ebb","SPONSOR","Code","12","MILD_MOD_ALZ","Code_134"
"Alzheimer's disease","30dc3a07-2c44-4057-bd07-6ef56bae2e29","SNOMED","Code","January 31, 2018","26929004","Code_135"
"EXTENSION","6f1b7a5c-01de-4341-b882-f1c35e4c1731","http://www.cdisc.org","Code","2023-12-15","C99907x1","Code_143"
"ADAPTIVE","9c6c291f-7b53-4872-b11b-1ca8506035a3","http://www.cdisc.org","Code","2023-12-15","C98704","Code_144"
"Parallel Study","21de8f0a-16ba-4b06-a347-e1545eb13aa0","http://www.cdisc.org","Code","2023-12-15","C82639","Code_141"
"Visit","ceefbecd-07d3-4040-beb5-49d06ce50100","http://www.cdisc.org","Code","2023-12-15","C25716","Code_83"
"Clinic","5e7066c5-5c93-4a04-a8ec-e3afbab8ec1d","http://www.cdisc.org","Code","2023-12-15","C51282","Code_84"
"In Person","20231f49-8fbc-4b9c-8805-4fe63d7e911e","http://www.cdisc.org","Code","2023-12-15","C175574","Code_85"
"Visit","190426b5-dc7e-4a39-be37-3cc5554c3f30","http://www.cdisc.org","Code","2023-12-15","C25716","Code_86"
"Clinic","3ecbd871-6c1c-496b-8aee-dbd4f75e718b","http://www.cdisc.org","Code","2023-12-15","C51282","Code_87"
"In Person","2d7153fe-2511-41c6-bba7-b06846ea2785","http://www.cdisc.org","Code","2023-12-15","C175574","Code_88"
"Visit","dfbff163-d15c-4283-99eb-053b05299560","http://www.cdisc.org","Code","2023-12-15","C25716","Code_89"
"Clinic","811e2987-9909-4c05-815f-882399fc0d6f","http://www.cdisc.org","Code","2023-12-15","C51282","Code_90"
"In Person","6c56af56-bd65-4701-902b-59f6db703e31","http://www.cdisc.org","Code","2023-12-15","C175574","Code_91"
"Visit","dc50b020-c3ba-4464-836b-3d4da5999357","http://www.cdisc.org","Code","2023-12-15","C25716","Code_92"
"Clinic","2aa50b2b-6194-488e-b1df-2bd45e606d45","http://www.cdisc.org","Code","2023-12-15","C51282","Code_93"
"In Person","4d32b801-4a45-4801-8cf0-edbf7543ad93","http://www.cdisc.org","Code","2023-12-15","C175574","Code_94"
"Visit","208b38e6-3498-4642-8f0e-1f4c9c47fcff","http://www.cdisc.org","Code","2023-12-15","C25716","Code_95"
"Clinic","b15d24b3-dd23-484c-9c32-0a6c7fa7b369","http://www.cdisc.org","Code","2023-12-15","C51282","Code_96"
"In Person","0591bd11-ce59-4a07-a08e-064408a805c3","http://www.cdisc.org","Code","2023-12-15","C175574","Code_97"
"Visit","2d7762e8-d0ac-41b1-ab12-a2de60f59e29","http://www.cdisc.org","Code","2023-12-15","C25716","Code_98"
"Clinic","6ced1c81-b97a-4875-bc08-1945b914f51d","http://www.cdisc.org","Code","2023-12-15","C51282","Code_99"
"In Person","3725ca7a-41fc-4ebd-bc56-7f7fa506a43e","http://www.cdisc.org","Code","2023-12-15","C175574","Code_100"
"Visit","525453e3-6291-4bb1-ba87-3f5c76c44095","http://www.cdisc.org","Code","2023-12-15","C25716","Code_101"
"Clinic","daae4122-66f5-40df-9116-c488f93e0d96","http://www.cdisc.org","Code","2023-12-15","C51282","Code_102"
"In Person","980b1149-8411-4830-ad0f-0f0d16d84c7d","http://www.cdisc.org","Code","2023-12-15","C175574","Code_103"
"Telephone Call","a90dcfa8-7521-4251-a0f1-1ee8b9373afa","http://www.cdisc.org","Code","2023-12-15","C171537","Code_104"
"Visit","fa2c0582-c222-4b5b-8c12-1c25631963cd","http://www.cdisc.org","Code","2023-12-15","C25716","Code_105"
"Clinic","def631e9-5803-4eb0-b7da-8c9631bececb","http://www.cdisc.org","Code","2023-12-15","C51282","Code_106"
"In Person","61dd2abf-38bd-4eba-9b6c-650c90248dad","http://www.cdisc.org","Code","2023-12-15","C175574","Code_107"
"Telephone Call","01f8d7c4-681c-4a63-a8fa-ee3d684e5225","http://www.cdisc.org","Code","2023-12-15","C171537","Code_108"
"Visit","049c136c-1325-4856-81fb-1eb6dedf2a92","http://www.cdisc.org","Code","2023-12-15","C25716","Code_109"
"Clinic","d6d54919-58c1-4b04-8d9b-2925375ca806","http://www.cdisc.org","Code","2023-12-15","C51282","Code_110"
"In Person","c5716b45-2b04-4c80-a11b-52e4e57efec6","http://www.cdisc.org","Code","2023-12-15","C175574","Code_111"
"Telephone Call","83d43cbb-bc21-4b6f-933d-e680415fa33f","http://www.cdisc.org","Code","2023-12-15","C171537","Code_112"
"Visit","0787ca1f-63c4-4154-941a-4881c7de3e9e","http://www.cdisc.org","Code","2023-12-15","C25716","Code_113"
"Clinic","57b41691-eeb4-4983-9257-d2fbabc7e326","http://www.cdisc.org","Code","2023-12-15","C51282","Code_114"
"In Person","fca3667f-3dd7-4494-85ff-f74b841aaa08","http://www.cdisc.org","Code","2023-12-15","C175574","Code_115"
