"name","uuid:ID","instanceType","description","label","id"
"Informed consent","486056df-6dce-41fc-88f1-ab42495ffe9d","Activity","","Informed consent","Activity_1"
"Inclusion/exclusion criteria","2e585f9d-ecba-4bb2-ab0a-1df6c6cb4125","Activity","","Inclusion and exclusion criteria","Activity_2"
"Patient number assigned","7f6e00e5-c5fd-4097-905e-04540b124b00","Activity","","Patient number assigned","Activity_3"
"Demographics","e4dc92d8-018f-4e1e-8a2a-45e6cf3ecc66","Activity","","Demographics","Activity_4"
"Hachinski","1ba79fad-07e7-4ab6-817d-fecd020fbf3c","Activity","","Hachinski Ischemic Scale","Activity_5"
"MMSE","d5d01afb-265f-4152-9693-45517383211b","Activity","","MMSE","Activity_6"
"Physical examination","111e158f-9adf-46a2-a87f-51eb7e9bd02e","Activity","","Physical examination","Activity_7"
"Medical history","782cbec7-74d5-4f51-ae05-b1831ccfd966","Activity","","Medical history","Activity_8"
"Habits","a006bc7b-3926-4905-9d59-0648212e5cbf","Activity","","Habits","Activity_9"
"Chest X-ray","d4854896-a1eb-4023-9a81-3ad2b8d200eb","Activity","","Chest X-ray","Activity_10"
"Apo E genotyping","aa1b4ef3-4b40-488a-a911-2d1957ce91ce","Activity","","Apo E genotyping","Activity_11"
"Patient randomised","4ba8a24a-9feb-4a99-865c-79a86d794a82","Activity","","Patient randomised","Activity_12"
"Vital signs / Temperature","46ceffd5-0036-4431-95ab-d92fc3d4e437","Activity","","Vital Signs and Temperature","Activity_13"
"Ambulatory ECG placed","f1c33102-42b1-4405-a4f0-a01b02b09466","Activity","","Ambulatory ECG placed","Activity_14"
"Ambulatory ECG removed","516f9049-6789-41dc-b6df-6c2b3bf0d31f","Activity","","Ambulatory ECG removed","Activity_15"
"ECG","aa2e31d1-d040-4f87-a619-7f1ce7f6fcb3","Activity","","ECG","Activity_16"
"Placebo TTS test","1ae731ca-4316-4d99-83f0-0dbf581af032","Activity","","Placebo TTS test","Activity_17"
"CT scan","35531aa7-5a9d-48c4-9c53-c15718db0e7a","Activity","","CT scan","Activity_18"
"Concomitant medications","21c79ccc-f67c-4946-87f0-7dd9916c7746","Activity","","Concomitant medications","Activity_19"
"Hematology","b9fb5052-cacd-4b69-b202-c0e99a914930","Activity","","Hematology","Activity_20"
"Chemistry","9916817f-2a28-463e-a4a6-a912df5a3bf5","Activity","","Chemistry","Activity_21"
"Uninalysis","1f4c82da-e7ab-4d13-ae14-b8cc10357cd5","Activity","","Uninalysis","Activity_22"
"Plasma Specimen (Xanomeline)","38371809-1075-4a50-b8fd-d48f2cc66f6c","Activity","","Plasma Specimen (Xanomeline)","Activity_23"
"Hemoglobin A1C","09b6bf16-7def-4b00-9d12-09709a30e528","Activity","","Hemoglobin A1C","Activity_24"
"Study drug","73587c53-7288-4cbc-8b87-ea036d4c5cd2","Activity","","Study drug record , Medications dispensed, Medications returned","Activity_25"
"TTS Acceptability Survey","5263f7d8-3b7c-458d-a959-e34e1a5880b5","Activity","","TTS Acceptability Survey","Activity_26"
"ADAS-Cog","ccc72d0e-bafc-4abe-9512-b1bd442f37b0","Activity","","ADAS-Cog","Activity_27"
"CIBIC+","8f6197da-2b87-4040-8b95-1705aeaa3600","Activity","","CIBIC+","Activity_28"
"DAD","6a1c4d83-9929-4098-956a-fc9c8e0d556b","Activity","","DAD","Activity_29"
"NPI-X","8be2ab3f-02cd-4312-9eaf-27ddce275c12","Activity","","NPI-X","Activity_30"
"Adverse events","e03854b4-c5ae-462b-ae81-50ede823f41f","Activity","","Adverse events","Activity_31"
"Check adverse events","faca52c5-51cd-4e31-881b-0d7e9ecbde61","Activity","","Check adverse events","Activity_32"
"Supine","6abdaeca-a5da-4316-8718-eb141eebb902","Activity","","Subject supine","Activity_33"
"Vital Signs Supine","28411395-8ada-4501-82ee-49ec6e581c49","Activity","","Vital signs while supine","Activity_34"
"Stand","8957cce5-f084-4ce7-a0a2-53b555e66068","Activity","","Subject Standing","Activity_35"
"Vital Signs Standing","689d2320-dd33-4b9b-859f-831f0c0e9fb1","Activity","","Vital signs while standing","Activity_36"
