"purpose","name","text","uuid:ID","instanceType","description","label","id"
"","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","a9829581-3eab-485e-9f74-6160817eb7e5","Endpoint","","","Endpoint_1"
"","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","9754c281-26cf-4bcf-a3a1-af771ec5d431","Endpoint","","","Endpoint_2"
"","END3","Adverse events","ab16fb1f-4536-4559-a08f-c42f39261d84","Endpoint","","","Endpoint_3"
"","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","4f525c4d-a82c-4049-a844-ea403e6efe31","Endpoint","","","Endpoint_4"
"","END5","Laboratory evaluations (Change from Baseline)","2975950a-bb75-4d2a-ad0b-ed16e9ee8edf","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5"
"","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","f1a7528d-3db6-40a9-9fb0-7e86a8b771dd","Endpoint","","","Endpoint_6"
"","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","82dca7df-993f-47b1-8bb8-386c91eb73a7","Endpoint","","","Endpoint_7"
"","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","f07007df-4835-480c-b7ba-8575f816e178","Endpoint","","","Endpoint_8"
"","END9","*** To be determined from protocol ***","be7706a9-5273-4520-8c39-17bf842db392","Endpoint","","","Endpoint_9"
"","END10","*** To be determined from protocol ***","cb221cd6-bb45-411b-9e15-cdca55747daa","Endpoint","","","Endpoint_10"
"","END11","*** To be determined from protocol ***","1fdfe793-6e1e-4195-bb7e-fe0d2157db22","Endpoint","","","Endpoint_11"
