":START_ID",":END_ID"
"c3fb1893-77ef-46f8-8639-6cd6f9585717","d43e31c7-4de8-4655-9894-18f567cd7bed"
"d43e31c7-4de8-4655-9894-18f567cd7bed","78f57e89-6970-43d7-8630-ca430b7505de"
"78f57e89-6970-43d7-8630-ca430b7505de","4d524c7d-c600-43ac-8008-b55f3a7fecf5"
"4d524c7d-c600-43ac-8008-b55f3a7fecf5","f1c3a54c-6fea-4f4e-834a-4f3fc36ce6ea"
"f1c3a54c-6fea-4f4e-834a-4f3fc36ce6ea","e86fb818-08e6-45af-b510-1ea7f0bb54aa"
"e86fb818-08e6-45af-b510-1ea7f0bb54aa","03c7a2ea-d4a3-45e0-be91-6bd4546fe4bc"
"03c7a2ea-d4a3-45e0-be91-6bd4546fe4bc","e882d2fe-c21a-491d-bbb4-345273225083"
"e882d2fe-c21a-491d-bbb4-345273225083","0ae93bf5-88fb-47fc-865f-6609df7c4031"
"0ae93bf5-88fb-47fc-865f-6609df7c4031","0c62aaf2-11ce-40f1-a2f3-58c60947f118"
"0c62aaf2-11ce-40f1-a2f3-58c60947f118","c8645285-61b1-4678-8b33-527d54b861f4"
"c8645285-61b1-4678-8b33-527d54b861f4","943af8f0-7278-491c-be3c-6aaf40b96690"
"943af8f0-7278-491c-be3c-6aaf40b96690","02b4c195-9de9-4703-9702-e68d908de6d0"
"02b4c195-9de9-4703-9702-e68d908de6d0","17dec514-2e0f-4d45-bdef-4c89aa59ddd4"
"17dec514-2e0f-4d45-bdef-4c89aa59ddd4","3f298537-83f1-4453-8143-bbdab08271b7"
"3f298537-83f1-4453-8143-bbdab08271b7","37f27a20-8956-4731-9246-26f9c4b8d1bf"
"c5af620f-2450-4108-a082-2eb0f449d397","0c501264-c623-4a80-b903-682228f8a249"
"0c501264-c623-4a80-b903-682228f8a249","6da92fbf-d273-4a5b-bf94-b43008f6efc7"
"6da92fbf-d273-4a5b-bf94-b43008f6efc7","0e3bebd8-72e0-40a1-9218-f34532843263"
"0e3bebd8-72e0-40a1-9218-f34532843263","bf39dd47-7284-41c9-8251-8ae66ed7888b"
"bf39dd47-7284-41c9-8251-8ae66ed7888b","7f0858a6-e6be-4df4-a78f-bb0db399ec00"
