"instanceType","value","uuid:ID","description","valueLabel","windowUpper","label","name","windowLower","windowLabel","id"
"Timing","P2W","7be4233a-e325-40a8-882f-6695bc8e1b9e","Screening timing","2 weeks","","Screening","TIM1","","","Timing_1"
"Timing","P2D","ba2d7d82-1140-4d3a-afd5-a8b533805261","Pre dose timing","2 days","PT0H","Pre dose","TIM2","PT4H","-4..0 hours","Timing_2"
"Timing","P1D","de7edad9-177d-44bf-82f8-0f6d6e037fb6","Dosing anchor","1 Day","","Dosing","TIM3","","","Timing_3"
"Timing","P2W","e8b5e066-84fb-450f-b997-20bcd556784c","Week 2 timing","2 Weeks","P3D","Week 2","TIM4","P3D","-3..3 days","Timing_4"
"Timing","P4W","0d4a7efc-421c-4d2d-bb1e-fda960ae2e6b","Week 4 timing","4 Weeks","P3D","Week 4","TIM5","P3D","-3..3 days","Timing_5"
"Timing","P6W","22f1bcef-59b3-42e7-a234-ddc85e996238","Week 6 timing","6 Weeks","P3D","Week 6","TIM6","P3D","-3..3 days","Timing_6"
"Timing","P8W","facb3b02-e90c-491e-87b3-14ceaab5a2ab","Week 8 timing","8 Weeks","P3D","Week 8","TIM7","P3D","-3..3 days","Timing_7"
"Timing","P12W","90c55f8f-e09f-4d6c-8af5-b10422c96ece","Week 12 timing","12 Weeks","P4D","Week 12","TIM9","P4D","-4..4 days","Timing_9"
"Timing","P16W","5a3b27f7-a6ce-478d-8dd0-eac3b294cd2d","Week 16 timing","16 Weeks","P4D","Week 16","TIM11","P4D","-4..4 days","Timing_11"
"Timing","P20W","0d0a7cd5-d6b1-49fa-a8a8-e3d32b3c632c","Week 20 timing","20 Weeks","P4D","Week 20","TIM13","P4D","-4..4 days","Timing_13"
"Timing","P24W","7c34c42e-c5b8-4264-8c94-9fbb0f49fceb","Week 24 timing","24 Weeks","P4D","Week 24","TIM15","P4D","-4..4 days","Timing_15"
"Timing","P26W","59a97b28-e149-4dfe-99b7-7ae91ed6ca97","Week 26 timing","26 Weeks","P3D","Week 26","TIM16","P3D","-3..3 days","Timing_16"
"Timing","P2W","ed8091f1-805a-4d1a-98ff-b70d74e958cc","Week 8 at home timing","2 Weeks","","Week 8 Home","TIM8","","","Timing_8"
"Timing","P2W","5f58af6e-0a61-4a8d-8e96-3dd1c6346a2b","Week 12 at home timing","2 Weeks","","Week 12 Home","TIM10","","","Timing_10"
"Timing","P2W","285147ae-50d0-4f72-9a15-d584fcb54940","Week 16 at home timing","2 Weeks","","Week 16 Home","TIM12","","","Timing_12"
"Timing","P2W","67e03797-7b51-42c4-bc42-757449ccaac4","Week 20 at home timing","2 Weeks","","Week 20 Home","TIM14","","","Timing_14"
"Timing","P1D","9cd8a8d7-0388-4b05-b14d-2ef09871dc09","Adverse Event","1 Day","","Adverse Event","TIM17","","","Timing_17"
"Timing","P1D","f7656cc5-b521-4271-85a3-6034b0394d78","Early Termination","1 Day","","Early Termination","TIM18","","","Timing_18"
"Timing","PT0M","7411a90d-3544-45a5-85c0-6d4abdcc0e28","Supine","0 mins","","Supine","TIM19","","","Timing_19"
"Timing","PT5M","b96bd858-10cf-4667-8613-ff4fb179fd60","VS while supine","5 mins","","VS while supine","TIM20","","","Timing_20"
"Timing","PT0M","2edb5de6-189e-489d-8505-7115bb8da5ad","Standing","0 min","","Standing","TIM21","","","Timing_21"
"Timing","PT1M","de7eb1b1-5eb7-4033-909b-ee0839377614","VS while standing","1 min","","VS while standing","TIM22","","","Timing_22"
"Timing","PT0M","a049bdc3-5d8f-4b75-bd48-a3a677d80f04","Standing","0 min","","Standing","TIM23","","","Timing_23"
"Timing","PT2M","2cf315e5-e5c9-48cb-9f33-868504a67510","VS while standing","2 min","","VS while standing","TIM24","","","Timing_24"
