"instanceType","uuid:ID","text","name","id"
"TransitionRule","18af7d07-87ac-4b78-981c-5309f8122edc","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule_1"
"TransitionRule","2222b8fd-564c-4c68-b87f-9fd04a20fb6c","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule_2"
"TransitionRule","51b33d2f-17f1-4701-b518-4a57c7af149c","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule_3"
"TransitionRule","4ef47869-16e6-441a-b825-d6625ae14a98","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule_4"
"TransitionRule","f360f4a4-5dc6-4cd0-8f08-bc9fb4f48fc3","Radomized","ENCOUNTER_START_RULE_3","TransitionRule_5"
"TransitionRule","339b1e6c-8a6e-4fdc-83ed-6131c98c6aa7","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule_6"
"TransitionRule","2f54bb90-fa1e-4aed-9554-9584a528dc62","Informed consent","ELEMENT_START_RULE_1","TransitionRule_7"
"TransitionRule","76d24737-1681-4026-a4c8-fcd74c7fba70","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule_8"
"TransitionRule","7e7d6ef5-28d7-487e-a1fe-3eec7c1e0c3e","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule_9"
"TransitionRule","4207d70a-39a7-4c6b-a5c6-0077e8d27458","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule_14"
"TransitionRule","89f2c95d-09c2-493f-b2b6-c1838649f607","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule_15"
"TransitionRule","ab583677-8ddc-45fc-baa7-0a3e8ebca38a","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule_10"
"TransitionRule","bfdecc35-585b-44d7-8ed3-95eddd0b4cf6","Randomized","ELEMENT_START_RULE_4","TransitionRule_11"
"TransitionRule","4a66ba3c-d64b-442b-a511-0f7e44e82965","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule_12"
"TransitionRule","ce1f94ed-78c2-4402-9c9a-2f609a8870c4","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule_13"
