"synonyms","instanceType","uuid:ID","reference","label","name","id"
"['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","61db2ab7-ed09-4318-9b13-ea0a43202339","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","Informed Consent Obtained","BiomedicalConcept_20"
"","BiomedicalConcept","e6293f91-837c-440a-bba2-e05ffe6b5b5b","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","Sex","BiomedicalConcept_21"
"['Racial Group']","BiomedicalConcept","087427e9-77b5-4022-af2d-0368170c9a1f","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","Race","BiomedicalConcept_22"
"['Temperature', 'Body Temperature']","BiomedicalConcept","df03e301-2076-4a92-b30c-217169a1e641","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","Temperature","BiomedicalConcept_23"
"['Weight', 'Body Weight']","BiomedicalConcept","2bd32a58-55d9-4504-9491-104f35f2900b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","Weight","BiomedicalConcept_24"
"['Height', 'Body Height']","BiomedicalConcept","843d242c-8803-4ee2-8479-69cd435e841b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","Height","BiomedicalConcept_25"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","2770a2da-492d-4aa7-bf1b-dc66306ae831","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26"
"['Albumin', 'Albumin Measurement']","BiomedicalConcept","0664c115-8cb4-4ad1-a1f0-ae28083c5945","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept_27"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","eefb6405-a64c-4205-b185-58cc70dd4854","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","abf825bb-4f55-4db6-93cf-4896ff44ead8","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29"
"['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","22327890-cac3-47ba-94fd-4cd641bf5479","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept_30"
"['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","0a213939-cf3c-49c3-b073-f43e806054a4","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept_31"
"['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","94d6babb-8d78-4228-8526-3ac0413c37da","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept_32"
