"instanceType","uuid:ID","decode","codeSystemVersion","code","codeSystem","id"
"Code","8cff1a2a-2855-4980-be39-ff7a5aeb2a1b","Interventional Study","2023-12-15","C98388","http://www.cdisc.org","Code_1"
"Code","83dbb61f-462e-4372-90f2-19bd15d526e2","Phase II Trial","2023-12-15","C15601","http://www.cdisc.org","Code_2"
"Code","a4e91d22-7a42-4a3a-81ba-7e4701b206f4","Sponsor Approval Date","2023-12-15","C132352","http://www.cdisc.org","Code_9"
"Code","5dec315e-5272-455d-a679-115652c71247","Global","2023-12-15","C68846","http://www.cdisc.org","Code_10"
"Code","0613c079-3fe0-47b2-b575-734a9f8c640e","IRB/IEC Feedback","2023-12-15","C99904x3","http://www.cdisc.org","Code_72"
"Code","c9ffdd40-9a90-4f0c-b546-b1218159f2a1","Other","2023-12-15","C17649","http://www.cdisc.org","Code_73"
"Code","19e11e5b-a274-4940-b000-143a907aaa58","Region","2023-12-15","C41129","http://www.cdisc.org","Code_75"
"Code","2ae9e2f6-e8bf-499d-8fbe-9503b8e97613","Europe","2020-08","150","ISO 3166 1 alpha3","Code_74"
"Code","716c79dc-c30d-4c34-9c96-e1c416108a13","Eli Lilly","12","PHARMA","SPONSOR","Code_4"
"Code","a4554a51-0b44-466a-a230-40e077823f59","Clinical Study Sponsor","2023-12-15","C70793","http://www.cdisc.org","Code_76"
"Code","ef9cffce-0901-44cc-9152-a05bf6cf206d","United States of America","2020-08","USA","ISO 3166 1 alpha3","Code_77"
"Code","317abb7e-c377-4e66-9148-9de357784616","Study Registry","2023-12-15","C93453","http://www.cdisc.org","Code_78"
"Code","4985be56-ac38-4cce-bfbe-389745ef41ed","United States of America","2020-08","USA","ISO 3166 1 alpha3","Code_79"
"Code","617bcf8c-a921-4301-9f88-8e11933542f3","Treatment Study","2023-12-15","C49656","http://www.cdisc.org","Code_137"
"Code","77e0d741-9180-4711-8203-1b2b598617db","Efficacy Study","2023-12-15","C49666","http://www.cdisc.org","Code_138"
"Code","e400c1e3-0870-4f96-94d0-97c615d051ec","Safety Study","2023-12-15","C49667","http://www.cdisc.org","Code_139"
"Code","027565e5-d06e-4044-b2d7-ab4190df80d5","Pharmacokinetic Study","2023-12-15","C49663","http://www.cdisc.org","Code_140"
