"instanceType","uuid:ID","description","label","name","id"
"Activity","f4e07354-ded5-4444-8194-900c24e35723","","Informed consent","Informed consent","Activity_1"
"Activity","b40ee85d-4858-47ac-9ddf-0e0a92ff3f1d","","Inclusion and exclusion criteria","Inclusion/exclusion criteria","Activity_2"
"Activity","9b1bec39-abd2-403f-83a7-cb2c351475d5","","Patient number assigned","Patient number assigned","Activity_3"
"Activity","65333723-bc25-4bf8-972d-bda5287b2b0e","","Demographics","Demographics","Activity_4"
"Activity","2cefacbe-e74f-48db-a281-b3ae0c6e1c1a","","Hachinski Ischemic Scale","Hachinski","Activity_5"
"Activity","4b1ca8a9-fe23-42e7-a1f0-1a2060229b63","","MMSE","MMSE","Activity_6"
"Activity","ef8395ee-992c-42c1-9131-7297183ba5f1","","Physical examination","Physical examination","Activity_7"
"Activity","2a8741b8-9aa4-497c-b484-b09fe06192e4","","Medical history","Medical history","Activity_8"
"Activity","a5f1f4a7-dc29-4514-b13b-9d2c27f7a150","","Habits","Habits","Activity_9"
"Activity","927cf982-ccaf-463a-96de-5a8a9f8a8cc5","","Chest X-ray","Chest X-ray","Activity_10"
"Activity","fe5f9315-cdd3-43d1-a72a-9b981b5b0dbe","","Apo E genotyping","Apo E genotyping","Activity_11"
"Activity","f757ac7e-3607-40f7-a5a0-31f0b70a4066","","Patient randomised","Patient randomised","Activity_12"
"Activity","2c0864e8-f27a-4d38-8cd5-1feee50adeed","","Vital Signs and Temperature","Vital signs / Temperature","Activity_13"
"Activity","b95e22f8-4e4f-4748-aaac-651b505e99d6","","Ambulatory ECG placed","Ambulatory ECG placed","Activity_14"
"Activity","e2f340f3-868c-4dc0-8b1b-40255df48506","","Ambulatory ECG removed","Ambulatory ECG removed","Activity_15"
"Activity","350ce34c-cf8e-4af5-9af6-9d4e38c8c8ee","","ECG","ECG","Activity_16"
"Activity","86ed1a21-1774-487f-8f19-513fb74c7912","","Placebo TTS test","Placebo TTS test","Activity_17"
"Activity","5b62943f-5e5f-40f4-b43b-31d48c9769cb","","CT scan","CT scan","Activity_18"
"Activity","f351ab42-1485-4f94-b72e-b079849b5193","","Concomitant medications","Concomitant medications","Activity_19"
"Activity","e17b1539-efef-4d30-8759-b1966bc392e6","","Hematology","Hematology","Activity_20"
"Activity","4e8d0518-471d-4113-aebc-b058ca96cf02","","Chemistry","Chemistry","Activity_21"
"Activity","75e48e4d-aab8-4489-9226-3c65f6423e7d","","Uninalysis","Uninalysis","Activity_22"
"Activity","8439ded8-6c23-4002-bc0a-b8990e2e96a9","","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity_23"
"Activity","3909e67e-76ab-46e7-bf35-4e66c61248d1","","Hemoglobin A1C","Hemoglobin A1C","Activity_24"
"Activity","a5326202-41e3-4318-9eff-54fca161b573","","Study drug record , Medications dispensed, Medications returned","Study drug","Activity_25"
"Activity","51f913e1-3324-4839-ad2e-a561c64e6b9b","","TTS Acceptability Survey","TTS Acceptability Survey","Activity_26"
"Activity","6ef4d005-8ab2-45e6-bb76-142118726fd2","","ADAS-Cog","ADAS-Cog","Activity_27"
"Activity","0e25ca5e-7e31-4c11-997a-4a9f52a639d8","","CIBIC+","CIBIC+","Activity_28"
"Activity","3dcc6f41-cd07-4890-904b-78f576367764","","DAD","DAD","Activity_29"
"Activity","b20c6355-65bb-403b-b94b-c02d98a01171","","NPI-X","NPI-X","Activity_30"
"Activity","c57fda11-6d75-45ca-b119-c60f5ad5226c","","Adverse events","Adverse events","Activity_31"
"Activity","f1c02c1a-60ad-41fd-82b2-de1e03cdfcbd","","Check adverse events","Check adverse events","Activity_32"
"Activity","c6a3a163-2672-4829-a63e-a732a63fa721","","Subject supine","Supine","Activity_33"
"Activity","f993cd67-d2a0-4070-8d0b-89f0073af8e0","","Vital signs while supine","Vital Signs Supine","Activity_34"
"Activity","c9fe9cd7-e52c-403c-8f9a-27b0694b349b","","Subject Standing","Stand","Activity_35"
"Activity","f238cf5f-d6fa-43cd-bc25-b60817c84912","","Vital signs while standing","Vital Signs Standing","Activity_36"
