"instanceType","uuid:ID","description","label","name","id"
"ScheduledActivityInstance","804c5e20-6f2a-4ff8-9eb5-8631d73cf794","-","Screen One","SCREEN1","ScheduledActivityInstance_9"
"ScheduledActivityInstance","9f348cad-2054-4051-b7c1-cd95bf80795d","-","Screen Two","SCREEN2","ScheduledActivityInstance_10"
"ScheduledActivityInstance","8f6f9007-4cb1-4608-ad14-076345285c1a","-","Dose","DOSE","ScheduledActivityInstance_11"
"ScheduledActivityInstance","52e416ef-04f3-4ce3-93ce-30eae938f3b0","-","Week 2","WK2","ScheduledActivityInstance_12"
"ScheduledActivityInstance","0600ffd4-3550-40d2-8f7f-41874defaa5a","-","Week 4","WK4","ScheduledActivityInstance_13"
"ScheduledActivityInstance","f76840d5-3bd8-4268-a205-9caaa1f266b2","-","Week 6","WK6","ScheduledActivityInstance_14"
"ScheduledActivityInstance","3c4694e4-42c3-40c4-9a4f-4b68b4959a03","-","Week 8","WK8","ScheduledActivityInstance_15"
"ScheduledActivityInstance","c6cc7bd1-2d34-44c1-9b0c-23d896d035bc","-","Week NPI","WK8N","ScheduledActivityInstance_16"
"ScheduledActivityInstance","40482b03-d0a8-4254-964b-a52626fbccca","-","Week 12","WK12","ScheduledActivityInstance_17"
"ScheduledActivityInstance","df02666f-4857-4f68-9ead-2a7f62bc25a6","-","Week 12 NPI","WK12N","ScheduledActivityInstance_18"
"ScheduledActivityInstance","7279a323-62d9-4728-924a-dc89125e8dc1","-","Week 16","WK16","ScheduledActivityInstance_19"
"ScheduledActivityInstance","d9c4f5a2-3ae6-45cc-b4f0-7d2c16e06413","-","Week 16 NPI","WK16N","ScheduledActivityInstance_20"
"ScheduledActivityInstance","3028d5a1-3a28-4c03-b59d-6b5819dfd4e5","-","Week 20","WK20","ScheduledActivityInstance_21"
"ScheduledActivityInstance","49c234b5-2fb8-448a-8efd-4479aff4d41c","-","Week 20 NPI","WK20N","ScheduledActivityInstance_22"
"ScheduledActivityInstance","8ead3fa3-6769-4907-9b0b-34e044f94ba2","-","Week 24","WK24","ScheduledActivityInstance_23"
"ScheduledActivityInstance","7b7591ae-37dc-4b41-ba19-cf85e3f97b1d","-","Week 26","WK26","ScheduledActivityInstance_24"
"ScheduledActivityInstance","130880a4-cdb0-4dde-9c37-f89d91b536bb","-","Adevers Event","AE","ScheduledActivityInstance_1"
"ScheduledActivityInstance","e7ce4b2c-1391-4e80-bd6d-37c5de604b08","-","Early Termination","ET","ScheduledActivityInstance_2"
"ScheduledActivityInstance","6bd22660-42af-48cf-8eb0-640865f9e818","","5 minute supine","VS_5MIN","ScheduledActivityInstance_3"
"ScheduledActivityInstance","2b8ad0d2-86bc-4ccb-a41a-2e16ff505c68","","Vital signs supine","VS_SUPINE","ScheduledActivityInstance_4"
"ScheduledActivityInstance","ec50f9f0-413f-437b-b0e5-42f25580fe80","","1 minute standing","VS_1MIN","ScheduledActivityInstance_5"
"ScheduledActivityInstance","a5f6d3f6-8d09-4b50-ac7d-8f0c2f4f0e7e","","Vital signs after 1 min standing","VS_STAND1","ScheduledActivityInstance_6"
"ScheduledActivityInstance","0a9e79a7-6651-4a59-b34c-908f2aaea790","","2 minute standing","VS_2MIN","ScheduledActivityInstance_7"
"ScheduledActivityInstance","8ed9454b-7d46-4b95-b00f-8b74e12b18cf","","Vital signs after 3 min standing","VS_STAND3","ScheduledActivityInstance_8"
