"name","instanceType","windowUpper","uuid:ID","id","window","value","windowLower","description","label"
"TIM1","Timing","","a5b8ff76-2fbb-4df4-af59-0e5cf552af3a","Timing_1","","P2W","","Screening timing","Screening"
"TIM2","Timing","PT0H","81cd4ec2-35e1-43d2-828d-7231ce636a35","Timing_2","-4..0 hours","P2D","PT4H","Pre dose timing","Pre dose"
"TIM3","Timing","","6fabb3a6-518b-447f-b9c5-da7b14a5d678","Timing_3","","P1D","","Dosing anchor","Dosing"
"TIM4","Timing","P3D","ea5dbfbe-2165-4dd7-9bff-0de0863b096d","Timing_4","-3..3 days","P2W","P3D","Week 2 timing","Week 2"
"TIM5","Timing","P3D","b5ad1d1f-e583-4dbd-b8e6-d84e3855c8a9","Timing_5","-3..3 days","P4W","P3D","Week 4 timing","Week 4"
"TIM6","Timing","P3D","98521f05-f189-4385-9000-47a9456bda92","Timing_6","-3..3 days","P6W","P3D","Week 6 timing","Week 6"
"TIM7","Timing","P3D","d0e2bbe5-0880-4c08-a547-aa0f622dfb4d","Timing_7","-3..3 days","P8W","P3D","Week 8 timing","Week 8"
"TIM9","Timing","P4D","a627787a-0494-4dfe-b249-9a35d8fbdae2","Timing_9","-4..4 days","P12W","P4D","Week 12 timing","Week 12"
"TIM11","Timing","P4D","aefef71e-92b4-4ac3-a2e5-1ebd07f72be1","Timing_11","-4..4 days","P16W","P4D","Week 16 timing","Week 16"
"TIM13","Timing","P4D","2674acf9-b510-4b03-833a-b6c07d4c96ba","Timing_13","-4..4 days","P20W","P4D","Week 20 timing","Week 20"
"TIM15","Timing","P4D","7ca085d1-f7f1-4a2d-a39f-295460f757a0","Timing_15","-4..4 days","P24W","P4D","Week 24 timing","Week 24"
"TIM16","Timing","P3D","432ddf6e-0444-44d0-b528-d45df1404051","Timing_16","-3..3 days","P26W","P3D","Week 26 timing","Week 26"
"TIM8","Timing","","8c586eb0-cd46-4774-ba9f-f458728436fd","Timing_8","","P2W","","Week 8 at home timing","Week 8 Home"
"TIM10","Timing","","6a4be187-6e90-4ca2-bdec-78522c9698e4","Timing_10","","P2W","","Week 12 at home timing","Week 12 Home"
"TIM12","Timing","","4f6cdb95-20a5-44c7-88ab-afca97fdf53f","Timing_12","","P2W","","Week 16 at home timing","Week 16 Home"
"TIM14","Timing","","7f1e27a8-7aad-4edf-a354-7d9ac336c1f2","Timing_14","","P2W","","Week 20 at home timing","Week 20 Home"
"TIM17","Timing","","7f2e4c66-4b33-48c6-8d33-fef942bc0106","Timing_17","","P1D","","Adverse Event","Adverse Event"
"TIM18","Timing","","66195865-faf9-4db4-ad9e-410997ce21ca","Timing_18","","P1D","","Early Termination","Early Termination"
"TIM19","Timing","","4987453c-429d-4535-b189-165ee016293b","Timing_19","","PT0M","","Supine","Supine"
"TIM20","Timing","","cd585901-237b-46fe-b9b3-be34568bdcf6","Timing_20","","PT5M","","VS while supine","VS while supine"
"TIM21","Timing","","95bfaadd-f1b4-4c6e-931f-71b577459c5f","Timing_21","","PT0M","","Standing","Standing"
"TIM22","Timing","","fe2a96c3-7ec0-4acc-8473-78473cad7cc3","Timing_22","","PT1M","","VS while standing","VS while standing"
"TIM23","Timing","","5d7a3ecf-0c09-4c5d-a618-ac0d55e28ec8","Timing_23","","PT0M","","Standing","Standing"
"TIM24","Timing","","2073c033-59b9-40b5-8b8a-6e440a58bf2d","Timing_24","","PT2M","","VS while standing","VS while standing"
