"name","instanceType","sectionNumber","sectionTitle","text","id","uuid:ID"
"ROOT","NarrativeContent","0","Root","","NarrativeContent_1","a369c6a1-031c-4016-b920-8f389eb4cd83"
"SECTION 0","NarrativeContent","0","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","5b220f6b-7fde-4a14-b7af-10cfab8be6e4"
"SECTION 1","NarrativeContent","1","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3","c812f018-97ee-4116-a194-50b7d90896d6"
"SECTION 1.1","NarrativeContent","1.1","Protocol Synopsis","<div></div>","NarrativeContent_4","de3406c3-f52d-418f-94da-b504fb823a31"
"SECTION 1.2","NarrativeContent","1.2","Trial Schema","<div></div>","NarrativeContent_5","20aa931d-ad19-434c-bcb7-9cebcaf76ddb"
"SECTION 1.3","NarrativeContent","1.3","Schedule of Activities","<div></div>","NarrativeContent_6","64733562-165d-4644-a80c-26247f791b92"
"SECTION 2","NarrativeContent","2","INTRODUCTION","<div></div>","NarrativeContent_7","ec20f011-386b-4931-8619-29528f15d064"
"SECTION 2.1","NarrativeContent","2.1","Purpose of Trial","<div></div>","NarrativeContent_8","5e0537a4-d8c5-4830-8c8f-534430eeeee4"
"SECTION 2.2","NarrativeContent","2.2","Summary of Benefits and Risks","<div></div>","NarrativeContent_9","6aafeb6c-5469-48fc-8d77-a31498eec170"
"SECTION 3","NarrativeContent","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10","b294edc5-9808-4fb9-b657-638d5fd8a740"
"SECTION 3.1","NarrativeContent","3.1","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","d820dfc3-5617-489e-9544-daf1fae25111"
"SECTION 4","NarrativeContent","4","TRIAL DESIGN","<div></div>","NarrativeContent_12","a4fc291a-8c72-4bd3-92e1-14a2be96af7d"
"SECTION 4.1","NarrativeContent","4.1","Description of Trial Design","<div></div>","NarrativeContent_13","4264d09d-f931-471f-bccb-31c15da38f00"
"SECTION 4.1.1","NarrativeContent","4.1.1","Participant Input into Design","<div></div>","NarrativeContent_14","f9b02197-263c-4ffa-aa06-a5c754495ef2"
"SECTION 4.2","NarrativeContent","4.2","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","d5e5ba46-a0ac-4d72-a546-2724d0369846"
"SECTION 4.2.1","NarrativeContent","4.2.1","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","4da2fe08-56a3-4224-a76d-87a34bc359a9"
"SECTION 4.2.2","NarrativeContent","4.2.2","Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_17","7f2f83e3-7d26-47a5-bca6-640ce85b6323"
"SECTION 4.2.3","NarrativeContent","4.2.3","Other Trial Design Considerations","<div></div>","NarrativeContent_18","3233e665-9baf-4ce4-b77d-f99c67d9be15"
"SECTION 4.3","NarrativeContent","4.3","Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_19","1b941337-b094-4be1-81db-aca9a1b5bef8"
"SECTION 4.4","NarrativeContent","4.4","Start of Trial and End of Trial","<div></div>","NarrativeContent_20","380ab505-34e2-4882-b807-b5a9443ddd53"
"SECTION 5","NarrativeContent","5","TRIAL POPULATION","<div></div>","NarrativeContent_21","4a8b9558-b892-4f6f-ad68-788be1833938"
"SECTION 5.1","NarrativeContent","5.1","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","140255f9-4ed2-4590-b3ab-cd29c8c5696a"
"SECTION 5.2","NarrativeContent","5.2","Rationale for Trial Population","<div></div>","NarrativeContent_23","48e2b506-d2a3-4987-afe2-13144e498437"
