"name","synonyms","instanceType","uuid:ID","id","reference","label"
"Body Temperature","['Temperature']","BiomedicalConcept","382595cd-756a-429b-95d9-a6556ffec3d2","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature"
"Body Weight","['Weight']","BiomedicalConcept","3f813e5a-5aa2-4fc8-8eb2-c57a007f12c4","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight"
"Body Height","['Height']","BiomedicalConcept","81094799-f004-45a4-aca2-8679cb323047","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept","b328d73a-f497-4345-b0f8-3f6c0c673b65","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement"
"Albumin Measurement","['Albumin']","BiomedicalConcept","7ed9c1a9-eb88-4ee0-859d-f9a755e977a6","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept","d6b11bf5-6aa3-4272-8361-4f4168732b03","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept","fc373eb8-b368-45fd-b7d8-fa9b55183b30","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement"
"Creatinine Measurement","['Creatinine']","BiomedicalConcept","7bc5f07c-5b6e-439e-9bf5-796b29307da8","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement"
"Potassium Measurement","['Potassium', 'K']","BiomedicalConcept","576e8196-1a7a-4c56-83ce-6acffca97a64","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement"
"Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept","950fef18-fce9-4502-a612-ac7860c9c013","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement"
"Adverse Event","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept","78216620-5569-4344-be74-f08f829cd853","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event"
"Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","d05a09ce-e333-4352-850e-6cfe9afba6e0","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure"
"Diastolic Blood Pressure","['DIABP']","BiomedicalConcept","9fd9f2f7-3bf8-40b9-9bcc-c3f58df529b3","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure"
"Body Temperature","['Temperature']","BiomedicalConcept","862eadbb-200a-4ca1-aefe-567c4440ac6d","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature"
"Body Weight","['Weight']","BiomedicalConcept","854ece37-cdb8-42eb-bc39-e0ec96aebe6f","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight"
"Body Height","['Height']","BiomedicalConcept","5e7c69b8-72d2-4b45-9610-8cbea6ffd9bc","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept","fcc08ecb-e66b-4eea-b3b7-d2518ff99d15","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement"
"Albumin Measurement","['Albumin']","BiomedicalConcept","66024657-1c45-423f-b593-e7456ef61988","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept","9d6f4dc2-0e27-4809-9235-a5702081cfcc","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept","7a327a3b-b313-4616-9b7d-b0f496592b0a","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement"
"Creatinine Measurement","['Creatinine']","BiomedicalConcept","2cab342a-6f41-48d3-8dd7-14792da48528","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement"
"Potassium Measurement","['Potassium', 'K']","BiomedicalConcept","6e999305-eced-4db5-991d-85b4789d9b0b","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement"
"Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept","39fb2901-0e42-45c6-b3ad-fa77b06b9ce0","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement"
"Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","8fcbfd12-43e2-4194-88b5-a083227c3f5e","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure"
"Diastolic Blood Pressure","['DIABP']","BiomedicalConcept","dafb67ef-852c-4bee-994c-821cdcf31a6b","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure"
"Heart Rate","","BiomedicalConcept","64b92150-4358-4c6f-88b1-398bb53a7e8d","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate"
"Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","457c0bf8-46f5-441d-9900-bd93e7f4cd67","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure"
"Diastolic Blood Pressure","['DIABP']","BiomedicalConcept","8dc3d988-9234-4fde-8659-841fbba4a849","BiomedicalConcept_18","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure"
"Heart Rate","","BiomedicalConcept","91cb8aa4-f92b-4321-bc39-298b401b2f8b","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate"
