"instanceType","uuid:ID","id","decode","codeSystemVersion","codeSystem","code"
"Code","28b8d0b2-4e96-42f5-9328-8c5a759d9ae6","Code_1","Interventional Study","2023-09-29","http://www.cdisc.org","C98388"
"Code","59fb0320-c87a-4c94-87b0-68f756a870b3","Code_2","Phase II Trial","2023-09-29","http://www.cdisc.org","C15601"
"Code","8a605a31-db92-4282-a51f-4e5ee5bd1731","Code_9","Sponsor Approval Date","2023-09-29","http://www.cdisc.org","C132352"
"Code","8a240129-8a44-4ced-a86a-cae1a40ec4de","Code_10","Global","2023-09-29","http://www.cdisc.org","C68846"
"Code","79a3bc9f-eeec-4a03-bb0d-1ce04d1cc35b","Code_72","IRB/IEC Feedback","2023-09-29","http://www.cdisc.org","C99904x3"
"Code","0355e119-31d0-4052-b54b-bf4454b9406a","Code_73","Other","2023-09-29","http://www.cdisc.org","C17649"
"Code","9ee0eac8-44b8-452c-897c-e02a2841eafb","Code_75","Region","2023-09-29","http://www.cdisc.org","C41129"
"Code","c1ab0a71-65be-4cc9-987a-59ac09b612d6","Code_74","Europe","2020-08","ISO 3166 1 alpha3","150"
"Code","6a2ec3f7-b127-4a65-8b4c-429598f90a73","Code_4","Eli Lilly","12","SPONSOR","PHARMA"
"Code","92021e7a-c77f-466a-9cfd-0ed4fec7eace","Code_76","Clinical Study Sponsor","2023-09-29","http://www.cdisc.org","C70793"
"Code","fd7cd600-88be-4fa9-a77b-01e5a0f97601","Code_77","Denmark","2020-08","ISO 3166 1 alpha3","DNK"
"Code","a58f3370-ae51-42df-aaad-a9bbf4fd01be","Code_78","Study Registry","2023-09-29","http://www.cdisc.org","C93453"
"Code","ec1c1379-4842-408e-b9f3-92313ea70286","Code_136","Treatment Study","2023-09-29","http://www.cdisc.org","C49656"
"Code","170a5185-7fd0-4d2b-b011-714d14dd6a6f","Code_137","Efficacy Study","2023-09-29","http://www.cdisc.org","C49666"
"Code","a48db18e-dbb5-4468-93bf-c4d30018dba5","Code_138","Safety Study","2023-09-29","http://www.cdisc.org","C49667"
"Code","e9cd3b0b-6337-48c2-bec4-00fa586d1846","Code_139","Pharmacokinetic Study","2023-09-29","http://www.cdisc.org","C49663"
"Code","e5bdc5d5-6b1e-414f-9cab-0258ddc00c8d","Code_133","Mild to Moderate Alzheimer's Disease","12","SPONSOR","MILD_MOD_ALZ"
"Code","2ef27fdc-0fec-4363-83a6-6d46f1f9ddb9","Code_134","Alzheimer's disease","January 31, 2018","SNOMED","26929004"
"Code","e6a00712-7eb4-443b-97d4-4c2712dc010c","Code_142","EXTENSION","2023-09-29","http://www.cdisc.org","C99907x1"
"Code","00ed7ce1-091c-4cae-bfbe-c631a3c89b5b","Code_143","ADAPTIVE","2023-09-29","http://www.cdisc.org","C98704"
"Code","a2b83474-a988-4ecd-a04e-bc36008264ac","Code_140","Parallel Study","2023-09-29","http://www.cdisc.org","C82639"
"Code","5ad37ff1-cdc5-4282-a58e-87668156af62","Code_82","Visit","2023-09-29","http://www.cdisc.org","C25716"
"Code","cd217fbb-565c-4217-859a-975054d776e1","Code_83","Clinic","2023-09-29","http://www.cdisc.org","C51282"
"Code","868c7e6c-b86f-4087-b960-9f14628b57ed","Code_84","In Person","2023-09-29","http://www.cdisc.org","C175574"
"Code","b093420b-ddb2-4edf-bf4a-f06b6cea1b4e","Code_85","Visit","2023-09-29","http://www.cdisc.org","C25716"
"Code","800306ae-ff0d-457c-ab6e-490140743e8b","Code_86","Clinic","2023-09-29","http://www.cdisc.org","C51282"
"Code","dcd007b4-74f1-444b-a274-715d8c6e491f","Code_87","In Person","2023-09-29","http://www.cdisc.org","C175574"
"Code","336cbbf3-3ffc-4164-b62b-dede98d3f969","Code_88","Visit","2023-09-29","http://www.cdisc.org","C25716"
"Code","2bce8fea-1c41-4e62-bc31-c22e787d5b2a","Code_89","Clinic","2023-09-29","http://www.cdisc.org","C51282"
"Code","b8192172-d1a5-452a-adc1-b55e551bc25a","Code_90","In Person","2023-09-29","http://www.cdisc.org","C175574"
"Code","ec5283c2-22ef-4111-a0fe-0f59544c6a0d","Code_91","Visit","2023-09-29","http://www.cdisc.org","C25716"
"Code","cc5ba3a8-95b9-4a86-aef1-20e6570beb00","Code_92","Clinic","2023-09-29","http://www.cdisc.org","C51282"
"Code","54272c27-9648-4da1-bc9e-b161b2260bfb","Code_93","In Person","2023-09-29","http://www.cdisc.org","C175574"
"Code","dbdcca96-c5fe-487c-9144-c4184dbdb442","Code_94","Visit","2023-09-29","http://www.cdisc.org","C25716"
