"name","instanceType","uuid:ID","id","description","label"
"Informed consent","Activity","0ac563a2-1741-4c4a-88da-4fa9086db8c7","Activity_1","",""
"Inclusion/exclusion criteria","Activity","a90632b9-d432-4d45-8caf-a1e6c53d299b","Activity_2","",""
"Patient number assigned","Activity","f867be0b-4b41-421d-ba91-4a0a2d0c84bb","Activity_3","",""
"Demographics","Activity","8fff46a7-5fb4-44d6-8d96-f77c0afeb7dc","Activity_4","","Demographics"
"Hachinski","Activity","4fcc5c67-cc59-4786-9c17-5a416639de08","Activity_5","","Hachinski"
"MMSE","Activity","86918d5d-a4f2-4e64-8c5a-ef3f6ecfa13f","Activity_6","","MMSE"
"Physical examination","Activity","1a0e9dec-24c3-4bd6-9a8c-48003b66b45f","Activity_7","",""
"Medical history","Activity","2adce6b9-8c7a-4f26-b7a0-836c93a06692","Activity_8","",""
"Habits","Activity","463ea3ce-9560-4a22-91f3-6bb65924fb23","Activity_9","",""
"Chest X-ray","Activity","3ebb12cb-d6c6-4eb0-afd2-50a28dd9bced","Activity_10","",""
"Apo E genotyping","Activity","76a73187-a302-43ae-ad1f-42c796d79871","Activity_11","",""
"Patient randomised","Activity","46ee670c-40ab-46b9-a596-0141e9c0f249","Activity_12","",""
"Vital signs / Temperature","Activity","7b075062-af03-4f22-b45b-7a3afbcc4ca0","Activity_13","","Vital Signs and Temperature"
"Ambulatory ECG placed","Activity","542ae1e8-3e13-434e-a2fb-db48cd966d0d","Activity_14","",""
"Ambulatory ECG removed","Activity","adb9ce33-e907-4748-801c-38c8cb883b29","Activity_15","",""
"ECG","Activity","6ec402b2-7eef-491d-9bf9-dacba6763916","Activity_16","",""
"Placebo TTS test","Activity","d54c4712-f98b-481d-9f17-3d130029b874","Activity_17","",""
"CT scan","Activity","86f3d66b-856a-4c98-8537-aed3790fd583","Activity_18","",""
"Concomitant medications","Activity","90d00d3e-6e95-4158-8dda-2b56c0e28010","Activity_19","",""
"Hematology","Activity","095d6bc0-03cb-4c91-ab98-ce7a24650fa3","Activity_20","",""
"Chemistry","Activity","17a18e5a-a40f-4709-9432-dc547a96379d","Activity_21","",""
"Uninalysis","Activity","a55fa1b7-e9eb-42a3-bf81-6af0827f8d6a","Activity_22","",""
"Plasma Specimen (Xanomeline)","Activity","7159ca97-faa8-4b91-a921-1044672e049c","Activity_23","",""
"Hemoglobin A1C","Activity","9681cc01-1f04-4cba-be43-a156cfd2d20d","Activity_24","",""
"Study drug","Activity","0d78ee3c-4edd-48b5-86aa-cce255b08353","Activity_25","","Study drug record , Medications dispensed, Medications returned"
"TTS Acceptability Survey","Activity","ccf8e17a-2c02-4f3f-b701-698e7f391601","Activity_26","",""
"ADAS-Cog","Activity","fe230f26-6e8f-4112-8ad1-3ec94562c610","Activity_27","",""
"CIBIC+","Activity","e50ea8b4-4be8-484b-bd29-132f96f9117f","Activity_28","",""
"DAD","Activity","ca4f7a78-1a8e-4ab1-92bc-bd00fdaa3a70","Activity_29","",""
"NPI-X","Activity","74489358-b5dc-4ac4-865d-b784af041b5b","Activity_30","",""
"Adverse events","Activity","28c03a33-be3b-4cfa-8bf6-0f7b8f88b86e","Activity_31","",""
"Check adverse events","Activity","9fa0d902-e49c-4510-b405-6483f38a1c72","Activity_32","",""
"Supine","Activity","8267fc0e-44fa-4a4e-83b1-2186862ccaef","Activity_33","","Subject supine"
"Vital Signs Supine","Activity","ba253721-44ce-4d7d-90e2-9638592a293a","Activity_34","","Vital signs while supine"
"Stand","Activity","87d51f3c-adeb-4901-be64-c891ac118e2e","Activity_35","","Subject Standing"
"Vital Signs Standing","Activity","cfc1f6e8-f88d-42b1-b065-9468d64947bf","Activity_36","","Vital signs while standing"
