"name","instanceType","uuid:ID","text","id"
"ENCOUNTER_START_RULE_1","TransitionRule","b58e7548-2b5d-47a3-adca-3502cb9e5590","Subject identifier","TransitionRule_1"
"ENCOUNTER_START_RULE_1","TransitionRule","f9c64864-637b-4fff-8084-b0b63d1a1eff","completion of screening activities","TransitionRule_2"
"ENCOUNTER_START_RULE_2","TransitionRule","ea7732cd-0a72-4700-8f3c-5b68270ef4e4","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"ENCOUNTER_START_RULE_3","TransitionRule","93a96b7b-d6bc-473d-8e50-7de9499ed272","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"ENCOUNTER_START_RULE_3","TransitionRule","f2321e0d-4174-45f0-abfa-fdbadb6b789b","Radomized","TransitionRule_5"
"ENCOUNTER_START_RULE_12","TransitionRule","baa7f039-49fc-44f5-8bb3-a2c49588cab6","End of treatment","TransitionRule_6"
"ELEMENT_START_RULE_1","TransitionRule","837010bf-4ea4-45f8-92f0-50eb9d55e4a7","Informed consent","TransitionRule_7"
"ELEMENT_END_RULE_1","TransitionRule","a720085e-1bdc-4eaf-884e-48e7737c39cd","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"ELEMENT_START_RULE_2","TransitionRule","21cca9fd-737d-4f49-acf3-26d2d3570202","Administration of first dose","TransitionRule_9"
"ELEMENT_START_RULE_7","TransitionRule","e4af0083-bb42-4153-b695-15174ed330d2","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"ELEMENT_END_RULE_7","TransitionRule","32162bcd-afdf-4b2e-91b3-e8a7e800f2d2","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"ELEMENT_START_RULE_3","TransitionRule","3baba958-ca92-42f8-a9c8-7c309404385a","Administration of first dose","TransitionRule_10"
"ELEMENT_START_RULE_4","TransitionRule","0dc203bb-3cb2-4971-b186-36c149e8d5ae","Randomized","TransitionRule_11"
"ELEMENT_START_RULE_5","TransitionRule","88591dc3-e8c9-404c-9949-283a88fdcc91","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"ELEMENT_START_RULE_6","TransitionRule","718b4e67-2356-4d3a-8acb-3d584a66ba6e","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
