"name","instanceType","uuid:ID","isRequired","id","datatype","isEnabled","label"
"Vital Signs Result","BiomedicalConceptProperty","b9782c53-03a7-4c88-8b18-21fae2567126","True","BiomedicalConceptProperty_98","decimal","True","Vital Signs Result"
"Unit of Temperature","BiomedicalConceptProperty","f1437c5e-a4dc-40f1-89e4-813981363d8f","True","BiomedicalConceptProperty_99","string","True","Unit of Temperature"
"Vital Signs Location","BiomedicalConceptProperty","53d6ad67-4c7f-4849-8791-7f18b78f5be9","True","BiomedicalConceptProperty_100","string","True","Vital Signs Location"
"Vital Signs Result","BiomedicalConceptProperty","eb6f1eca-7696-441d-9fa8-382f1c1666b1","True","BiomedicalConceptProperty_101","decimal","True","Vital Signs Result"
"Unit of Weight","BiomedicalConceptProperty","7fd045cd-5b92-4fdb-be15-88c22e2a556c","True","BiomedicalConceptProperty_102","string","True","Unit of Weight"
"Vital Signs Result","BiomedicalConceptProperty","3617a2df-b1d2-43a5-a2dd-201fa39d8619","True","BiomedicalConceptProperty_103","decimal","True","Vital Signs Result"
"Unit of Height","BiomedicalConceptProperty","290342a7-5e41-4309-a1a6-72b384ef957d","True","BiomedicalConceptProperty_104","string","True","Unit of Height"
"Laboratory Test Result","BiomedicalConceptProperty","ca549ca8-6bab-4823-aae1-419d12d4651d","True","BiomedicalConceptProperty_105","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","f386f153-5591-428c-881f-664025545a03","True","BiomedicalConceptProperty_106","boolean","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","58360797-73ef-42cf-b824-eb3dce772006","True","BiomedicalConceptProperty_107","string","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","BiomedicalConceptProperty","d8745ff0-6be8-48f8-a88b-00477ef7d51f","True","BiomedicalConceptProperty_108","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","d5aca2f9-215d-45c7-84b9-c7359df6fe8a","True","BiomedicalConceptProperty_109","string","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","f4eb8ffd-7e9f-40f5-bdfa-3cb34800a110","True","BiomedicalConceptProperty_110","boolean","True","Laboratory Test Fasting Status"
"Unit of Concentration","BiomedicalConceptProperty","ae108ce1-d582-4f80-9707-bd64678c906f","True","BiomedicalConceptProperty_111","string","True","Unit of Concentration"
"Biospecimen Type","BiomedicalConceptProperty","b8c87863-406e-433d-81dc-84a739e1651b","True","BiomedicalConceptProperty_112","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","3dec6c22-0003-4abd-9151-1e8baa8ed7ad","True","BiomedicalConceptProperty_113","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","0aee01f6-0d83-44d5-824c-f90f4c156636","True","BiomedicalConceptProperty_114","boolean","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","c2b5f5bf-c1aa-4e80-a4d0-c81b5063cbc0","True","BiomedicalConceptProperty_115","string","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","BiomedicalConceptProperty","77e93022-c4c0-49af-88ba-cc7ccdbe9273","True","BiomedicalConceptProperty_116","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","ea76ba18-f923-4d05-a3f7-002aae27274d","True","BiomedicalConceptProperty_117","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","1a7ccacf-5cf1-4238-a163-0578a795184f","True","BiomedicalConceptProperty_118","boolean","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","324afafc-4ff9-4474-b22d-0a15c582f110","True","BiomedicalConceptProperty_119","string","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","BiomedicalConceptProperty","4b7b1a6f-9aa3-42aa-98c6-0bc8166bf86f","True","BiomedicalConceptProperty_120","string","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty","94710c02-7ebc-4a5c-83fb-e672e7e95e44","True","BiomedicalConceptProperty_121","string","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","fe276e7a-e25a-4abb-9f32-71a23c44cc88","True","BiomedicalConceptProperty_122","boolean","True","Laboratory Test Fasting Status"
"Unit of Concentration","BiomedicalConceptProperty","228b5d53-688c-414f-a798-b9b1f733840b","True","BiomedicalConceptProperty_123","string","True","Unit of Concentration"
"Biospecimen Type","BiomedicalConceptProperty","b91573d2-bff9-460b-9c34-87ea7a4935b6","True","BiomedicalConceptProperty_124","string","True","Biospecimen Type"
