"id:ID","sectionTitle","name","id","text","sectionNumber","uuid"
"268","Root","ROOT","NarrativeContent_1","","0","d02f6f9e-af05-4448-9de1-492e7913c2af"
"269","TITLE PAGE","SECTION 0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","0","1e26d58e-412b-4a92-b1b7-6b2b1f38aa8f"
"270","PROTOCOL SUMMARY","SECTION 1","NarrativeContent_3","<div></div>","1","907be1db-ced1-46d4-b38a-ec76daa9e94a"
"271","Protocol Synopsis","SECTION 1.1","NarrativeContent_4","<div></div>","1.1","aa08f35c-e6b6-472c-8600-6ef495af00e5"
"272","Trial Schema","SECTION 1.2","NarrativeContent_5","<div></div>","1.2","b8891e6a-637f-490f-8766-504a850b8102"
"273","Schedule of Activities","SECTION 1.3","NarrativeContent_6","<div></div>","1.3","5158d471-3351-46b2-80cd-4c141cd136d0"
"274","INTRODUCTION","SECTION 2","NarrativeContent_7","<div></div>","2","b144887e-74bb-4fe3-ab7b-bba6fff5d8dc"
"275","Purpose of Trial","SECTION 2.1","NarrativeContent_8","<div></div>","2.1","c5d38ef7-ab60-410d-9ad4-de219c8b994f"
"276","Summary of Benefits and Risks","SECTION 2.2","NarrativeContent_9","<div></div>","2.2","74b8bc78-00b6-446a-8a23-393fe1bfc547"
"277","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","NarrativeContent_10","<div></div>","3","beb8e857-bd0f-4465-9a72-28552882edf3"
"278","Primary Objectives","SECTION 3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","d85f6c9c-5104-4cb1-af6f-225b91d31609"
"279","TRIAL DESIGN","SECTION 4","NarrativeContent_12","<div></div>","4","149237a4-14e2-4b07-9e2e-77dfb1a50566"
"280","Description of Trial Design","SECTION 4.1","NarrativeContent_13","<div></div>","4.1","ee5d24d3-56e6-46a2-8110-dc61c229d953"
"281","Participant Input into Design","SECTION 4.1.1","NarrativeContent_14","<div></div>","4.1.1","dfce7f52-e664-4612-8be6-ca577e32398d"
"282","Rationale for Trial Design","SECTION 4.2","NarrativeContent_15","<div></div>","4.2","23cd615a-15d7-4070-9a42-9fba4d5331da"
"283","Rationale for Comparator","SECTION 4.2.1","NarrativeContent_16","<div></div>","4.2.1","b285efb0-448f-4e53-94af-b1cdef6e695a"
"284","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","NarrativeContent_17","<div></div>","4.2.2","23e5c897-d1fa-4ea2-9765-c41657aa2de7"
"285","Other Trial Design Considerations","SECTION 4.2.3","NarrativeContent_18","<div></div>","4.2.3","5c6ab955-045e-46ee-91e1-c4ad2393ea3b"
"286","Access to Trial Intervention After End of Trial","SECTION 4.3","NarrativeContent_19","<div></div>","4.3","6ea2b43f-b024-443a-b28d-b496799b19a8"
"287","Start of Trial and End of Trial","SECTION 4.4","NarrativeContent_20","<div></div>","4.4","3a12e5f9-e4cd-48d2-b2e2-aae1c3debe9e"
"288","TRIAL POPULATION","SECTION 5","NarrativeContent_21","<div></div>","5","a58ec7f5-4f3f-4f5a-bb65-e77d51d0147b"
"289","Selection of Trial Population","SECTION 5.1","NarrativeContent_22","<div></div>","5.1","e0843631-47f7-4024-9f1a-1ce946148dca"
"290","Rationale for Trial Population","SECTION 5.2","NarrativeContent_23","<div></div>","5.2","fd4a501d-0e1d-4144-ae9f-fd8b5cd3af02"
"291","Inclusion Criteria","SECTION 5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","5.3","e2c224a6-1696-4ea2-b2ab-336313742426"
"292","Exclusion Criteria","SECTION 5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","5.4","8f87c465-3639-4860-81ef-98ec5e40dcc6"
"293","Lifestyle Considerations","SECTION 5.5","NarrativeContent_26","<div></div>","5.5","57032f9d-7473-4d14-8af0-09105bde8222"
"294","Meals and Dietary Restrictions","SECTION 5.5.1","NarrativeContent_27","<div></div>","5.5.1","67a67bb6-73c5-4ff3-ab7a-26ee3f022467"
"295","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","NarrativeContent_28","<div></div>","5.5.2","37ccf091-6bc3-492d-b72c-db0b10b41322"
"296","Physical Activity","SECTION 5.5.3","NarrativeContent_29","<div></div>","5.5.3","5616e966-b2ee-417b-a581-d228de8b659f"
"297","Other Activity","SECTION 5.5.4","NarrativeContent_30","<div></div>","5.5.4","a00046e9-2223-41db-96bb-9b1deb14db09"
"298","Screen Failures","SECTION 5.6","NarrativeContent_31","<div></div>","5.6","44105fda-cede-447d-8199-4be651f18f7b"
"299","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","NarrativeContent_32","<div></div>","6","aad0cd0f-f760-4830-9c6d-267227a3c318"
"300","Description of Trial Intervention","SECTION 6.1","NarrativeContent_33","<div></div>","6.1","d3a12daa-7db4-41ba-a644-bef5ae740a71"
"301","Rationale for Trial Intervention","SECTION 6.2","NarrativeContent_34","<div></div>","6.2","a809b9e4-195c-4a2a-a065-63566b0c55f4"
"302","Dosing and Administration","SECTION 6.3","NarrativeContent_35","<div></div>","6.3","c7cd08bd-a714-4890-901a-f80b207c9f46"
"303","Trial Intervention Dose Modification","SECTION 6.3.1","NarrativeContent_36","<div></div>","6.3.1","814629de-5a06-40b9-9567-049aedab2b64"
"304","Treatment of Overdose","SECTION 6.4","NarrativeContent_37","<div></div>","6.4","3d8b0665-ec83-47a4-b509-04b9d65cc206"
"305","Preparation, Handling, Storage and Accountability","SECTION 6.5","NarrativeContent_38","<div></div>","6.5","01156698-648d-49e9-b350-42bbf6235ac5"
"306","Preparation of Trial Intervention","SECTION 6.5.1","NarrativeContent_39","<div></div>","6.5.1","c6a00ae3-5398-4055-814c-086f95072bf4"
"307","Handling and Storage of Trial Intervention","SECTION 6.5.2","NarrativeContent_40","<div></div>","6.5.2","720407cf-fa16-497b-9d2e-2bc59661565f"
"308","Accountability of Trial Intervention","SECTION 6.5.3","NarrativeContent_41","<div></div>","6.5.3","ba8ffabe-a80b-4cc6-84e1-bdcae7b600e8"
"309","Participant Assignment, Randomisation and Blinding","SECTION 6.6","NarrativeContent_42","<div></div>","6.6","2f474d95-0c27-47ed-85d7-93b18f9bc45f"
"310","Participant Assignment","SECTION 6.6.1","NarrativeContent_43","<div></div>","6.6.1","c97f9995-213e-4966-8204-c9134c5b5837"
"311","Randomisation","SECTION 6.6.2","NarrativeContent_44","<div></div>","6.6.2","dbaec400-9809-47a0-8ea6-6ecef8181794"
"312","Blinding and Unblinding","SECTION 6.6.3","NarrativeContent_45","<div><p>Blinding and unblinding text here please</p></div>","6.6.3","fa9fadce-2dab-487c-a255-25574d272c7b"
"313","Trial Intervention Compliance","SECTION 6.7","NarrativeContent_46","<div></div>","6.7","2a70e0a6-cb3e-4070-885f-efeba069c1f5"
"314","Concomitant Therapy","SECTION 6.8","NarrativeContent_47","<div></div>","6.8","151c48b5-069a-4a1d-b40f-1d983733e500"
"315","Prohibited Concomitant Therapy","SECTION 6.8.1","NarrativeContent_48","<div></div>","6.8.1","f1960e78-2460-4cb2-9909-ef52e8950744"
"316","Permitted Concomitant Therapy","SECTION 6.8.2","NarrativeContent_49","<div></div>","6.8.2","27af6c74-007c-48ad-9fed-8b59e79d472b"
"317","Rescue Therapy","SECTION 6.8.3","NarrativeContent_50","<div></div>","6.8.3","25d3b60d-5f13-4384-86c8-3798f5058c82"
"318","Other Therapy","SECTION 6.8.4","NarrativeContent_51","<div></div>","6.8.4","fc356471-bacd-4bdc-acde-338075c30184"
