"id:ID","name","label","id","text","uuid","description"
"162","ENCOUNTER_START_RULE_1","","TransitionRule_1","Subject identified","80f60842-4002-45db-9a93-48b22c1452ae",""
"163","ENCOUNTER_START_RULE_1","","TransitionRule_2","IEs passed","19681ed8-c776-4ec8-8ed8-1d8821674729",""
"164","ENCOUNTER_START_RULE_3","","TransitionRule_3","Radomized","e0c595f6-5fae-4fb4-ab2d-210f87cf8948",""
"165","ELEMENT_START_RULE_1","","TransitionRule_4","Study Start","9b3a7a8b-5845-4d67-885f-78f867bd381e",""
"166","ELEMENT_END_RULE_1","","TransitionRule_5","Screened","7eaa0c82-6ae4-4d41-8dda-25834494476f",""
"167","ELEMENT_START_RULE_2","","TransitionRule_6","Screened","e66518b4-2f4c-4cbe-909a-7b36907b83c4",""
"168","ELEMENT_END_RULE_2","","TransitionRule_7","Radomized","9ee243c7-50ae-425d-bea1-90e949e18cee",""
"169","ELEMENT_START_RULE_3","","TransitionRule_8","Radomized","2d1dc38f-fec0-413e-844f-a08032dd011f",""
"170","ELEMENT_END_RULE_3","","TransitionRule_9","Completed treatment 1","4e1d9787-af00-4e0d-ae2a-fcae353894fb",""
"171","ELEMENT_START_RULE_5","","TransitionRule_12","Radomized","13b5a1bb-d697-4bdd-a414-8e334c494a82",""
"172","ELEMENT_END_RULE_5","","TransitionRule_13","Completed treatment 2","fb7ada81-3d68-41c7-b927-fc03640162d3",""
"173","ELEMENT_START_RULE_4","","TransitionRule_10","Treated","f5eb9c11-5e15-4b0f-bea9-b00d8d434059",""
"174","ELEMENT_END_RULE_4","","TransitionRule_11","Leave Study","59190c4c-826a-42de-8cb0-77f5889e9e0a",""
