"uuid:ID","name","sectionNumber","sectionTitle","text","id","instanceType"
"85a485fe-69c1-4a47-8b24-a14db5f510cc","ROOT","0","Root","","NarrativeContent_1","NarrativeContent"
"844ffbbf-eecd-4b77-954f-eb55aeaabbc0","SECTION 0","0","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","NarrativeContent"
"0ccc598d-e02e-420c-b9fd-15a839e37167","SECTION 1","1","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3","NarrativeContent"
"c139b0c0-2e2b-4382-bedb-21c575287202","SECTION 1.1","1.1","Protocol Synopsis","<div></div>","NarrativeContent_4","NarrativeContent"
"80229894-8803-475e-bf5f-6dfd65bd7e5f","SECTION 1.2","1.2","Trial Schema","<div></div>","NarrativeContent_5","NarrativeContent"
"32cc4d8a-cb7a-4516-9b32-7293b4fd1d2c","SECTION 1.3","1.3","Schedule of Activities","<div></div>","NarrativeContent_6","NarrativeContent"
"5b3b9a24-f734-4b44-a801-95066fd2d4d4","SECTION 2","2","INTRODUCTION","<div></div>","NarrativeContent_7","NarrativeContent"
"3d9be0be-1d37-4ac0-8bf0-b0459eddfad3","SECTION 2.1","2.1","Purpose of Trial","<div></div>","NarrativeContent_8","NarrativeContent"
"905f0645-be96-411f-afed-b1549302c3b0","SECTION 2.2","2.2","Summary of Benefits and Risks","<div></div>","NarrativeContent_9","NarrativeContent"
"63900a17-17df-448d-9eb5-0db6337cc605","SECTION 3","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10","NarrativeContent"
"9b1e5867-fa1d-459d-8d42-0af78f4dac72","SECTION 3.1","3.1","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","NarrativeContent"
"49329fb8-fcc2-45ad-b288-db7605cf3b12","SECTION 4","4","TRIAL DESIGN","<div></div>","NarrativeContent_12","NarrativeContent"
"1bfab44c-7b4f-47e8-8a0d-75bcdc1f17e0","SECTION 4.1","4.1","Description of Trial Design","<div></div>","NarrativeContent_13","NarrativeContent"
"56a5b162-5193-4e46-9749-8ee5f7a82170","SECTION 4.1.1","4.1.1","Participant Input into Design","<div></div>","NarrativeContent_14","NarrativeContent"
