"uuid:ID","name","label","id","description","instanceType"
"867114b2-05c1-46e9-8592-2d0023cfdffa","E1","Screening 1","Encounter_1","Screening encounter","Encounter"
"7a79e4c5-bd41-4cb8-893d-1d6798093577","E2","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter"
"2902d149-bb05-49be-ae54-6dc696cedde7","E3","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"57722988-567f-470e-9f3a-a9e7475cce8c","E4","Week 2","Encounter_4","Day 14","Encounter"
"73504a27-84af-477a-9448-5115583f3d6d","E5","Week 4","Encounter_5","Day 28","Encounter"
"5213e054-7057-4792-97b2-2a6a4a9e0c21","E7","Week 6","Encounter_6","Day 42","Encounter"
"0e3a6cb9-7ad2-4e25-9370-c5a31ef5e38c","E8","Week 8","Encounter_7","Day 56","Encounter"
"1b3cb2eb-0d08-4c2a-933b-b4315cbe9185","E9","Week 12","Encounter_8","Day 84","Encounter"
"0d05bad2-5c88-4e49-aaec-61e38bec7efe","E10","Week 16","Encounter_9","Day 112","Encounter"
"f93a4645-7dc9-4059-afb2-8f59923d5294","E11","Week 20","Encounter_10","Day 140","Encounter"
"bc98f00a-65af-4cb1-9cec-f191612de87a","E12","Week 24","Encounter_11","Day 168","Encounter"
"9d2fdd50-260a-4e28-9f77-3e926497205a","E13","Week 26","Encounter_12","Day 182","Encounter"
