"uuid:ID","name","text","id","instanceType"
"37aac29e-707f-48dc-a4e0-7b2e813a734e","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","TransitionRule"
"d9efed37-1bde-4913-a7a3-8f83730296ba","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","TransitionRule"
"83860d7e-a201-4b41-b09b-bbd600d81e68","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule"
"8a997f97-9352-44b4-8e7a-69ccb4fd9965","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule"
"ef9298ff-df6d-4cee-a777-3d94e1080aa3","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","TransitionRule"
"4895741d-6eb4-4cec-9017-ad95bfb71267","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","TransitionRule"
"9834d5fd-9808-4e51-8045-c7148a210479","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","TransitionRule"
"c38aa42e-70ad-4bcd-b48e-4ca2309d5638","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule"
"bb91f4e5-8e2b-43a5-b83b-25b3c973a7cb","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","TransitionRule"
"25ca9911-853e-4476-bcc2-c6fa6cc104ea","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule"
"eae60643-9428-4adf-90ea-0d4f99f3eb47","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule"
"ff90b5ba-947b-4c2b-a4ee-ad42b363b280","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","TransitionRule"
"868f4185-f216-4c4f-8458-219bf2f4399a","ELEMENT_START_RULE_4","Randomized","TransitionRule_11","TransitionRule"
"1eb22386-532a-4740-a2ca-36bdd860adb4","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule"
"57ebb822-51f4-4e8b-a646-87600137c271","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule"
