"uuid:ID","name","reference","synonyms","label","id","instanceType"
"251fe8b5-4b91-4bd8-adfc-68fe88274b9c","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature","BiomedicalConcept_20","BiomedicalConcept"
"60cf6233-e328-4674-81ee-2477919ed105","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight","BiomedicalConcept_21","BiomedicalConcept"
"4eb32071-3eff-4a24-ab2a-71e3266ca5ff","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height","BiomedicalConcept_22","BiomedicalConcept"
"451782e6-30ba-4127-8a73-5f1d17192c5c","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","BiomedicalConcept"
"93107d3a-321a-45cf-be1a-b87ba6a54609","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","BiomedicalConcept_24","BiomedicalConcept"
"6c69acf1-74df-41e0-9e99-15884c1570b1","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","BiomedicalConcept"
"5ad53273-49e7-4977-a617-f6728a823517","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","BiomedicalConcept"
"6c48254a-0ca4-44e3-b959-c2b11b1f53a9","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","BiomedicalConcept"
"ac6fdd84-34b6-49b4-9bc4-6d70792e2c9b","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","BiomedicalConcept"
"23027bd6-374e-4c38-a7a5-eb8d9824443b","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","BiomedicalConcept"
"cf7af78b-1abd-4b7b-b364-97563ea95131","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","BiomedicalConcept"
"6cad17ca-dee6-42e6-b4fc-ffb9a90cbf2d","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","BiomedicalConcept"
"bbe17081-a333-4186-a6cb-0ef36bc4ff49","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","BiomedicalConcept"
"c4d4c4eb-8be5-4e2a-bb21-d335df3920aa","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature","BiomedicalConcept_4","BiomedicalConcept"
