"uuid:ID","name","datatype","isEnabled","isRequired","label","id","instanceType"
"09962bd5-3910-4ac2-8d39-9dfe7438f095","Vital Signs Result","decimal","True","True","Vital Signs Result","BiomedicalConceptProperty_98","BiomedicalConceptProperty"
"21019355-46bc-4811-881d-bdc88b56d2f7","Unit of Temperature","string","True","True","Unit of Temperature","BiomedicalConceptProperty_99","BiomedicalConceptProperty"
"c6e9210d-ca7b-4897-a22f-4e73fb40a9d3","Vital Signs Location","string","True","True","Vital Signs Location","BiomedicalConceptProperty_100","BiomedicalConceptProperty"
"347dba01-3a81-41a2-982d-a9c94a41cd42","Vital Signs Result","decimal","True","True","Vital Signs Result","BiomedicalConceptProperty_101","BiomedicalConceptProperty"
"e536e3c0-acb3-4980-b649-e8aa5abb4ac3","Unit of Weight","string","True","True","Unit of Weight","BiomedicalConceptProperty_102","BiomedicalConceptProperty"
"5924a0da-914a-428a-b455-b82dbcbaca49","Vital Signs Result","decimal","True","True","Vital Signs Result","BiomedicalConceptProperty_103","BiomedicalConceptProperty"
"549a7c3a-f5a2-45ed-8d4a-20e0f2785e99","Unit of Height","string","True","True","Unit of Height","BiomedicalConceptProperty_104","BiomedicalConceptProperty"
"e052af94-62fd-44b6-833a-430b18a65a8a","Laboratory Test Result","decimal","True","True","Laboratory Test Result","BiomedicalConceptProperty_105","BiomedicalConceptProperty"
"bbbe0216-d63b-44ec-93d2-7e7c07e48238","Laboratory Test Fasting Status","boolean","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","BiomedicalConceptProperty"
"8964f821-0338-4ab2-ae5c-8d6fa89be609","Unit of Catalytic Activity Concentration","string","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","BiomedicalConceptProperty"
"fcc28ea1-d981-4116-80b9-e8372ab1e8b1","Biospecimen Type","string","True","True","Biospecimen Type","BiomedicalConceptProperty_108","BiomedicalConceptProperty"
"6c44aba0-0653-448d-92fd-6cf4d4e7b4bc","Laboratory Test Result","string","True","True","Laboratory Test Result","BiomedicalConceptProperty_109","BiomedicalConceptProperty"
"94667d3c-3acf-40c0-be0a-8da51b662a04","Laboratory Test Fasting Status","boolean","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","BiomedicalConceptProperty"
"b93eba83-7f81-4022-af65-12bfad747e6c","Unit of Concentration","string","True","True","Unit of Concentration","BiomedicalConceptProperty_111","BiomedicalConceptProperty"
"e5ad40e2-e5f2-4e2f-94e6-77d448ecefc1","Biospecimen Type","string","True","True","Biospecimen Type","BiomedicalConceptProperty_112","BiomedicalConceptProperty"
"70fd9054-e400-40fb-a537-52d63d631fd7","Laboratory Test Result","decimal","True","True","Laboratory Test Result","BiomedicalConceptProperty_113","BiomedicalConceptProperty"
"6ba2e3ae-8b47-47c6-b326-77e599adc6c8","Laboratory Test Fasting Status","boolean","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","BiomedicalConceptProperty"
"2b05c03e-d8d6-4e0f-9f12-abba09a1dd74","Unit of Catalytic Activity Concentration","string","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115","BiomedicalConceptProperty"
"ffe56042-253c-4ea3-8ce0-ed32128813e4","Biospecimen Type","string","True","True","Biospecimen Type","BiomedicalConceptProperty_116","BiomedicalConceptProperty"
"b42b86cd-a579-42b2-846a-a7bcde49ff8a","Laboratory Test Result","decimal","True","True","Laboratory Test Result","BiomedicalConceptProperty_117","BiomedicalConceptProperty"
"c68d2096-27f6-47fc-abad-1e591a600cc7","Laboratory Test Fasting Status","boolean","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","BiomedicalConceptProperty"
"b7a681a0-faf3-499b-a269-f9ba45069c11","Unit of Catalytic Activity Concentration","string","True","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119","BiomedicalConceptProperty"
"6aba3813-264c-48f0-a7ac-40529577a1b4","Biospecimen Type","string","True","True","Biospecimen Type","BiomedicalConceptProperty_120","BiomedicalConceptProperty"
"eb431c80-72cf-4954-af26-c75404b95af9","Laboratory Test Result","string","True","True","Laboratory Test Result","BiomedicalConceptProperty_121","BiomedicalConceptProperty"
"1527f6a1-73b1-4bba-aea1-4226c64e3e5d","Laboratory Test Fasting Status","boolean","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_122","BiomedicalConceptProperty"
"32d5da56-1aed-47b3-8d24-8c9e202c0e9d","Unit of Concentration","string","True","True","Unit of Concentration","BiomedicalConceptProperty_123","BiomedicalConceptProperty"
"47ae85b1-5d19-41d7-8289-fe8fa0deb5e9","Biospecimen Type","string","True","True","Biospecimen Type","BiomedicalConceptProperty_124","BiomedicalConceptProperty"
"bcc32ec1-af01-4530-8e5a-9e0d761fa31e","Laboratory Test Result","decimal","True","True","Laboratory Test Result","BiomedicalConceptProperty_125","BiomedicalConceptProperty"
"44cc9aae-fc42-4053-a622-60c83cb97dde","Laboratory Test Fasting Status","boolean","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_126","BiomedicalConceptProperty"
"2a4f9ae1-f25a-4581-aff1-9eeb56099d10","Molarity Unit","string","True","True","Molarity Unit","BiomedicalConceptProperty_127","BiomedicalConceptProperty"
"63e021be-ada5-4394-985e-c5a5b28a36bb","Biospecimen Type","string","True","True","Biospecimen Type","BiomedicalConceptProperty_128","BiomedicalConceptProperty"
"a3cfbfa1-b3d9-4806-b6cb-9ad6b0539722","Laboratory Test Result","decimal","True","True","Laboratory Test Result","BiomedicalConceptProperty_129","BiomedicalConceptProperty"
"58cd8553-ed1d-4df8-a620-1ba4bbd061d7","Laboratory Test Fasting Status","boolean","True","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_130","BiomedicalConceptProperty"
