"uuid:ID","windowLower","name","windowUpper","window","value","label","id","description","instanceType"
"55321ccc-2206-4819-b92b-1f0872d285fc","","TIM1","","","P2W","Screening","Timing_1","Screening timing","Timing"
"24de1e68-cdad-41ce-b0ec-5173833a4c97","PT4H","TIM2","PT0H","-4..0 hours","P2D","Pre dose","Timing_2","Pre dose timing","Timing"
"b9ae3dec-ef05-421a-987f-1b143ac9c83e","","TIM3","","","P1D","Dosing","Timing_3","Dosing anchor","Timing"
"32b2476a-39c8-4280-9845-71b2dbc7a424","P3D","TIM4","P3D","-3..3 days","P2W","Week 2","Timing_4","Week 2 timing","Timing"
"44dd1472-720b-45d5-a0cd-3258d0913f1b","P3D","TIM5","P3D","-3..3 days","P4W","Week 4","Timing_5","Week 4 timing","Timing"
"1bef1c4f-c19e-4f1a-9056-171b477b9d68","P3D","TIM6","P3D","-3..3 days","P6W","Week 6","Timing_6","Week 6 timing","Timing"
"1ca54a92-2a4b-48fb-891d-a7b7c2f48a4b","P3D","TIM7","P3D","-3..3 days","P8W","Week 8","Timing_7","Week 8 timing","Timing"
"50ff7529-b37b-4e53-a850-ae6bf3b60659","P4D","TIM9","P4D","-4..4 days","P12W","Week 12","Timing_9","Week 12 timing","Timing"
"987f9d55-c6be-4435-b8ad-c791a3fc47e6","P4D","TIM11","P4D","-4..4 days","P16W","Week 16","Timing_11","Week 16 timing","Timing"
"ac31693c-71b1-420c-b973-12e6ed83af65","P4D","TIM13","P4D","-4..4 days","P20W","Week 20","Timing_13","Week 20 timing","Timing"
"2563f42b-a911-4a78-ac3a-e38a3bd23511","P4D","TIM15","P4D","-4..4 days","P24W","Week 24","Timing_15","Week 24 timing","Timing"
"5cc05136-3aa8-4f7f-b8c8-eb310197ac3e","P3D","TIM16","P3D","-3..3 days","P26W","Week 26","Timing_16","Week 26 timing","Timing"
"9882c3c6-dc6a-4239-9f8e-079b0073e53e","","TIM8","","","P2W","Week 8 Home","Timing_8","Week 8 at home timing","Timing"
"2aa83ea8-c2f3-44be-914a-9fa3ee07e83e","","TIM10","","","P2W","Week 12 Home","Timing_10","Week 12 at home timing","Timing"
"ab7fae6b-5137-4727-a464-b40475b03080","","TIM12","","","P2W","Week 16 Home","Timing_12","Week 16 at home timing","Timing"
"7021a39f-fb7c-4dcb-938c-c19dbb353ec4","","TIM14","","","P2W","Week 20 Home","Timing_14","Week 20 at home timing","Timing"
"f4e3f5c1-5961-4086-83f5-4c8624d71f56","","TIM17","","","P1D","Adverse Event","Timing_17","Adverse Event","Timing"
"5d77d05b-57f4-46ef-b6d4-2fecfd70b161","","TIM18","","","P1D","Early Termination","Timing_18","Early Termination","Timing"
"b0f00652-fd0c-4112-b357-8d25423d3ca9","","TIM19","","","PT0M","Supine","Timing_19","Supine","Timing"
"1d58f2ed-c639-4197-855e-849aab8fd705","","TIM20","","","PT5M","VS while supine","Timing_20","VS while supine","Timing"
"f417ef49-5f34-433b-9195-06fdc3acefc9","","TIM21","","","PT0M","Standing","Timing_21","Standing","Timing"
"e7161ca5-f507-4aa1-9348-d4bf4c6dee71","","TIM22","","","PT1M","VS while standing","Timing_22","VS while standing","Timing"
"ac085df4-2f33-4a34-9eb8-a0442f960e6b","","TIM23","","","PT0M","Standing","Timing_23","Standing","Timing"
"691d48b8-6455-4a85-b35d-061d5ee7632f","","TIM24","","","PT2M","VS while standing","Timing_24","VS while standing","Timing"
