"text","uuid:ID","instanceType","name","id"
"Subject identifier","891aa7e2-9d63-4fe2-ad45-e9d18fb3abd3","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1"
"completion of screening activities","bb9cba5e-e238-4d33-b587-abaaf66a1857","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","a1986c9a-64fd-410b-8d7b-37228f1d9f13","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","bff3c968-3801-4850-92d2-5390e8f4a8d6","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4"
"Radomized","29d3377a-508f-4b6a-8c5f-0d4ada8cfc93","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5"
"End of treatment","48240d89-73bb-41a9-a52b-c865c6102769","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6"
"Informed consent","f949563b-5a07-413f-b9db-7e56090252ea","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","6fd92ce1-eaa5-4ab6-b205-04d3985d6ea6","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8"
"Administration of first dose","51a32b3a-1e84-468b-a34d-6e1c87c6fb32","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","c35974e6-a7ba-4a35-89e9-849ce7929eaa","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","5ad86925-c680-4eb1-9444-cc1e174102c6","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15"
"Administration of first dose","ee1459ce-a059-4332-a8b9-61fcd0142a7c","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10"
"Randomized","c911b9f3-4abd-4f35-a748-d62c424f4c52","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","152c7613-4ff0-4c74-8441-15c7e0ad5479","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","1ab3fa0f-9cd6-4c47-abb3-c88a156016be","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13"
