"label","uuid:ID","synonyms","instanceType","name","id","reference"
"Informed Consent Obtained","85689010-8254-4c73-a802-18ea92c42bd0","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","Informed Consent Obtained","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"Sex","64189ef6-6233-49ba-a8e8-1d384d6bb5e7","","BiomedicalConcept","Sex","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","5812fc3c-ed1a-488e-ba5f-e9c001f7ada9","['Racial Group']","BiomedicalConcept","Race","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","e23c28e0-69c5-410b-b6d4-465d333f61d2","['Temperature', 'Body Temperature']","BiomedicalConcept","Temperature","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","abdce8c4-38ee-4504-8052-83dbe33562ce","['Weight', 'Body Weight']","BiomedicalConcept","Weight","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","197f3603-ffee-40e0-bbeb-d196fee55502","['Height', 'Body Height']","BiomedicalConcept","Height","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","f646067f-ffb8-4d96-96ca-5b70d22d5f84","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","d0238b5e-315a-43d7-aa11-460d33d1e3f5","['Albumin', 'Albumin Measurement']","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","6551f90d-262b-43ce-a3f8-9242dc3e2d94","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","ba6440d2-d2e8-464a-bf1e-323861ac9869","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
