"description","label","uuid:ID","instanceType","name","id"
"-","Screen One","29fa88c7-23e6-4cc5-bd65-ab2b19b2a0cd","ScheduledActivityInstance","SCREEN1","ScheduledActivityInstance_9"
"-","Screen Two","58c79d56-a4d0-4f1e-9861-4d6dfa0f257c","ScheduledActivityInstance","SCREEN2","ScheduledActivityInstance_10"
"-","Dose","b57490f3-117e-4c75-9972-d004662ad143","ScheduledActivityInstance","DOSE","ScheduledActivityInstance_11"
"-","Week 2","73cf8557-aade-4883-b09a-ce7419aa0906","ScheduledActivityInstance","WK2","ScheduledActivityInstance_12"
"-","Week 4","1eefd52c-19a3-437e-bbc1-f6f774806139","ScheduledActivityInstance","WK4","ScheduledActivityInstance_13"
"-","Week 6","dcf496a4-acd4-4fe2-ab61-da5f89a040c6","ScheduledActivityInstance","WK6","ScheduledActivityInstance_14"
"-","Week 8","e38a16aa-97a6-424a-b0dc-ed0d111a6f83","ScheduledActivityInstance","WK8","ScheduledActivityInstance_15"
"-","Week NPI","8543d9cd-6052-4418-bb61-c0bc162110f6","ScheduledActivityInstance","WK8N","ScheduledActivityInstance_16"
"-","Week 12","9b076c22-80f3-4b0e-8ba1-e1f3f4e8f544","ScheduledActivityInstance","WK12","ScheduledActivityInstance_17"
"-","Week 12 NPI","3a19135d-7924-413c-85fe-22a7d8736ca8","ScheduledActivityInstance","WK12N","ScheduledActivityInstance_18"
"-","Week 16","c137d8e8-fa2b-41a7-9677-bf8708e4ebb4","ScheduledActivityInstance","WK16","ScheduledActivityInstance_19"
"-","Week 16 NPI","ec6bac4a-9163-4c7b-81bb-3ddbe232fe64","ScheduledActivityInstance","WK16N","ScheduledActivityInstance_20"
"-","Week 20","0a2df220-7fac-41fb-b7b4-ae61e6435e15","ScheduledActivityInstance","WK20","ScheduledActivityInstance_21"
"-","Week 20 NPI","95718686-38cd-42ac-b27f-7456dae682e0","ScheduledActivityInstance","WK20N","ScheduledActivityInstance_22"
"-","Week 24","4912c3a4-c20b-4ed2-98a5-921d91b64f13","ScheduledActivityInstance","WK24","ScheduledActivityInstance_23"
"-","Week 26","8701de5f-b202-4876-baab-49400430630d","ScheduledActivityInstance","WK26","ScheduledActivityInstance_24"
"-","Adevers Event","e398fc46-2337-4076-8d2c-ad98209c2b92","ScheduledActivityInstance","AE","ScheduledActivityInstance_1"
"-","Early Termination","e32f493c-a49a-4eb2-a097-c61ac1160c15","ScheduledActivityInstance","ET","ScheduledActivityInstance_2"
"","5 minute supine","bbc43d06-895f-4c5a-8fef-e06e7b82b961","ScheduledActivityInstance","VS_5MIN","ScheduledActivityInstance_3"
"","Vital signs supine","73467149-cf87-48c3-996f-7780cae2cbde","ScheduledActivityInstance","VS_SUPINE","ScheduledActivityInstance_4"
"","1 minute standing","2a98c452-31f6-411d-b82d-02ce14f1a018","ScheduledActivityInstance","VS_1MIN","ScheduledActivityInstance_5"
"","Vital signs after 1 min standing","7e89c627-e592-450a-9897-45d1eba3a835","ScheduledActivityInstance","VS_STAND1","ScheduledActivityInstance_6"
"","2 minute standing","09ac7a81-032f-453b-a04c-ce0c37999e45","ScheduledActivityInstance","VS_2MIN","ScheduledActivityInstance_7"
"","Vital signs after 3 min standing","e1c199e4-8625-43ae-8eaf-81ee1c0b3251","ScheduledActivityInstance","VS_STAND3","ScheduledActivityInstance_8"
