"description","label","text","purpose","uuid:ID","instanceType","name","id"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","ffaff7b3-569e-4e7e-b362-9bb4d82cda73","Endpoint","END1","Endpoint_1"
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","c6ef1372-cb79-40cf-983d-76065f73977d","Endpoint","END2","Endpoint_2"
"","","Adverse events","","0f6b2ffc-392d-47ee-9586-e62720756b0e","Endpoint","END3","Endpoint_3"
"","","Vital signs (weight, standing and supine blood pressure, heart rate)","","dd348290-1cc1-498c-9f3d-a1142e475efb","Endpoint","END4","Endpoint_4"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Laboratory evaluations (Change from Baseline)","","2c12da88-96ae-49a5-807e-16cb87995b2c","Endpoint","END5","Endpoint_5"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","44245fbd-0f5d-4b88-bc60-9a064a09b513","Endpoint","END6","Endpoint_6"
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","d0d61193-02e7-457e-ae65-d45c112c7edc","Endpoint","END7","Endpoint_7"
"","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","93dc446b-013e-4503-abc9-3f603e54935b","Endpoint","END8","Endpoint_8"
"","","*** To be determined from protocol ***","","da1db3c6-b582-4824-b0eb-2ce6ba7fcf60","Endpoint","END9","Endpoint_9"
"","","*** To be determined from protocol ***","","4ede26a8-afdd-420b-bc0c-7f35980c3072","Endpoint","END10","Endpoint_10"
"","","*** To be determined from protocol ***","","96c2a506-cb93-4005-95de-6da4acf787a3","Endpoint","END11","Endpoint_11"
