"description","valueLabel","label","uuid:ID","windowLabel","value","windowUpper","instanceType","windowLower","name","id"
"Screening timing","2 weeks","Screening","653fcec9-85bf-4b69-8f55-4214367f6a88","","P2W","","Timing","","TIM1","Timing_1"
"Pre dose timing","2 days","Pre dose","9102014c-7e75-45ca-9f0e-f90ad6d33e42","-4..0 hours","P2D","PT0H","Timing","PT4H","TIM2","Timing_2"
"Dosing anchor","1 Day","Dosing","a5932b4f-9297-4b6c-859f-6f9e0f09b710","","P1D","","Timing","","TIM3","Timing_3"
"Week 2 timing","2 Weeks","Week 2","ebf55644-5039-477b-b996-8a34f2dc68ae","-3..3 days","P2W","P3D","Timing","P3D","TIM4","Timing_4"
"Week 4 timing","4 Weeks","Week 4","3901c6ac-6c90-4d13-9233-5a58f19a0c90","-3..3 days","P4W","P3D","Timing","P3D","TIM5","Timing_5"
"Week 6 timing","6 Weeks","Week 6","6c4961a8-b5e0-4432-87b6-59a7b56710c0","-3..3 days","P6W","P3D","Timing","P3D","TIM6","Timing_6"
"Week 8 timing","8 Weeks","Week 8","32eae471-8c8a-4130-9b18-4198adc22092","-3..3 days","P8W","P3D","Timing","P3D","TIM7","Timing_7"
"Week 12 timing","12 Weeks","Week 12","52a1ad3d-10ac-443a-8234-bef2406610f8","-4..4 days","P12W","P4D","Timing","P4D","TIM9","Timing_9"
"Week 16 timing","16 Weeks","Week 16","d376d7a4-e893-4112-aaf3-5344b47a2869","-4..4 days","P16W","P4D","Timing","P4D","TIM11","Timing_11"
"Week 20 timing","20 Weeks","Week 20","471e3727-525a-42df-9c30-040d607d14a8","-4..4 days","P20W","P4D","Timing","P4D","TIM13","Timing_13"
"Week 24 timing","24 Weeks","Week 24","2990a21c-aaa2-4a77-83d2-cad1022f3885","-4..4 days","P24W","P4D","Timing","P4D","TIM15","Timing_15"
"Week 26 timing","26 Weeks","Week 26","534ec5f5-7c25-4b05-845b-44b07330cced","-3..3 days","P26W","P3D","Timing","P3D","TIM16","Timing_16"
"Week 8 at home timing","2 Weeks","Week 8 Home","1160459e-e524-435f-841e-0fc533a3f7be","","P2W","","Timing","","TIM8","Timing_8"
"Week 12 at home timing","2 Weeks","Week 12 Home","df7a91ae-575d-4ca4-b6ac-b4a2b72a37e0","","P2W","","Timing","","TIM10","Timing_10"
"Week 16 at home timing","2 Weeks","Week 16 Home","3c7ad390-5191-47fe-9b0b-96403264bad8","","P2W","","Timing","","TIM12","Timing_12"
"Week 20 at home timing","2 Weeks","Week 20 Home","4355b2f1-a48f-4744-a1b9-16fee9de159c","","P2W","","Timing","","TIM14","Timing_14"
"Adverse Event","1 Day","Adverse Event","6dec9859-865d-4dab-884c-be96b887c48e","","P1D","","Timing","","TIM17","Timing_17"
"Early Termination","1 Day","Early Termination","e4176627-5fc9-4d12-880f-496d43805fa7","","P1D","","Timing","","TIM18","Timing_18"
"Supine","0 mins","Supine","30ef387f-4ca5-4670-903b-6af55864471b","","PT0M","","Timing","","TIM19","Timing_19"
"VS while supine","5 mins","VS while supine","6266ac4a-1e40-41b3-961f-4f14861d900e","","PT5M","","Timing","","TIM20","Timing_20"
"Standing","0 min","Standing","dbdc237f-59ee-4a07-bb21-7ff0bd10181c","","PT0M","","Timing","","TIM21","Timing_21"
"VS while standing","1 min","VS while standing","be60e5cb-ed3b-47fd-b473-dfd5c9b08ef5","","PT1M","","Timing","","TIM22","Timing_22"
"Standing","0 min","Standing","a06ad2ea-2167-4f1e-9de8-c63c6d102a62","","PT0M","","Timing","","TIM23","Timing_23"
"VS while standing","2 min","VS while standing","0ab95928-2453-4b12-abf2-bd30d912bdcb","","PT2M","","Timing","","TIM24","Timing_24"
