"description","label","uuid:ID","instanceType","name","id"
"","Informed consent","8eabcd87-d94b-47eb-9abb-625a757f3562","Activity","Informed consent","Activity_1"
"","Inclusion and exclusion criteria","deae515e-1440-4bb0-a995-a27b6e11c0b8","Activity","Inclusion/exclusion criteria","Activity_2"
"","Patient number assigned","a0cdfd13-c567-4f22-9975-0c317b3b8958","Activity","Patient number assigned","Activity_3"
"","Demographics","de644cc1-fb91-4cbc-bcc0-1e0413ab50b3","Activity","Demographics","Activity_4"
"","Hachinski Ischemic Scale","189e986a-09a8-4496-aaf8-e9d6300f6780","Activity","Hachinski","Activity_5"
"","MMSE","45dab2f2-98a0-4d5a-866b-9e31c2aeed22","Activity","MMSE","Activity_6"
"","Physical examination","32f37c68-bf7f-4493-91a7-79d8d3e8e809","Activity","Physical examination","Activity_7"
"","Medical history","efd406ea-5053-4c7f-b291-e19212228d6d","Activity","Medical history","Activity_8"
"","Habits","f3e7daed-2895-4050-a261-cef445baa56e","Activity","Habits","Activity_9"
"","Chest X-ray","b78f3799-36d3-4f3b-b436-072d50d39a14","Activity","Chest X-ray","Activity_10"
"","Apo E genotyping","b9ff0368-8a30-4643-bcab-42f3ebf93eb3","Activity","Apo E genotyping","Activity_11"
"","Patient randomised","348f31ab-e1ef-4a84-920c-a6a25c2091dd","Activity","Patient randomised","Activity_12"
"","Vital Signs and Temperature","95a164f1-5c7b-48c9-8254-89245d883332","Activity","Vital signs / Temperature","Activity_13"
"","Ambulatory ECG placed","197eebc6-dd0f-4203-a6d8-c519b32d87dd","Activity","Ambulatory ECG placed","Activity_14"
"","Ambulatory ECG removed","01d9d66e-e2a6-40e0-98ec-e9c2c559d6ad","Activity","Ambulatory ECG removed","Activity_15"
"","ECG","d345fe68-207a-4a87-b644-78565aabb202","Activity","ECG","Activity_16"
"","Placebo TTS test","34b80fef-f486-4df7-85aa-43d0b43e80b7","Activity","Placebo TTS test","Activity_17"
"","CT scan","0eedaf25-a00c-4d64-8f14-c73d7c6740dc","Activity","CT scan","Activity_18"
"","Concomitant medications","6dbb1ccc-5479-483f-b3b5-324dfd86c227","Activity","Concomitant medications","Activity_19"
"","Hematology","1c10c35f-bcf0-4087-b5c5-59bf61de1e17","Activity","Hematology","Activity_20"
"","Chemistry","4bba5cd0-c30a-4a2f-a4b3-04b3f5845995","Activity","Chemistry","Activity_21"
"","Uninalysis","1ce7f07e-e771-4a7e-95b1-1524da21b482","Activity","Uninalysis","Activity_22"
"","Plasma Specimen (Xanomeline)","d985d4fd-8830-48e2-9074-1b1d7d626980","Activity","Plasma Specimen (Xanomeline)","Activity_23"
"","Hemoglobin A1C","213acf4b-ece7-490c-9c49-cc33af986d34","Activity","Hemoglobin A1C","Activity_24"
"","Study drug record , Medications dispensed, Medications returned","06b7dfa3-21b7-4be1-ad7b-f8ad4efe5b48","Activity","Study drug","Activity_25"
"","TTS Acceptability Survey","7bc2a3c0-33fa-460f-891b-d770ecd9d2d8","Activity","TTS Acceptability Survey","Activity_26"
"","ADAS-Cog","88bd68a8-59f9-415d-b31c-2f1d2c94080b","Activity","ADAS-Cog","Activity_27"
"","CIBIC+","be6f070b-a789-424c-97cb-b21f685e565b","Activity","CIBIC+","Activity_28"
"","DAD","3628793e-b731-41bb-83b3-8cb293fe11ec","Activity","DAD","Activity_29"
"","NPI-X","e8d480bc-a1e9-4ec4-9cc7-cc41201259af","Activity","NPI-X","Activity_30"
"","Adverse events","e51bc058-c78f-491d-a7cd-de78db3a3319","Activity","Adverse events","Activity_31"
"","Check adverse events","62fbffd0-329b-441a-85b9-ad45d5d87f47","Activity","Check adverse events","Activity_32"
"","Subject supine","04cb8758-2886-4a7e-9482-80144bf4cade","Activity","Supine","Activity_33"
"","Vital signs while supine","6af1ffcd-9e4a-42c5-8520-54beb309aec5","Activity","Vital Signs Supine","Activity_34"
"","Subject Standing","17d92f62-bc08-4650-ae30-ddcf0af0275e","Activity","Stand","Activity_35"
"","Vital signs while standing","a52b109d-7d30-4558-b6ee-b20749e61a7c","Activity","Vital Signs Standing","Activity_36"
