"description","text","purpose","name","id","uuid:ID","label","instanceType"
"","Clinical status assessed using a 7-category ordinal scale at Day 28","","END1","Endpoint_1","d8c70e29-7121-4e12-b77e-c8f383cf8307","","ENDPOINT"
"","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","","END2","Endpoint_2","855e5c48-458d-46fd-b635-c385d0670b75","","ENDPOINT"
"","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","","END3","Endpoint_3","cfaaf556-b494-4637-b3e4-477802b62a74","","ENDPOINT"
"","Incidence of mechanical ventilation","","END4","Endpoint_4","dde41cb8-74a6-41a6-b057-f260a6706cb5","","ENDPOINT"
"","Ventilator-free days to Day 28","","END5","Endpoint_5","54a5d8f9-902c-46be-9876-edfa9f192341","","ENDPOINT"
"","Incidence of intensive care unit (ICU) stay","","END6","Endpoint_6","889cc9d1-5c29-48d1-bed3-5ebc513b5fc3","","ENDPOINT"
"","Duration of ICU stay","","END7","Endpoint_7","993ade3f-fe90-42d6-a7ae-e847d5d45262","","ENDPOINT"
"","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","","END8","Endpoint_8","b5102fee-b06b-4c44-84dc-0ee0052808b3","","ENDPOINT"
"","Mortality rate at Days 7, 14, 21, 28, and 60","","END9","Endpoint_9","32d3bfc1-7af3-4722-9743-c3abf5e91a43","","ENDPOINT"
"","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","","END10","Endpoint_10","f6841dc4-834c-4b30-ad9e-72e1b5b2de94","","ENDPOINT"
"","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","","END11","Endpoint_11","3c0431c2-1fab-4e6b-9ab0-f5975e61a9a3","","ENDPOINT"
"","Duration of supplemental oxygen","","END12","Endpoint_12","f9299f4c-5231-4126-94e1-55ccd7f6d27f","","ENDPOINT"
