"text","name","id","uuid:ID","sectionTitle","sectionNumber"
"","ROOT","NarrativeContent_1","119d5b74-9e84-43c9-a40e-1528d6d49c3b","Root","0"
"<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","SECTION 1","NarrativeContent_2","f24f29f1-87da-45d2-8d83-893c8365f7a1","PROTOCOL SUMMARY","1"
"<div></div>","SECTION 1.1","NarrativeContent_3","ba4f549a-cb4d-434e-82b0-48ab9ae05c3e","Protocol Synopsis","1.1"
"<div></div>","SECTION 1.2","NarrativeContent_4","3001f63c-cba8-4816-ac71-c099c8172661","Trial Schema","1.2"
"<div></div>","SECTION 1.3","NarrativeContent_5","9840fb00-0595-4976-903e-738cc1cf8ead","Schedule of Activities","1.3"
"<div></div>","SECTION 2","NarrativeContent_6","7f9b24eb-7077-4aa2-9cb8-5df29ce2f816","INTRODUCTION","2"
"<div></div>","SECTION 2.1","NarrativeContent_7","53ebb185-6d9c-4a6a-9fdf-5eaf786a884c","Purpose of Trial","2.1"
"<div></div>","SECTION 2.2","NarrativeContent_8","8486afeb-f305-4d6d-82a6-c8c4c9b4085b","Summary of Benefits and Risks","2.2"
"<div></div>","SECTION 3","NarrativeContent_9","7e298614-84d0-4c28-847a-9e665f3b312c","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3"
"<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","SECTION 3.1","NarrativeContent_10","bf45f29a-de83-4f19-9d31-6d16dfd2fcf0","Primary Objectives","3.1"
"<div></div>","SECTION 4","NarrativeContent_11","378d0417-e700-47fb-b35f-8bc6fb010583","TRIAL DESIGN","4"
"<div></div>","SECTION 4.1","NarrativeContent_12","a2c59597-576d-4e09-80ec-2940d19e146f","Description of Trial Design","4.1"
"<div></div>","SECTION 4.1.1","NarrativeContent_13","b4ecec66-3df5-433b-ace6-4794efa1c398","Participant Input into Design","4.1.1"
"<div></div>","SECTION 4.2","NarrativeContent_14","a4746f97-ab13-41e9-9cd4-3f80c2e20292","Rationale for Trial Design","4.2"
"<div></div>","SECTION 4.2.1","NarrativeContent_15","65f56372-d1d9-442c-be2d-de66a7c6d9f9","Rationale for Comparator","4.2.1"
"<div></div>","SECTION 4.2.2","NarrativeContent_16","fdecc59a-24ea-4a5c-a35d-e377e25c52ba","Rationale for Adaptive or Novel Trial Design","4.2.2"
"<div></div>","SECTION 4.2.3","NarrativeContent_17","e9bf52e6-e16a-424d-a5c2-0e50633af00d","Other Trial Design Considerations","4.2.3"
"<div></div>","SECTION 4.3","NarrativeContent_18","5979147a-f49e-44e0-a199-0978c63a6fa4","Access to Trial Intervention After End of Trial","4.3"
"<div></div>","SECTION 4.4","NarrativeContent_19","b04b1cda-b2a0-41b5-aff0-ae066aeaece2","Start of Trial and End of Trial","4.4"
"<div></div>","SECTION 5","NarrativeContent_20","72a98e9e-d576-4164-8030-577b5accc59a","TRIAL POPULATION","5"
"<div></div>","SECTION 5.1","NarrativeContent_21","ecbec74e-9b93-4e7a-90ac-c310dc16b27c","Selection of Trial Population","5.1"
"<div></div>","SECTION 5.2","NarrativeContent_22","78d20b38-7e33-4c53-94dc-ae9707fd8c13","Rationale for Trial Population","5.2"
