"id","name","text","sectionNumber","uuid:ID","sectionTitle"
"NarrativeContent_1","ROOT","","0","cd2895df-a9e3-4237-8765-eead78b4376f","Root"
"NarrativeContent_2","SECTION 1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","1","863c06e2-64ae-4ed8-b073-bef9d23f8a29","PROTOCOL SUMMARY"
"NarrativeContent_3","SECTION 1.1","<div></div>","1.1","b855d609-d59d-4bdb-9f87-f9837b745a7a","Protocol Synopsis"
"NarrativeContent_4","SECTION 1.2","<div></div>","1.2","80007744-b317-445e-a9c4-ad1e6860620f","Trial Schema"
"NarrativeContent_5","SECTION 1.3","<div></div>","1.3","7e3521be-d115-432f-adf1-00404b5464bf","Schedule of Activities"
"NarrativeContent_6","SECTION 2","<div></div>","2","74b7c578-efa1-46ab-9dfe-7affc7a2c2b3","INTRODUCTION"
"NarrativeContent_7","SECTION 2.1","<div></div>","2.1","b885246b-b217-4163-98b0-2b9c05c8eab4","Purpose of Trial"
"NarrativeContent_8","SECTION 2.2","<div></div>","2.2","6805f2b3-05ea-4b83-9261-0a0b9996ac7b","Summary of Benefits and Risks"
"NarrativeContent_9","SECTION 3","<div></div>","3","ff0c4dd4-2f57-4477-a80d-4c07c05ef63c","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent_10","SECTION 3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","3.1","c2ef5c9c-0079-4f83-8c07-c9d179b24962","Primary Objectives"
"NarrativeContent_11","SECTION 4","<div></div>","4","aea36ee9-1058-4e97-a885-066197ae708c","TRIAL DESIGN"
"NarrativeContent_12","SECTION 4.1","<div></div>","4.1","e59c4523-e68b-4883-816d-c8eccb4b6270","Description of Trial Design"
"NarrativeContent_13","SECTION 4.1.1","<div></div>","4.1.1","f4eb53fe-62d0-48c1-aa1f-7c1b917dc4b9","Participant Input into Design"
"NarrativeContent_14","SECTION 4.2","<div></div>","4.2","69228cd0-f856-4f26-837c-ba55678d783d","Rationale for Trial Design"
"NarrativeContent_15","SECTION 4.2.1","<div></div>","4.2.1","28fc7db8-db1a-4a9d-8927-c18193e6bf70","Rationale for Comparator"
"NarrativeContent_16","SECTION 4.2.2","<div></div>","4.2.2","d4e9ac91-7578-4c0f-9d12-aca1d7a6a81b","Rationale for Adaptive or Novel Trial Design"
