"id","purpose","name","text","label","description","instanceType","uuid:ID"
"Endpoint_1","","END1","Clinical status assessed using a 7-category ordinal scale at Day 28","","","ENDPOINT","c5834a35-fd21-43a3-afad-1bca62260fab"
"Endpoint_2","","END2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","","","ENDPOINT","a8662bf9-a117-4393-bb2c-59dea3e6eb9b"
"Endpoint_3","","END3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","","","ENDPOINT","b5b780d7-2b17-4f31-acdc-510577eadbad"
"Endpoint_4","","END4","Incidence of mechanical ventilation","","","ENDPOINT","59fe7233-f61e-4c5e-aa40-f5337939cb4e"
"Endpoint_5","","END5","Ventilator-free days to Day 28","","","ENDPOINT","1e818ecf-e39e-4329-aa87-b7c301a45416"
"Endpoint_6","","END6","Incidence of intensive care unit (ICU) stay","","","ENDPOINT","cf433e59-1264-42c3-8241-3eb57bef9ef3"
"Endpoint_7","","END7","Duration of ICU stay","","","ENDPOINT","d4e6fc91-6a39-4326-adfa-216f2b1536e2"
"Endpoint_8","","END8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","","","ENDPOINT","a6d35a84-78a3-4ba6-8ff8-ca5de19458c1"
"Endpoint_9","","END9","Mortality rate at Days 7, 14, 21, 28, and 60","","","ENDPOINT","33dc065e-2038-4f63-b2a2-ef92efd45ce0"
"Endpoint_10","","END10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","","","ENDPOINT","e408387b-156f-4044-b583-4fffedf306bf"
"Endpoint_11","","END11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","","","ENDPOINT","3faebc9c-c2dc-4324-b8c1-a29a03fc08f8"
"Endpoint_12","","END12","Duration of supplemental oxygen","","","ENDPOINT","b44045e6-5b92-4d4b-954d-b27102048d90"
