"id","name","text","label","description","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identified","","","f49d6c9f-04b6-4b86-ad63-40a47ad3e017"
"TransitionRule_2","ENCOUNTER_START_RULE_1","IEs passed","","","ba94e537-885c-4dae-8f35-b026956fc701"
"TransitionRule_3","ENCOUNTER_START_RULE_3","Radomized","","","b947ac11-0522-4a1a-9c5e-9448f00ef779"
"TransitionRule_4","ELEMENT_START_RULE_1","Study Start","","","dce9ef60-2129-455d-a0a7-5d034f99f4f4"
"TransitionRule_5","ELEMENT_END_RULE_1","Screened","","","2108cb69-b872-4e1e-869d-5342a614eb72"
"TransitionRule_6","ELEMENT_START_RULE_2","Screened","","","0107e109-73d6-4a56-a031-06129531a302"
"TransitionRule_7","ELEMENT_END_RULE_2","Radomized","","","f0251e47-8efa-42a9-8c2c-dafbb690175b"
"TransitionRule_8","ELEMENT_START_RULE_3","Radomized","","","3d4f11ff-6a64-49dc-8ef5-e0639dfb8c2d"
"TransitionRule_9","ELEMENT_END_RULE_3","Completed treatment 1","","","8c50bce8-da1d-4775-a948-68a93d4b0578"
"TransitionRule_12","ELEMENT_START_RULE_5","Radomized","","","32ed64f6-d7be-4882-959f-2938528045f2"
"TransitionRule_13","ELEMENT_END_RULE_5","Completed treatment 2","","","6daafbc7-5a88-4e10-8333-bd2a315ecebf"
"TransitionRule_10","ELEMENT_START_RULE_4","Treated","","","d43b2a1e-bcdd-44d9-8761-d2e5739eba71"
"TransitionRule_11","ELEMENT_END_RULE_4","Leave Study","","","b4cc46ab-bd77-4787-b28e-237a3f386741"
