"name","text","uuid:ID","instanceType","id"
"ENCOUNTER_START_RULE_1","Subject identifier","44002c57-8ec6-4d4b-8723-5dc2fc62f3db","TransitionRule","TransitionRule_1"
"ENCOUNTER_START_RULE_1","completion of screening activities","65722b99-3ed6-4afd-88ff-7f1e4741bd0f","TransitionRule","TransitionRule_2"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","6c68851e-d655-4441-b87b-af3e21ea8a7b","TransitionRule","TransitionRule_3"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","c03208a1-d21e-48d3-9bc8-4e85fb32e788","TransitionRule","TransitionRule_4"
"ENCOUNTER_START_RULE_3","Radomized","23d74b30-043a-4494-b18b-720cd79a8b93","TransitionRule","TransitionRule_5"
"ENCOUNTER_START_RULE_12","End of treatment","0a270ecd-3918-4100-848e-81bb8006b0e5","TransitionRule","TransitionRule_6"
"ELEMENT_START_RULE_1","Informed consent","ee70fc22-2054-494d-9541-e70473f25e14","TransitionRule","TransitionRule_7"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","06ebea73-8220-4a22-92f0-ead2dfab3183","TransitionRule","TransitionRule_8"
"ELEMENT_START_RULE_2","Administration of first dose","1917bc45-edaf-4d88-956c-f7219a2c3d00","TransitionRule","TransitionRule_9"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","c3463d53-3f74-40ff-8f49-e2d0ad12288e","TransitionRule","TransitionRule_14"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","2114da3d-650a-4ac9-b0f3-fddcbdc8af50","TransitionRule","TransitionRule_15"
"ELEMENT_START_RULE_3","Administration of first dose","03edd50f-050e-4ade-80b9-ecbeeeac10a3","TransitionRule","TransitionRule_10"
"ELEMENT_START_RULE_4","Randomized","ce4fa40e-6440-46f8-a28f-7d520e177c14","TransitionRule","TransitionRule_11"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","da5619ba-f5f1-4d5c-9735-45eb2f28407c","TransitionRule","TransitionRule_12"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","f53b8c75-cce2-4dd2-8415-be4e483bc042","TransitionRule","TransitionRule_13"
