"name","uuid:ID","description","instanceType","id","label"
"Informed consent","4ce8530d-119a-484b-bfd4-1f1d43522481","","Activity","Activity_1","Informed consent"
"Inclusion/exclusion criteria","e12487ad-91b4-4cda-91df-d9821a122468","","Activity","Activity_2","Inclusion and exclusion criteria"
"Patient number assigned","5621944c-5302-4337-9b7d-4ca5ded4f3cc","","Activity","Activity_3","Patient number assigned"
"Demographics","29c691fa-a35a-477c-8ff2-9a12b09a2a3c","","Activity","Activity_4","Demographics"
"Hachinski","609bf768-0800-4240-ace4-b8ac4d5ffce6","","Activity","Activity_5","Hachinski Ischemic Scale"
"MMSE","165b0d1e-643f-4523-960e-89501cdaf714","","Activity","Activity_6","MMSE"
"Physical examination","98a1ac6e-484d-4bc6-b1f6-226aa8f345f5","","Activity","Activity_7","Physical examination"
"Medical history","973f74bd-17ca-40f7-ad59-3d8b24d15c70","","Activity","Activity_8","Medical history"
"Habits","d4d3ed29-1a83-46da-9b13-10946b138097","","Activity","Activity_9","Habits"
"Chest X-ray","0065cfc3-6fbf-4f0f-b6eb-4e35776901a9","","Activity","Activity_10","Chest X-ray"
"Apo E genotyping","eb493bff-44fb-42d5-a95f-9261bc77f4c7","","Activity","Activity_11","Apo E genotyping"
"Patient randomised","c02ebba5-f5a8-4492-9198-e7bb8fcf0bb2","","Activity","Activity_12","Patient randomised"
"Vital signs / Temperature","ff2567af-9a89-4b67-913f-2727d308c531","","Activity","Activity_13","Vital Signs and Temperature"
"Ambulatory ECG placed","d20a017e-be3c-4ce7-852e-245e4b577796","","Activity","Activity_14","Ambulatory ECG placed"
"Ambulatory ECG removed","2bc1fd95-d054-4a2b-952e-95ccf7fc018a","","Activity","Activity_15","Ambulatory ECG removed"
"ECG","00d0cd6d-9b2e-40cf-8cd9-4eff1aee68e2","","Activity","Activity_16","ECG"
"Placebo TTS test","e38a0518-216f-4146-a4db-ee174ca6a6e8","","Activity","Activity_17","Placebo TTS test"
"CT scan","c80f6dd7-edea-44e2-a8c6-9fa0a0143c57","","Activity","Activity_18","CT scan"
"Concomitant medications","9f24ac8b-801a-487c-a287-a4f4e3142a1c","","Activity","Activity_19","Concomitant medications"
"Hematology","942daf58-9bbf-4e79-b57e-29dc31ccdf76","","Activity","Activity_20","Hematology"
"Chemistry","6353c575-f681-4f35-a3e1-ed5ee627b3e9","","Activity","Activity_21","Chemistry"
"Uninalysis","6e37dbab-207b-4183-8dd8-38b1f0fea306","","Activity","Activity_22","Uninalysis"
"Plasma Specimen (Xanomeline)","c4c3298a-b9bb-4598-a6b7-84c8ba3c2b65","","Activity","Activity_23","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","4e6bd2bb-2249-4e8b-9335-98793d9c1468","","Activity","Activity_24","Hemoglobin A1C"
"Study drug","ac5c1ec6-a41a-4209-8c1a-37d043717eba","","Activity","Activity_25","Study drug record , Medications dispensed, Medications returned"
"TTS Acceptability Survey","ea165bd4-8554-4db8-ac05-d1b65cd44a7a","","Activity","Activity_26","TTS Acceptability Survey"
"ADAS-Cog","b392ef5e-4554-46b4-9518-4788217b9dde","","Activity","Activity_27","ADAS-Cog"
"CIBIC+","ab91e1a6-9dc3-4b48-835c-8f06a31d9aff","","Activity","Activity_28","CIBIC+"
"DAD","b235216c-77c4-4883-854b-f01f4e2453f3","","Activity","Activity_29","DAD"
"NPI-X","71da29e7-960c-4ff1-a5a4-079cb72846ed","","Activity","Activity_30","NPI-X"
"Adverse events","a3ad278f-cba6-43c5-b94a-07c496009b3b","","Activity","Activity_31","Adverse events"
"Check adverse events","a5cf6617-f0b1-4465-9566-c7efb08ad9aa","","Activity","Activity_32","Check adverse events"
"Supine","e3614a2e-5cb5-4a6f-839c-08844a4015e0","","Activity","Activity_33","Subject supine"
"Vital Signs Supine","01030c39-3c14-488c-9d18-3c2fc6c6ca10","","Activity","Activity_34","Vital signs while supine"
"Stand","8f10335a-ef9a-4190-b509-953c003a263a","","Activity","Activity_35","Subject Standing"
"Vital Signs Standing","f7e50fc6-ceb9-4519-aee5-7e7244214d62","","Activity","Activity_36","Vital signs while standing"
