"name","reference","uuid:ID","instanceType","synonyms","id","label"
"Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","0db80f43-6873-49f8-b5a8-a3c0fa8f5a4d","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","Informed Consent Obtained"
"Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","cc902cd8-c45d-4384-96eb-2bc3d2908873","BiomedicalConcept","","BiomedicalConcept_21","Sex"
"Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","6b9971e7-c0d8-408e-820f-3addadf32f81","BiomedicalConcept","['Racial Group']","BiomedicalConcept_22","Race"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","4a4ea66d-0f78-49a9-b478-7adc7c7112d0","BiomedicalConcept","['Temperature', 'Body Temperature']","BiomedicalConcept_23","Temperature"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","89c3f22a-497e-4674-9fd7-96dbea14b50a","BiomedicalConcept","['Weight', 'Body Weight']","BiomedicalConcept_24","Weight"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","e39d3d50-4e87-4911-827f-592542d1d309","BiomedicalConcept","['Height', 'Body Height']","BiomedicalConcept_25","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","bcb4f077-8955-4fac-933b-d750e614671c","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","68cdfbbd-ba29-4269-87e0-fa3cdec26f27","BiomedicalConcept","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","0eb23132-6147-4f9a-8bfc-570314c2c743","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","1c63bfd5-e861-4ed3-b036-2fffcaa4e805","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma"
