"decode","codeSystemVersion","uuid:ID","instanceType","code","id","codeSystem"
"Interventional Study","2023-12-15","ef9dcce2-4ddc-4f17-833d-50916745cc6d","Code","C98388","Code_1","http://www.cdisc.org"
"Phase II Trial","2023-12-15","5cb2069e-00b6-498d-bd3a-2cc12163a69e","Code","C15601","Code_2","http://www.cdisc.org"
"Sponsor Approval Date","2023-12-15","8a0abb20-4835-4cb0-ad53-2b531dc7e047","Code","C132352","Code_9","http://www.cdisc.org"
"Global","2023-12-15","4058ff63-d6f0-4926-b927-0551b7a3ebf2","Code","C68846","Code_10","http://www.cdisc.org"
"IRB/IEC Feedback","2023-12-15","e80a81f5-fcd1-4b6c-b7de-8d3b8025465d","Code","C99904x3","Code_72","http://www.cdisc.org"
"Other","2023-12-15","20fcc826-bca3-415b-8e00-062b8c175cf2","Code","C17649","Code_73","http://www.cdisc.org"
"Region","2023-12-15","fe2b7c80-87cc-49fc-b7f4-195515880e4f","Code","C41129","Code_75","http://www.cdisc.org"
"Europe","2020-08","cfbb791a-b3fb-4296-9877-a90e1e2c44c6","Code","150","Code_74","ISO 3166 1 alpha3"
"Eli Lilly","12","ba16bd09-28e0-4297-8a90-3eee0a56f664","Code","PHARMA","Code_4","SPONSOR"
"Clinical Study Sponsor","2023-12-15","002c669b-cf35-45de-94a8-dfcd45e80c10","Code","C70793","Code_76","http://www.cdisc.org"
"United States of America","2020-08","34246e05-7188-40c6-85aa-4a3ed89237a0","Code","USA","Code_77","ISO 3166 1 alpha3"
"Study Registry","2023-12-15","225f562b-fcea-4d63-8f1a-c65e2d1894e2","Code","C93453","Code_78","http://www.cdisc.org"
"United States of America","2020-08","b5214574-86c9-4973-bd05-c71fac0565a0","Code","USA","Code_79","ISO 3166 1 alpha3"
"Treatment Study","2023-12-15","0820d678-52ec-41c6-a9cf-62a5b5267416","Code","C49656","Code_137","http://www.cdisc.org"
"Efficacy Study","2023-12-15","f43e1f1c-ab05-40d3-9566-05c499f29f66","Code","C49666","Code_138","http://www.cdisc.org"
"Safety Study","2023-12-15","6f8f3bc2-937b-42e8-a295-7a75f74a86eb","Code","C49667","Code_139","http://www.cdisc.org"
"Pharmacokinetic Study","2023-12-15","93b7fe18-f3b5-41be-8cd0-503d6f789d44","Code","C49663","Code_140","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","12","f7257f9f-debe-4a38-bd97-240d1b0b63ff","Code","MILD_MOD_ALZ","Code_134","SPONSOR"
"Alzheimer's disease","January 31, 2018","69b8d755-71c3-4db8-bb4d-93a0cd9c856e","Code","26929004","Code_135","SNOMED"
"EXTENSION","2023-12-15","02e4bcdd-4e6c-4770-89fc-b87e4442ebb0","Code","C99907x1","Code_143","http://www.cdisc.org"
"ADAPTIVE","2023-12-15","09c8d5cf-dc04-4dae-9dcb-9116a6151754","Code","C98704","Code_144","http://www.cdisc.org"
"Parallel Study","2023-12-15","f69d17be-cc88-487b-8fa0-b72e6a46f5b6","Code","C82639","Code_141","http://www.cdisc.org"
"Visit","2023-12-15","0fa04cd6-7081-4e67-8107-70a381531a5f","Code","C25716","Code_83","http://www.cdisc.org"
"Clinic","2023-12-15","4855a7fc-cf01-46e2-94f1-57768db592d0","Code","C51282","Code_84","http://www.cdisc.org"
